step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
60000,student_h,adjacent,40000,20000,0.543380,0.338881,0.204499,0.447680
60000,teacher_h,adjacent,40000,20000,0.546985,0.331647,0.215338,0.456968
80000,student_h,adjacent,60000,20000,0.417489,0.271032,0.146457,0.430745
80000,student_h,vs_initial,40000,40000,0.662034,0.415327,0.246707,0.258696
80000,teacher_h,adjacent,60000,20000,0.424515,0.273906,0.150609,0.442442
80000,teacher_h,vs_initial,40000,40000,0.670955,0.406076,0.264880,0.279385
100000,student_h,adjacent,80000,20000,0.403856,0.250851,0.153005,0.402275
100000,student_h,vs_initial,40000,60000,0.626402,0.352393,0.274009,0.440423
100000,teacher_h,adjacent,80000,20000,0.409165,0.260579,0.148585,0.406302
100000,teacher_h,vs_initial,40000,60000,0.621648,0.351715,0.269933,0.446155
