step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
60000,student_h,adjacent,40000,20000,0.616371,0.517292,0.099079,0.349273
60000,teacher_h,adjacent,40000,20000,0.612576,0.513108,0.099467,0.352138
80000,student_h,adjacent,60000,20000,0.535204,0.430276,0.104928,0.439653
80000,student_h,vs_initial,40000,40000,0.749654,0.604930,0.144724,0.286467
80000,teacher_h,adjacent,60000,20000,0.529750,0.425196,0.104554,0.445324
80000,teacher_h,vs_initial,40000,40000,0.748848,0.603146,0.145702,0.286933
100000,student_h,adjacent,80000,20000,0.265326,0.204500,0.060826,0.703881
100000,student_h,vs_initial,40000,60000,0.786575,0.636619,0.149956,0.251789
100000,teacher_h,adjacent,80000,20000,0.260269,0.200395,0.059874,0.711224
100000,teacher_h,vs_initial,40000,60000,0.785372,0.636093,0.149279,0.251225
