step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
120000,student_h,adjacent,100000,20000,0.022933,0.021820,0.001113,0.961846
120000,teacher_h,adjacent,100000,20000,0.018896,0.018594,0.000302,0.969197
140000,student_h,adjacent,120000,20000,0.008309,0.007101,0.001207,0.987130
140000,student_h,vs_initial,100000,40000,0.021913,0.020688,0.001225,0.964617
140000,teacher_h,adjacent,120000,20000,0.000078,0.000073,0.000005,0.999868
140000,teacher_h,vs_initial,100000,40000,0.017688,0.017396,0.000292,0.971156
160000,student_h,adjacent,140000,20000,0.008136,0.007087,0.001049,0.987870
160000,student_h,vs_initial,100000,60000,0.022864,0.021706,0.001158,0.963286
160000,teacher_h,adjacent,140000,20000,0.000195,0.000189,0.000006,0.999677
160000,teacher_h,vs_initial,100000,60000,0.015783,0.015497,0.000286,0.974220
180000,student_h,adjacent,160000,20000,0.012724,0.011681,0.001043,0.979939
180000,student_h,vs_initial,100000,80000,0.036893,0.035490,0.001402,0.940512
180000,teacher_h,adjacent,160000,20000,0.007331,0.007257,0.000074,0.987779
180000,teacher_h,vs_initial,100000,80000,0.031433,0.030988,0.000445,0.949123
200000,student_h,adjacent,180000,20000,0.011171,0.010193,0.000978,0.982384
200000,student_h,vs_initial,100000,100000,0.026765,0.025559,0.001206,0.955990
200000,teacher_h,adjacent,180000,20000,0.004767,0.004712,0.000055,0.992072
200000,teacher_h,vs_initial,100000,100000,0.020175,0.019815,0.000360,0.967328
