cell,head,from_stop,to_stop,from_score,to_score,change,went_down,branch_at_to_stop,head_budget_moves
arm1_nse,student,40000,100000,1.4347,1.5227,+0.0880,no,none_down,yes
arm1_nse,teacher,40000,100000,1.4512,1.5604,+0.1092,no,none_down,yes
arm4_combab,student,40000,100000,1.2503,1.3479,+0.0976,no,none_down,yes
arm4_combab,teacher,40000,100000,1.2870,1.3188,+0.0318,no,none_down,yes
arm5_combab_alignS,student,40000,100000,1.2596,1.2102,-0.0494,yes,one_down,yes
arm5_combab_alignS,teacher,40000,100000,1.2347,1.2407,+0.0060,no,one_down,yes
arm5_combab_alignS,student,100000,200000,1.2102,1.1910,-0.0192,yes,one_down,no
arm5_combab_alignT,student,40000,100000,1.3334,1.2797,-0.0537,yes,both_down,yes
arm5_combab_alignT,teacher,40000,100000,1.3190,1.2772,-0.0418,yes,both_down,yes
arm5_combab_alignT,student,100000,200000,1.2797,1.4141,+0.1344,no,none_down,no
arm5_combab_alignT,teacher,100000,200000,1.2772,1.4207,+0.1435,no,none_down,no
arm6_v2_combab_alignS,student,40000,100000,1.1603,1.1945,+0.0342,no,none_down,yes
arm6_v2_combab_alignS,teacher,40000,100000,1.1544,1.1837,+0.0293,no,none_down,yes
arm6_v2_combab_alignT,student,40000,100000,1.1895,1.1921,+0.0026,no,none_down,yes
arm6_v2_combab_alignT,teacher,40000,100000,1.1793,1.1963,+0.0170,no,none_down,yes
arm6_v2_ncpc_alignS,student,40000,100000,1.3611,1.4951,+0.1340,no,none_down,yes
arm6_v2_ncpc_alignS,teacher,40000,100000,1.3656,1.5007,+0.1351,no,none_down,yes
arm6_v2_ncpc_alignT,student,40000,100000,1.2955,1.3904,+0.0949,no,none_down,yes
arm6_v2_ncpc_alignT,teacher,40000,100000,1.3266,1.3646,+0.0380,no,none_down,yes
arm6_v2_nse_alignS,student,40000,100000,1.2690,1.3572,+0.0882,no,none_down,yes
arm6_v2_nse_alignS,teacher,40000,100000,1.2917,1.3770,+0.0853,no,none_down,yes
arm6_v2_nse_alignT,student,40000,100000,1.4238,1.3913,-0.0325,yes,both_down,yes
arm6_v2_nse_alignT,teacher,40000,100000,1.4177,1.3746,-0.0431,yes,both_down,yes
arm6_v2_nse_alignT,student,100000,200000,1.3913,1.3586,-0.0327,yes,both_down,no
arm6_v2_nse_alignT,teacher,100000,200000,1.3746,1.3459,-0.0287,yes,both_down,no
