cell,head,bb40k,seed_20260722,seed_20260723,seed_20260724,n_seeds,mean,sd,range,delta_mean,delta_seed_20260722,resolved
arm6_v2_combab_alignS,student,1.160300,1.194500,1.189800,,2,1.192150,0.003323,0.004700,+0.031850,+0.034200,
arm6_v2_combab_alignS,teacher,1.154400,1.183700,1.182900,,2,1.183300,0.000566,0.000800,+0.028900,+0.029300,
arm6_v2_combab_alignT,student,1.189500,1.192100,,,1,1.192100,0.000000,0.000000,+0.002600,+0.002600,
arm6_v2_combab_alignT,teacher,1.179300,1.196300,,,1,1.196300,0.000000,0.000000,+0.017000,+0.017000,
arm5_combab_alignS,student,1.259600,1.210200,1.200700,,2,1.205450,0.006718,0.009500,-0.054150,-0.049400,
arm5_combab_alignS,teacher,1.234700,1.240700,1.255500,,2,1.248100,0.010465,0.014800,+0.013400,+0.006000,
arm5_combab_alignT,student,1.333400,1.279700,1.295600,,2,1.287650,0.011243,0.015900,-0.045750,-0.053700,
arm5_combab_alignT,teacher,1.319000,1.277200,,,1,1.277200,0.000000,0.000000,-0.041800,-0.041800,
arm6_v2_nse_alignT,student,1.423800,1.391300,1.397600,,2,1.394450,0.004455,0.006300,-0.029350,-0.032500,
arm6_v2_nse_alignT,teacher,1.417700,1.374600,1.371400,1.398600,3,1.381533,0.014867,0.027200,-0.036167,-0.043100,yes
arm6_v2_nse_alignS,student,1.269000,1.357200,,,1,1.357200,0.000000,0.000000,+0.088200,+0.088200,
arm6_v2_nse_alignS,teacher,1.291700,1.377000,,,1,1.377000,0.000000,0.000000,+0.085300,+0.085300,
