cell,arm,align,stop,head,head_steps,ema_tau,head_seed,gm_rel_mase
arm5_combab_alignS,arm5_combab,student,100000,student,30000,1.000000,20260723,1.200700
arm5_combab_alignS,arm5_combab,student,100000,teacher,30000,1.000000,20260723,1.255500
arm5_combab_alignT,arm5_combab,teacher,100000,student,30000,1.000000,20260723,1.295600
arm5_combab_alignT,arm5_combab,teacher,100000,teacher,30000,1.000000,20260723,1.290500
arm6_v2_combab_alignS,arm6_v2_combab,student,100000,student,30000,1.000000,20260723,1.189800
arm6_v2_combab_alignS,arm6_v2_combab,student,100000,student,30000,1.000000,20260724,1.192500
arm6_v2_combab_alignS,arm6_v2_combab,student,100000,teacher,30000,1.000000,20260723,1.182900
arm6_v2_combab_alignS,arm6_v2_combab,student,100000,teacher,30000,1.000000,20260724,1.190900
arm6_v2_nse_alignT,arm6_v2_nse,teacher,100000,student,30000,1.000000,20260723,1.397600
arm6_v2_nse_alignT,arm6_v2_nse,teacher,100000,student,30000,1.000000,20260724,1.397700
arm6_v2_nse_alignT,arm6_v2_nse,teacher,100000,teacher,30000,1.000000,20260723,1.371400
arm6_v2_nse_alignT,arm6_v2_nse,teacher,100000,teacher,30000,1.000000,20260724,1.398600
