cell,last_stop,rule_branch,extend,heads_next,ended_by,ended_by_evidence,recorded,stale_rows,rule_in_recorded,probed_at
arm6_v2_combab_alignS,100000,none_down,0,student teacher,rule,,none_down,,yes,2026-08-06T10:13:56Z
arm6_v2_combab_alignT,100000,none_down,0,student teacher,rule,,none_down,,yes,2026-08-06T10:13:56Z
arm5_combab_alignS,200000,one_down,1,student,session,decisions_all.csv branch=session_end,one_down session_end,session_end,yes,2026-08-06T10:13:56Z
arm5_combab_alignT,200000,none_down,0,student teacher,rule,,none_down,,yes,2026-08-06T10:13:56Z
arm6_v2_ncpc_alignS,100000,none_down,0,student teacher,rule,,none_down,,yes,2026-08-06T10:13:56Z
arm6_v2_ncpc_alignT,100000,none_down,0,student teacher,rule,,budget_stop none_down,budget_stop,yes,2026-08-06T10:13:56Z
arm6_v2_nse_alignS,100000,none_down,0,student teacher,rule,,none_down,,yes,2026-08-06T10:13:56Z
arm6_v2_nse_alignT,200000,both_down,1,student teacher,session,decisions_all.csv branch=session_end,both_down session_end,session_end,yes,2026-08-06T10:13:56Z
arm4_combab,100000,none_down,0,student teacher,rule,,budget_stop none_down,budget_stop,yes,2026-08-06T10:13:56Z
arm1_nse,100000,none_down,0,student teacher,rule,,budget_stop none_down,budget_stop,yes,2026-08-06T10:13:56Z
