arm,label,head,ckpt,gm,n
cpc_enc3,"enc3+CPC, B=1024",2L,best,1.1846,97
cpc_enc3,"enc3+CPC, B=1024",2L,last,1.1531,97
cpc_enc3,"enc3+CPC, B=1024",6L,best,1.1584,97
cpc_enc3,"enc3+CPC, B=1024",6L,last,1.1436,97
ema_enc3,"EMA-target enc3+CPC, B=1024, τ=0.99",2L,best,1.1614,97
ema_enc3,"EMA-target enc3+CPC, B=1024, τ=0.99",2L,last,1.1817,97
ema_enc3,"EMA-target enc3+CPC, B=1024, τ=0.99",6L,best,1.1576,97
ema_enc3,"EMA-target enc3+CPC, B=1024, τ=0.99",6L,last,1.1597,97
sigreg_enc3_tau099,"SIGReg + EMA-target, B=512, τ=0.99",2L,best,1.1610,97
sigreg_enc3_tau099,"SIGReg + EMA-target, B=512, τ=0.99",2L,last,1.1758,97
sigreg_enc3_tau099,"SIGReg + EMA-target, B=512, τ=0.99",6L,best,1.1543,97
sigreg_enc3_tau099,"SIGReg + EMA-target, B=512, τ=0.99",6L,last,1.1556,97
sigreg_enc3_tau098,"SIGReg + EMA-target, B=512, τ=0.98",2L,best,1.1807,97
sigreg_enc3_tau098,"SIGReg + EMA-target, B=512, τ=0.98",2L,last,1.1662,97
sigreg_enc3_tau098,"SIGReg + EMA-target, B=512, τ=0.98",6L,best,1.1493,97
sigreg_enc3_tau098,"SIGReg + EMA-target, B=512, τ=0.98",6L,last,1.1462,97
sigreg_enc3_noema,"SIGReg (no EMA-target), B=512",2L,best,1.2119,97
sigreg_enc3_noema,"SIGReg (no EMA-target), B=512",2L,last,1.2105,97
sigreg_enc3_noema,"SIGReg (no EMA-target), B=512",6L,best,1.2081,97
sigreg_enc3_noema,"SIGReg (no EMA-target), B=512",6L,last,1.1999,97
sigreg_enc3_tau090,"SIGReg + EMA-target, B=512, τ=0.90",2L,best,1.1569,97
sigreg_enc3_tau090,"SIGReg + EMA-target, B=512, τ=0.90",2L,last,1.1624,97
sigreg_enc3_tau090,"SIGReg + EMA-target, B=512, τ=0.90",6L,best,1.1489,97
sigreg_enc3_tau090,"SIGReg + EMA-target, B=512, τ=0.90",6L,last,1.1373,97
sigreg_enc3_tau080,"SIGReg + EMA-target, B=512, τ=0.80",2L,best,1.1904,97
sigreg_enc3_tau080,"SIGReg + EMA-target, B=512, τ=0.80",2L,last,1.1667,97
sigreg_enc3_tau080,"SIGReg + EMA-target, B=512, τ=0.80",6L,best,1.1867,97
sigreg_enc3_tau080,"SIGReg + EMA-target, B=512, τ=0.80",6L,last,1.1470,97
