step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e
1,18.647136688232422,18.95355224609375,-0.33636391162872314,1.9027715121416828,0.29104578495025635,0.6274096965789795,0.4664917290210724,0.14441153407096863,508,4,0,0.05767226219177246,-0.3448840379714966,0.016691450029611588,0.02720397338271141,0.8046923875808716,0.11216239631175995,0.18651367723941803,7.684585094451904,0.00262714852578938,0.020318087190389633,0.008652923628687859,0.0090057123452425
2,19.398897171020508,17.354352951049805,-0.20521408319473267,1.6592257146434948,0.4834902882575989,0.6887043714523315,0.6065732836723328,0.2703304588794708,1016,8,0,0.24551117420196533,-0.3340578079223633,0.010407110676169395,0.01734444685280323,0.8871952295303345,0.10330096632242203,0.17429831624031067,9.4547119140625,0.002802921226248145,0.03174428641796112,0.009424700401723385,0.009528590366244316
3,22.967571258544922,17.49472999572754,-0.1901867389678955,1.6387387308036312,0.5120596885681152,0.7022464275360107,0.6625681519508362,0.2242935448884964,1524,12,1,0.2915228605270386,-0.47585737705230713,0.009745191782712936,0.015148000791668892,0.9123572111129761,0.1286849081516266,0.22594879567623138,12.961968421936035,0.002570590004324913,0.03565560281276703,0.008155543357133865,0.008086789399385452
4,31.765037536621094,17.77981185913086,-0.15854346752166748,1.508284334614275,0.5295376777648926,0.6880811452865601,0.6903993487358093,0.2913835644721985,2032,16,0,0.22408467531204224,-0.5522899627685547,0.008436708711087704,0.012448498047888279,0.8933275938034058,0.09270961582660675,0.17528684437274933,21.4564151763916,0.0027394103817641735,0.051237188279628754,0.009297732263803482,0.009576989337801933
5,25.28247833251953,17.886226654052734,-0.15462398529052734,1.5646573302976348,0.5715391635894775,0.7261631488800049,0.7254835963249207,0.22651313245296478,2540,20,1,0.3462511897087097,-0.5929057598114014,0.008359892293810844,0.011507086455821991,0.9055261611938477,0.07484553754329681,0.14301852881908417,14.950801849365234,0.0025411415845155716,0.047509804368019104,0.008165319450199604,0.008248373866081238
6,17.554868698120117,17.424833297729492,-0.1652790904045105,1.6885337449255542,0.5946758985519409,0.7599549889564514,0.7199448943138123,0.18266941606998444,3048,24,0,0.4359228014945984,-0.46708035469055176,0.008459825068712234,0.012401938438415527,0.9054901599884033,0.0872374176979065,0.1542806625366211,7.590015888214111,0.002553012454882264,0.049048103392124176,0.008625264279544353,0.008743545040488243
7,16.20240020751953,16.899295806884766,-0.16658556461334229,1.795916135598742,0.6241140365600586,0.7906996011734009,0.7169438004493713,0.16542986035346985,3556,28,0,0.5040596723556519,-0.33756184577941895,0.008520024828612804,0.013091295957565308,0.9280915856361389,0.11530449986457825,0.20529566705226898,6.638400554656982,0.002439429983496666,0.046804822981357574,0.008938569575548172,0.009553419426083565
8,14.747883796691895,16.43946075439453,-0.15479028224945068,1.8549626814937674,0.6641605496406555,0.8189508318901062,0.7348787784576416,0.18139885365962982,4064,32,1,0.562778115272522,-0.27209579944610596,0.00833062082529068,0.012763642705976963,0.9359449148178101,0.10842011868953705,0.20614297688007355,5.499476909637451,0.0027974944096058607,0.04478510469198227,0.009085348807275295,0.009406885132193565
9,14.324926376342773,16.209924697875977,-0.15335685014724731,1.9614252959121599,0.687133252620697,0.8404901027679443,0.7350112795829773,0.199816033244133,4572,36,1,0.5988991260528564,-0.18419313430786133,0.008409625850617886,0.012038486078381538,0.9292625188827515,0.09857016056776047,0.19127978384494781,5.214305400848389,0.0022109344135969877,0.05113557353615761,0.008573830127716064,0.008768624626100063
10,14.034642219543457,15.789568901062012,-0.1439318060874939,2.040242392599504,0.7177044749259949,0.8616362810134888,0.7475005388259888,0.2292931079864502,5080,40,1,0.6321054995059967,-0.11907267570495605,0.007950580678880215,0.01187476608902216,0.9279804825782776,0.10873785614967346,0.20642541348934174,5.192361831665039,0.002324259141460061,0.056461151689291,0.009172285906970501,0.009280668571591377
