step,loss,hf_rows_consumed
1,0.37540170550346375,256
2,0.36269381642341614,512
3,0.36684414744377136,768
4,0.3698398768901825,1024
5,0.3659035861492157,1280
6,0.3660084307193756,1536
7,0.36414939165115356,1792
8,0.36329662799835205,2048
9,0.35467422008514404,2304
10,0.3641272485256195,2560
11,0.36318129301071167,2816
12,0.35403451323509216,3072
13,0.36101675033569336,3328
14,0.345894455909729,3584
15,0.3463323712348938,3840
16,0.32934537529945374,4096
17,0.3547475039958954,4352
18,0.3446785509586334,4608
19,0.34551143646240234,4864
20,0.33906975388526917,5120
21,0.34453171491622925,5376
22,0.33976978063583374,5632
23,0.33783668279647827,5888
24,0.3381211459636688,6144
25,0.33866968750953674,6400
26,0.32177746295928955,6656
27,0.32583460211753845,6912
28,0.3252806067466736,7168
29,0.3329555094242096,7424
30,0.32164907455444336,7680
31,0.3323347866535187,7936
32,0.32374879717826843,8192
33,0.32175496220588684,8448
34,0.32048511505126953,8704
35,0.32253655791282654,8960
36,0.31832197308540344,9216
37,0.3137871325016022,9472
38,0.32484713196754456,9728
39,0.31280311942100525,9984
40,0.31684157252311707,10240
41,0.3102353513240814,10496
42,0.32273635268211365,10752
43,0.3169258236885071,11008
44,0.3148607015609741,11264
45,0.3052321672439575,11520
46,0.32058632373809814,11776
47,0.3130502700805664,12032
48,0.3171306550502777,12288
49,0.31746986508369446,12544
50,0.30019399523735046,12800
51,0.3133842945098877,13056
52,0.3097204566001892,13312
53,0.3047697842121124,13568
54,0.3042752742767334,13824
55,0.31246575713157654,14080
56,0.31022408604621887,14336
57,0.3079589307308197,14592
58,0.3114464581012726,14848
59,0.3110155761241913,15104
60,0.30685490369796753,15360
61,0.3129102289676666,15616
62,0.30697205662727356,15872
63,0.2976119816303253,16128
64,0.31068283319473267,16384
65,0.30331096053123474,16640
66,0.3124276101589203,16896
67,0.3030754029750824,17152
68,0.30895569920539856,17408
69,0.313350111246109,17664
70,0.3000389635562897,17920
71,0.3058025538921356,18176
72,0.30764588713645935,18432
73,0.306164413690567,18688
74,0.30418941378593445,18944
75,0.3015976846218109,19200
76,0.2873196601867676,19456
77,0.29464542865753174,19712
78,0.29427775740623474,19968
79,0.3051614761352539,20224
80,0.29958948493003845,20480
81,0.29018184542655945,20736
82,0.2962907552719116,20992
83,0.29192328453063965,21248
84,0.2979656159877777,21504
85,0.28750425577163696,21760
86,0.289592444896698,22016
87,0.2808854579925537,22272
88,0.2822036147117615,22528
89,0.287545382976532,22784
90,0.28121575713157654,23040
91,0.2769095003604889,23296
92,0.2828405201435089,23552
93,0.2820056080818176,23808
94,0.2719729244709015,24064
95,0.2660861909389496,24320
96,0.27377769351005554,24576
97,0.27987343072891235,24832
98,0.27995356917381287,25088
99,0.269510418176651,25344
100,0.2772578001022339,25600
101,0.26177978515625,25856
102,0.2636229991912842,26112
103,0.25466591119766235,26368
104,0.2713964283466339,26624
105,0.2635151445865631,26880
106,0.25036367774009705,27136
107,0.25793197751045227,27392
108,0.24867643415927887,27648
109,0.25366178154945374,27904
110,0.25032469630241394,28160
111,0.24760214984416962,28416
112,0.2464650720357895,28672
113,0.24494892358779907,28928
114,0.25228267908096313,29184
115,0.24253234267234802,29440
116,0.2384350746870041,29696
117,0.24597333371639252,29952
118,0.24867847561836243,30208
119,0.2500055730342865,30464
120,0.25201475620269775,30720
121,0.2531892657279968,30976
122,0.23988744616508484,31232
123,0.24717283248901367,31488
124,0.24427542090415955,31744
125,0.2436501830816269,32000
126,0.2478751242160797,32256
127,0.23114615678787231,32512
128,0.23972736299037933,32768
129,0.24650387465953827,33024
130,0.24264483153820038,33280
131,0.23830118775367737,33536
132,0.24215304851531982,33792
133,0.24114122986793518,34048
134,0.24008449912071228,34304
135,0.24517391622066498,34560
136,0.2355852574110031,34816
137,0.23287063837051392,35072
138,0.24712024629116058,35328
139,0.23268140852451324,35584
140,0.24632591009140015,35840
141,0.22300636768341064,36096
142,0.24328871071338654,36352
143,0.23683884739875793,36608
144,0.24146631360054016,36864
145,0.24591322243213654,37120
146,0.22098252177238464,37376
147,0.23305824398994446,37632
148,0.2303011417388916,37888
149,0.23672345280647278,38144
150,0.24164360761642456,38400
151,0.24422049522399902,38656
152,0.23301473259925842,38912
153,0.2431848794221878,39168
154,0.22830675542354584,39424
155,0.2288971096277237,39680
156,0.23599772155284882,39936
157,0.24305889010429382,40192
158,0.23158472776412964,40448
159,0.23480939865112305,40704
160,0.23481854796409607,40960
161,0.22621722519397736,41216
162,0.23670385777950287,41472
163,0.22445352375507355,41728
164,0.23078204691410065,41984
165,0.23715224862098694,42240
166,0.22272731363773346,42496
167,0.2321702241897583,42752
168,0.2195475995540619,43008
169,0.2312624156475067,43264
170,0.23919916152954102,43520
171,0.24083632230758667,43776
172,0.2377854585647583,44032
173,0.23502963781356812,44288
174,0.21488162875175476,44544
175,0.22838811576366425,44800
176,0.22338397800922394,45056
177,0.24012279510498047,45312
178,0.2359686940908432,45568
179,0.22137996554374695,45824
180,0.23252230882644653,46080
181,0.23231838643550873,46336
182,0.21176591515541077,46592
183,0.2208797186613083,46848
184,0.21949374675750732,47104
185,0.22941090166568756,47360
186,0.22556832432746887,47616
187,0.22265708446502686,47872
188,0.2192133069038391,48128
189,0.2220112383365631,48384
190,0.23363901674747467,48640
191,0.21017082035541534,48896
192,0.23279567062854767,49152
193,0.23695655167102814,49408
194,0.2403641939163208,49664
195,0.22677834331989288,49920
196,0.21594227850437164,50176
197,0.22038723528385162,50432
198,0.22130350768566132,50688
199,0.21346713602542877,50944
200,0.22170166671276093,51200
201,0.2175903022289276,51456
202,0.2181488424539566,51712
203,0.23204080760478973,51968
204,0.22315196692943573,52224
205,0.22822651267051697,52480
206,0.21823842823505402,52736
207,0.23888079822063446,52992
208,0.22238381206989288,53248
209,0.22633950412273407,53504
210,0.2143106609582901,53760
211,0.24080827832221985,54016
212,0.2199377566576004,54272
213,0.21577218174934387,54528
214,0.229023277759552,54784
215,0.21541854739189148,55040
216,0.22630338370800018,55296
217,0.21970954537391663,55552
218,0.21629127860069275,55808
219,0.2114657610654831,56064
220,0.21231211721897125,56320
221,0.21828866004943848,56576
222,0.21272031962871552,56832
223,0.22269348800182343,57088
224,0.21366824209690094,57344
225,0.23505623638629913,57600
226,0.22673028707504272,57856
227,0.22579172253608704,58112
228,0.22043165564537048,58368
229,0.2161160558462143,58624
230,0.22732548415660858,58880
231,0.21972768008708954,59136
232,0.20906321704387665,59392
233,0.209209144115448,59648
234,0.22419412434101105,59904
235,0.22159942984580994,60160
236,0.21795888245105743,60416
237,0.21662040054798126,60672
238,0.21326839923858643,60928
239,0.22235018014907837,61184
240,0.21866732835769653,61440
241,0.21947140991687775,61696
242,0.21796192228794098,61952
243,0.199737086892128,62208
244,0.23196038603782654,62464
245,0.21463394165039062,62720
246,0.22053810954093933,62976
247,0.2031349241733551,63232
248,0.22056123614311218,63488
249,0.2312830239534378,63744
250,0.22331053018569946,64000
251,0.21385498344898224,64256
252,0.21310721337795258,64512
253,0.22962257266044617,64768
254,0.23366932570934296,65024
255,0.2275482565164566,65280
256,0.22054484486579895,65536
257,0.20924244821071625,65792
258,0.21538181602954865,66048
259,0.22583480179309845,66304
260,0.20272590219974518,66560
261,0.21523991227149963,66816
262,0.2119685262441635,67072
263,0.2022227942943573,67328
264,0.22230878472328186,67584
265,0.22913846373558044,67840
266,0.20377905666828156,68096
267,0.21146267652511597,68352
268,0.212300106883049,68608
269,0.22506047785282135,68864
270,0.2089952975511551,69120
271,0.2149094045162201,69376
272,0.2246682047843933,69632
273,0.21279582381248474,69888
274,0.21794021129608154,70144
275,0.22636137902736664,70400
276,0.22538617253303528,70656
277,0.20298327505588531,70912
278,0.21168392896652222,71168
279,0.218708336353302,71424
280,0.20768946409225464,71680
281,0.21895349025726318,71936
282,0.20971079170703888,72192
283,0.21654097735881805,72448
284,0.2073133885860443,72704
285,0.2064906656742096,72960
286,0.2095818817615509,73216
287,0.21644484996795654,73472
288,0.22857052087783813,73728
289,0.21230217814445496,73984
290,0.1976137012243271,74240
291,0.22497358918190002,74496
292,0.20180226862430573,74752
293,0.2174006551504135,75008
294,0.21594683825969696,75264
295,0.21234650909900665,75520
296,0.20901276171207428,75776
297,0.21465884149074554,76032
298,0.210533007979393,76288
299,0.20242241024971008,76544
300,0.20854826271533966,76800
301,0.20875215530395508,77056
302,0.21943004429340363,77312
303,0.2245662808418274,77568
304,0.20791657269001007,77824
305,0.22092205286026,78080
306,0.207618847489357,78336
307,0.21646936237812042,78592
308,0.21860206127166748,78848
309,0.20231275260448456,79104
310,0.2217467725276947,79360
311,0.21167847514152527,79616
312,0.21385179460048676,79872
313,0.20611485838890076,80128
314,0.22928868234157562,80384
315,0.20446215569972992,80640
316,0.2062322497367859,80896
317,0.21597988903522491,81152
318,0.22509196400642395,81408
319,0.21958093345165253,81664
320,0.22005736827850342,81920
321,0.19675743579864502,82176
322,0.2132357507944107,82432
323,0.210509791970253,82688
324,0.2006695419549942,82944
325,0.21909360587596893,83200
326,0.20838086307048798,83456
327,0.2183150351047516,83712
328,0.21985860168933868,83968
329,0.21998777985572815,84224
330,0.2086241990327835,84480
331,0.21288596093654633,84736
332,0.21094726026058197,84992
333,0.214202880859375,85248
334,0.1974261999130249,85504
335,0.22037313878536224,85760
336,0.20506958663463593,86016
337,0.22129322588443756,86272
338,0.2084825038909912,86528
339,0.22066734731197357,86784
340,0.20902280509471893,87040
341,0.20338918268680573,87296
342,0.21702660620212555,87552
343,0.21600843966007233,87808
344,0.20405606925487518,88064
345,0.2013939917087555,88320
346,0.21014893054962158,88576
347,0.22146369516849518,88832
348,0.21145570278167725,89088
349,0.21446821093559265,89344
350,0.2152954787015915,89600
351,0.22200985252857208,89856
352,0.20336131751537323,90112
353,0.20513668656349182,90368
354,0.20613756775856018,90624
355,0.22532084584236145,90880
356,0.19964846968650818,91136
357,0.21002565324306488,91392
358,0.19915273785591125,91648
359,0.20175407826900482,91904
360,0.21902135014533997,92160
361,0.20593468844890594,92416
362,0.20388929545879364,92672
363,0.2124563455581665,92928
364,0.2258162647485733,93184
365,0.20564471185207367,93440
366,0.19834937155246735,93696
367,0.21575775742530823,93952
368,0.21666225790977478,94208
369,0.22338898479938507,94464
370,0.21640020608901978,94720
371,0.20990292727947235,94976
372,0.21041589975357056,95232
373,0.21108245849609375,95488
374,0.21109093725681305,95744
375,0.21199968457221985,96000
376,0.2090214639902115,96256
377,0.2186937779188156,96512
378,0.1986483335494995,96768
379,0.19853772222995758,97024
380,0.21088023483753204,97280
381,0.21635939180850983,97536
382,0.21298184990882874,97792
383,0.224606454372406,98048
384,0.21226365864276886,98304
385,0.20633336901664734,98560
386,0.21883489191532135,98816
387,0.19775299727916718,99072
388,0.21132692694664001,99328
389,0.20252762734889984,99584
390,0.2172517627477646,99840
391,0.20597510039806366,100096
392,0.20857827365398407,100352
393,0.20773130655288696,100608
394,0.21167290210723877,100864
395,0.23002946376800537,101120
396,0.2081991285085678,101376
397,0.2099481225013733,101632
398,0.20338468253612518,101888
399,0.21343551576137543,102144
400,0.21306739747524261,102400
401,0.20226414501667023,102656
402,0.21407805383205414,102912
403,0.21169184148311615,103168
404,0.19962018728256226,103424
405,0.21298862993717194,103680
406,0.22248190641403198,103936
407,0.20509476959705353,104192
408,0.20949800312519073,104448
409,0.2256842702627182,104704
410,0.2236533761024475,104960
411,0.20696835219860077,105216
412,0.22517696022987366,105472
413,0.21254101395606995,105728
414,0.2222995012998581,105984
415,0.2026345580816269,106240
416,0.2113519012928009,106496
417,0.21528418362140656,106752
418,0.21612299978733063,107008
419,0.20788799226284027,107264
420,0.2051175981760025,107520
421,0.22349205613136292,107776
422,0.21226993203163147,108032
423,0.21922114491462708,108288
424,0.21996623277664185,108544
425,0.22079628705978394,108800
426,0.21297286450862885,109056
427,0.22514201700687408,109312
428,0.21423064172267914,109568
429,0.22678127884864807,109824
430,0.20559392869472504,110080
431,0.19480064511299133,110336
432,0.21470220386981964,110592
433,0.22321341931819916,110848
434,0.20571304857730865,111104
