step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e
1,18.083616256713867,18.95355224609375,-0.33636391162872314,1.9027715121416828,0.29104578495025635,0.6274096965789795,0.4664917290210724,0.14441153407096863,508,4,0,0.05767226219177246,-0.3448840379714966,0.016691450029611588,0.02720397338271141,0.8046923875808716,0.11216239631175995,0.18651367723941803,7.684585094451904,0.00262714852578938,0.020318087190389633,0.008652923628687859,0.0090057123452425
2,19.041589736938477,17.29779815673828,-0.2388647198677063,1.7415433670802363,0.4390169382095337,0.67788165807724,0.5537275671958923,0.2009161114692688,1016,8,0,0.2634000778198242,-0.27074217796325684,0.012826229445636272,0.022975169122219086,0.8953347206115723,0.13772284984588623,0.22234773635864258,8.217219352722168,0.0026787323877215385,0.02488347515463829,0.009382781572639942,0.00947682373225689
3,27.578218460083008,17.817066192626953,-0.23452842235565186,1.7059597979401087,0.43325942754745483,0.6677878499031067,0.5856251120567322,0.16023008525371552,1524,12,1,0.2752281427383423,-0.38405001163482666,0.01304338313639164,0.020983509719371796,0.9022178053855896,0.1460547149181366,0.25161516666412354,14.778600692749023,0.002405907493084669,0.025017261505126953,0.008080091327428818,0.007999326102435589
4,31.962888717651367,17.819475173950195,-0.21637314558029175,1.6328463624669185,0.44172215461730957,0.6580953001976013,0.58226478099823,0.22198842465877533,2032,16,0,0.23398441076278687,-0.35119926929473877,0.012422590516507626,0.019472628831863403,0.8727717995643616,0.1120917871594429,0.19932921230793,16.684608459472656,0.0024505960755050182,0.03093555010855198,0.009204460307955742,0.00945284403860569
5,22.61161231994629,18.472673416137695,-0.21770063042640686,1.6366698206054935,0.4403629004955292,0.658063530921936,0.6082638502120972,0.11102843284606934,2540,20,1,0.3116234540939331,-0.44408440589904785,0.012272113002836704,0.017746584489941597,0.9081814885139465,0.11230361461639404,0.20751984417438507,10.685288429260254,0.002213770989328623,0.02518770843744278,0.00804385356605053,0.008096419274806976
6,20.765432357788086,18.25263786315918,-0.21023041009902954,1.6182023187575663,0.44970226287841797,0.6599326729774475,0.5962717533111572,0.09234446287155151,3048,24,0,0.3599461317062378,-0.3720141649246216,0.012545104138553143,0.01852346584200859,0.9158123135566711,0.12028243392705917,0.20829655230045319,10.06743335723877,0.0022873496636748314,0.02518325299024582,0.008480352349579334,0.008569817058742046
7,16.239410400390625,17.744842529296875,-0.22618240118026733,1.7308861133004054,0.46435433626174927,0.6905367374420166,0.5765711665153503,0.041320741176605225,3556,28,0,0.42137259244918823,-0.26837193965911865,0.013126995414495468,0.01982639729976654,0.9290550947189331,0.1369461566209793,0.24141216278076172,5.611114978790283,0.002004454843699932,0.020350899547338486,0.008772587403655052,0.009341787546873093
8,15.981606483459473,17.44673728942871,-0.2144567370414734,1.7261255592276805,0.49019938707351685,0.7046561241149902,0.6013912558555603,0.05312848463654518,4064,32,1,0.44058483839035034,-0.28183066844940186,0.012695984914898872,0.019920285791158676,0.9368826746940613,0.1426301747560501,0.2536275386810303,5.30013370513916,0.0022193673066794872,0.02082732878625393,0.008915377780795097,0.009212091565132141
9,15.182126998901367,17.19159698486328,-0.218048095703125,1.7690968645275769,0.4984400272369385,0.7164881229400635,0.5911754965782166,0.05363677069544792,4572,36,1,0.4603259563446045,-0.22911179065704346,0.01323768775910139,0.01966390758752823,0.9388832449913025,0.1308031678199768,0.24056486785411835,4.834737300872803,0.0017722082557156682,0.021950187161564827,0.008340511471033096,0.008479250594973564
10,14.344788551330566,16.949344635009766,-0.21484217047691345,1.7466099184715065,0.4974009096622467,0.7122430801391602,0.5898175239562988,0.054989323019981384,5080,40,1,0.4633444547653198,-0.22599482536315918,0.013232209719717503,0.021458148956298828,0.9464892148971558,0.14683140814304352,0.26510149240493774,4.511463642120361,0.0017345806118100882,0.022485438734292984,0.008929732255637646,0.008954329416155815
