arm,head,ckpt,n,mean_log_delta,ci_lo_log,ci_hi_log,gm_a,gm_b,gm_delta_abs,gm_delta_lo,gm_delta_hi,p_below_zero
emb100_enc01,2L,best,97,0.000345,-0.007127,0.009176,1.1474,1.1470,0.000396,-0.008145,0.010574,0.493700
emb100_enc01,2L,last,97,-0.006076,-0.019924,0.007400,1.1610,1.1681,-0.007076,-0.023042,0.008676,0.807000
emb100_enc01,6L,best,97,0.003400,-0.003193,0.011317,1.1447,1.1408,0.003885,-0.003637,0.012984,0.187600
emb100_enc01,6L,last,97,-0.000865,-0.013699,0.015157,1.1473,1.1482,-0.000993,-0.015623,0.017536,0.582700
emb100_enc10,2L,best,97,-0.014731,-0.025850,-0.003973,1.1302,1.1470,-0.016773,-0.029270,-0.004548,0.997300
emb100_enc10,2L,last,97,0.006440,-0.005218,0.018639,1.1756,1.1681,0.007547,-0.006079,0.021977,0.140400
emb100_enc10,6L,best,97,-0.010018,-0.022881,0.005815,1.1294,1.1408,-0.011371,-0.025806,0.006653,0.905600
emb100_enc10,6L,last,97,0.002822,-0.009657,0.016015,1.1515,1.1482,0.003245,-0.011035,0.018537,0.328400
emb100_enc100,2L,best,97,0.006072,-0.003078,0.016693,1.1540,1.1470,0.006986,-0.003525,0.019308,0.101700
emb100_enc100,2L,last,97,0.000130,-0.012297,0.012108,1.1682,1.1681,0.000151,-0.014276,0.014229,0.479100
emb100_enc100,6L,best,97,0.004979,-0.003673,0.015066,1.1465,1.1408,0.005694,-0.004183,0.017316,0.141600
emb100_enc100,6L,last,97,0.004837,-0.009217,0.019071,1.1538,1.1482,0.005567,-0.010535,0.022108,0.241800
emb1000_enc01,2L,best,97,0.007261,-0.000832,0.016289,1.1554,1.1470,0.008359,-0.000954,0.018837,0.042400
emb1000_enc01,2L,last,97,0.012550,-0.004700,0.030586,1.1828,1.1681,0.014752,-0.005477,0.036280,0.082700
emb1000_enc01,6L,best,97,0.004786,-0.002951,0.012818,1.1462,1.1408,0.005473,-0.003361,0.014716,0.116200
emb1000_enc01,6L,last,97,0.017216,-0.003913,0.039147,1.1682,1.1482,0.019940,-0.004485,0.045841,0.051200
