arm,head,ckpt,n,mean_log_delta,ci_lo_log,ci_hi_log,gm_a,gm_b,gm_delta_abs,gm_delta_lo,gm_delta_hi,p_below_zero
emb100_enc10,2L,best,97,-0.015077,-0.025668,-0.005453,1.1302,1.1474,-0.017169,-0.029077,-0.006239,0.999500
emb100_enc10,2L,last,97,0.012516,-0.000737,0.026011,1.1756,1.1610,0.014623,-0.000855,0.030595,0.032800
emb100_enc10,6L,best,97,-0.013417,-0.024754,-0.001547,1.1294,1.1447,-0.015256,-0.027987,-0.001769,0.985000
emb100_enc10,6L,last,97,0.003687,-0.010573,0.017919,1.1515,1.1473,0.004238,-0.012066,0.020743,0.293600
emb100_enc100,2L,best,97,0.005727,-0.005665,0.017279,1.1540,1.1474,0.006590,-0.006482,0.019999,0.163600
emb100_enc100,2L,last,97,0.006206,-0.006224,0.018337,1.1682,1.1610,0.007227,-0.007204,0.021486,0.159500
emb100_enc100,6L,best,97,0.001580,-0.006356,0.009199,1.1465,1.1447,0.001810,-0.007252,0.010578,0.339200
emb100_enc100,6L,last,97,0.005702,-0.007803,0.018924,1.1538,1.1473,0.006560,-0.008917,0.021917,0.193600
emb10_enc10,2L,best,97,-0.003406,-0.013645,0.005934,1.1435,1.1474,-0.003902,-0.015550,0.006829,0.755600
emb10_enc10,2L,last,97,0.005933,-0.005260,0.017192,1.1679,1.1610,0.006909,-0.006091,0.020133,0.149400
emb10_enc10,6L,best,97,0.000236,-0.007059,0.008232,1.1449,1.1447,0.000270,-0.008052,0.009462,0.482900
emb10_enc10,6L,last,97,0.003880,-0.008678,0.017469,1.1517,1.1473,0.004460,-0.009913,0.020218,0.272300
emb1000_enc01,2L,best,97,0.006916,-0.001919,0.015517,1.1554,1.1474,0.007963,-0.002200,0.017943,0.057200
emb1000_enc01,2L,last,97,0.018626,0.004008,0.034734,1.1828,1.1610,0.021828,0.004663,0.041035,0.004800
emb1000_enc01,6L,best,97,0.001386,-0.008753,0.009343,1.1462,1.1447,0.001588,-0.009975,0.010745,0.360000
emb1000_enc01,6L,last,97,0.018081,0.002294,0.035209,1.1682,1.1473,0.020932,0.002635,0.041113,0.011300
emb10000_enc10,2L,best,97,0.001225,-0.010990,0.013014,1.1488,1.1474,0.001406,-0.012541,0.015030,0.408400
emb10000_enc10,2L,last,97,-0.006345,-0.018695,0.007837,1.1537,1.1610,-0.007343,-0.021504,0.009134,0.827500
emb10000_enc10,6L,best,97,-0.004361,-0.016518,0.007070,1.1397,1.1447,-0.004981,-0.018752,0.008121,0.760100
emb10000_enc10,6L,last,97,-0.005003,-0.014026,0.004150,1.1415,1.1473,-0.005726,-0.015979,0.004771,0.858400
