step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e
1,18.30841064453125,18.95355224609375,-0.33636391162872314,1.9027715121416828,0.29104578495025635,0.6274096965789795,0.4664917290210724,0.14441153407096863,508,4,0,0.05767226219177246,-0.3448840379714966,0.016691450029611588,0.02720397338271141,0.8046923875808716,0.11216239631175995,0.18651367723941803,7.684585094451904,0.00262714852578938,0.020318087190389633,0.008652923628687859,0.0090057123452425
2,19.1168270111084,17.43984603881836,-0.24892771244049072,1.7540366182194844,0.4209454655647278,0.6698731780052185,0.5432298183441162,0.17164964973926544,1016,8,0,0.25815844535827637,-0.2813915014266968,0.013513527810573578,0.024420909583568573,0.8977153897285461,0.14721976220607758,0.23646953701972961,7.907331943511963,0.0026519764214754105,0.022686297073960304,0.009369435720145702,0.00946076214313507
3,27.901395797729492,17.969528198242188,-0.24327009916305542,1.7046872620550981,0.4115127921104431,0.6547828912734985,0.5699474811553955,0.139418825507164,1524,12,1,0.2683334946632385,-0.3832378387451172,0.013966862112283707,0.02241826243698597,0.8992629051208496,0.14552514255046844,0.25030890107154846,15.129156112670898,0.002366920467466116,0.02225184254348278,0.008061989210546017,0.0079784095287323
4,29.735315322875977,17.99907112121582,-0.23411309719085693,1.6736744648102468,0.41837024688720703,0.652483344078064,0.561788022518158,0.1927151083946228,2032,16,0,0.23094123601913452,-0.34054768085479736,0.013642665930092335,0.02101566456258297,0.8671373724937439,0.1096910834312439,0.19127978384494781,14.797783851623535,0.002382386941462755,0.026969272643327713,0.009184795431792736,0.00942607969045639
5,20.870193481445312,18.739957809448242,-0.22494754195213318,1.6231029092384823,0.41404059529304504,0.6389881372451782,0.5836567282676697,0.08344051986932755,2540,20,1,0.3159841299057007,-0.42100203037261963,0.013337798416614532,0.018338892608880997,0.9004338383674622,0.10630185157060623,0.1955869346857071,9.33759593963623,0.0021423252765089273,0.021110661327838898,0.00801984965801239,0.008066515438258648
6,21.297014236450195,18.43848991394043,-0.21700146794319153,1.6085436428101973,0.4264070689678192,0.6434085369110107,0.5733946561813354,0.07601743191480637,3048,24,0,0.36191195249557495,-0.35249245166778564,0.013581309467554092,0.019607363268733025,0.9196475744247437,0.1346866637468338,0.23004412651062012,10.678376197814941,0.002241005189716816,0.021333949640393257,0.008464989252388477,0.008551954291760921
7,16.54705047607422,17.789913177490234,-0.23214766383171082,1.7561298329863426,0.4608314335346222,0.692979097366333,0.5686960816383362,0.0732794925570488,3556,28,0,0.4015669822692871,-0.25403428077697754,0.013807624578475952,0.020640702918171883,0.9298025965690613,0.14810237288475037,0.2506972551345825,5.492217540740967,0.0019867937080562115,0.02187969535589218,0.008769651874899864,0.009339738637208939
8,15.731762886047363,17.578306198120117,-0.21570470929145813,1.736243314877023,0.491315096616745,0.7070198059082031,0.6001068949699402,0.10834833234548569,4064,32,1,0.4134073257446289,-0.27599430084228516,0.012970022857189178,0.019331905990839005,0.9253188967704773,0.13765224814414978,0.2415180802345276,4.618103981018066,0.0021753679029643536,0.024931054562330246,0.008919443003833294,0.009219001978635788
9,15.081796646118164,17.534873962402344,-0.22433793544769287,1.7424305935139015,0.4734951853752136,0.6978331208229065,0.5748844146728516,0.06442549079656601,4572,36,1,0.43038487434387207,-0.24146878719329834,0.013950257562100887,0.020158227533102036,0.9309322834014893,0.13073256611824036,0.2356928437948227,4.694032669067383,0.00175216153729707,0.022055622190237045,0.008344787172973156,0.00848369300365448
10,14.042784690856934,17.286293029785156,-0.22175225615501404,1.699494141403506,0.46122971177101135,0.6829819679260254,0.5661858916282654,0.0503537654876709,5080,40,1,0.43013107776641846,-0.24284934997558594,0.014298489317297935,0.0226631797850132,0.9424896836280823,0.15403352677822113,0.2688790559768677,4.38212776184082,0.001746444613672793,0.01987023651599884,0.008939276449382305,0.00896469410508871
11,13.010965347290039,17.052892684936523,-0.21529632806777954,1.6723609574658387,0.4644942283630371,0.6797905564308167,0.5732532143592834,0.04213244467973709,5588,44,0,0.43446648120880127,-0.2554851770401001,0.014454929158091545,0.02235286682844162,0.9453758001327515,0.1478552520275116,0.2680317759513855,3.786142349243164,0.001761613879352808,0.0182742141187191,0.008740455843508244,0.00833183154463768
12,12.595192909240723,17.12752342224121,-0.21907317638397217,1.6718208837367434,0.4548381567001343,0.6739113330841064,0.555767297744751,0.04973083734512329,6096,48,0,0.42971569299697876,-0.22770333290100098,0.014411530457437038,0.026139570400118828,0.9435260891914368,0.15710502862930298,0.27766987681388855,3.5526516437530518,0.0019058577017858624,0.018006060272455215,0.008825204335153103,0.009337648749351501
