run,flagged,n_rows,step_max,n_nonfinite,loss_final,loss_min,loss_max,rise_from_min,max_jump_iqr,qk_max,resid_max,qk_trend
bb_small_arm1_combab_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,arm1_combab (copied from #379) — 3.1251 at 40k,1498,200000,0,19.7654,15.3006,24.7605,4.4648,2.9088,6.5092,51.8184,0.5629
bb_small_arm1_ncpc_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,1498,200000,0,18.1717,17.5293,25.6179,0.6424,1.8524,11.0455,14.6478,1.3395
bb_small_arm1_nse_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,1498,200000,0,17.8654,17.1760,30.9050,0.6894,2.3263,22.9974,27.0788,1.1676
bb_small_arm1_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,1573,200000,0,18.2253,17.8218,30.9622,0.4035,4.8062,22.4311,29.6418,1.0392
bb_small_arm1_tr1_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,1037,100000,0,18.9070,14.8850,26.8960,4.0220,6.7747,15.8963,25.8987,1.4492
bb_small_arm3_combab_split_pred_rep_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,16.2742,15.8166,21.4108,0.4576,0.7284,12.0184,15.7160,1.9249
bb_small_arm3_ncpc_split_pred_rep_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,18.0509,17.4889,25.8306,0.5619,2.5852,11.3254,14.2396,1.4243
bb_small_arm3_nse_split_pred_rep_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,16.2498,15.7541,31.1447,0.4957,0.6666,20.3154,24.3644,1.1578
bb_small_arm3_split_pred_rep_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,1573,200000,0,16.1665,15.5758,31.2019,0.5907,0.9249,19.9985,23.5514,1.1336
bb_small_arm3_tr1_split_pred_rep_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,1529,200000,0,15.1496,14.5117,27.1357,0.6379,1.2561,28.0422,25.6747,1.0407
bb_small_arm4_combab_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,4.7272,4.3543,10.4223,0.3729,2.2888,16.3950,16.4064,1.4062
bb_small_arm4_ncpc_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,4.9286,4.2404,10.4789,0.6882,2.0788,17.0157,17.6408,1.7345
bb_small_arm4_nse_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,3.6061,3.4315,16.2379,0.1745,1.1888,26.6883,24.4308,1.4600
bb_small_arm4_tr1_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,3.6035,3.4123,16.2951,0.1912,1.2741,23.6586,25.1487,1.2158
bb_small_arm4_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,1187,100000,0,3.6540,3.4135,16.2951,0.2404,1.4524,23.6586,25.1487,1.1168
bb_small_arm5_combab_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,1498,200000,0,13.3856,13.2314,14.4006,0.1542,0.5599,218.6327,19.5084,5.9932
