run,window,n_rows,loss_first,loss_last,loss_min,delta,qk_max,qk_mean
bb_small_arm1_combab_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,19.0308,19.8247,15.6983,+0.7939,6.04,2.59
bb_small_arm1_combab_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,20.1799,19.5394,15.3006,-0.6405,6.51,2.13
bb_small_arm1_combab_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,100k-200k,500,19.4733,19.7473,15.5447,+0.2740,,
bb_small_arm1_ncpc_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,21.1833,18.0861,17.5293,-3.0972,9.00,5.68
bb_small_arm1_ncpc_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,18.1641,18.2983,17.7206,+0.1342,11.05,6.33
bb_small_arm1_ncpc_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,100k-200k,500,18.2904,18.1936,17.5926,-0.0968,,
bb_small_arm1_nse_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,25.6070,18.5177,17.9297,-7.0893,23.00,9.29
bb_small_arm1_nse_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,18.4657,17.4534,17.1760,-1.0123,21.23,10.48
bb_small_arm1_nse_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,100k-200k,500,17.5840,17.8332,17.3101,+0.2492,20.79,11.11
bb_small_arm1_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,773,25.4280,18.5879,17.9194,-6.8401,22.43,8.94
bb_small_arm1_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,18.5859,18.4878,18.1656,-0.0981,18.84,9.45
bb_small_arm1_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,100k-200k,500,18.5051,18.1582,17.8218,-0.3469,19.15,9.04
bb_small_arm1_tr1_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,23.2446,18.7344,15.5887,-4.5102,8.08,4.27
bb_small_arm1_tr1_split_pred_rep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,339,18.4428,19.5963,14.8850,+1.1535,15.90,5.28
bb_small_arm3_combab_split_pred_rep_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,19.2064,16.4483,15.8166,-2.7580,11.74,5.53
bb_small_arm3_combab_split_pred_rep_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,16.5726,16.2348,15.8266,-0.3378,12.02,7.14
bb_small_arm3_ncpc_split_pred_rep_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,21.4016,18.0765,17.4889,-3.3251,11.33,5.41
bb_small_arm3_ncpc_split_pred_rep_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,18.1519,18.1002,17.6141,-0.0517,10.45,6.35
bb_small_arm3_nse_split_pred_rep_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,25.7803,16.3393,15.9026,-9.4410,20.32,8.46
