step,layer_idx,block,qk_logit_maxabs,sa_in_maxabs,sa_out_maxabs,resid_post_sa_maxabs,resid_post_ffn_maxabs
200,0,enc,2.7156264781951904,4.939704895019531,2.76171875,5.743136405944824,5.630375385284424
200,1,enc,2.731980323791504,5.206789016723633,3.69921875,6.945125579833984,6.744042873382568
200,2,enc,2.632946014404297,5.825862407684326,4.375,7.3832550048828125,6.307781219482422
200,0,fcst,2.3989920616149902,5.723537921905518,1.9365234375,8.206180572509766,9.817423820495605
200,1,fcst,2.8176348209381104,6.189449310302734,1.96484375,12.851526260375977,17.037723541259766
200,2,fcst,2.772158145904541,5.6241021156311035,2.94921875,19.24365997314453,23.084806442260742
200,0,enc,2.707091808319092,4.992502212524414,2.23046875,5.3180832862854,5.106761932373047
200,1,enc,2.6851906776428223,5.012923717498779,3.298828125,5.978293418884277,5.449181079864502
200,2,enc,2.666175127029419,5.526747226715088,3.87890625,6.3540754318237305,5.1880598068237305
400,0,enc,2.8581085205078125,5.228742599487305,2.703125,5.235499382019043,5.292507171630859
400,1,enc,2.695327043533325,5.1780571937561035,5.98828125,6.879439353942871,6.82972526550293
400,2,enc,2.5864288806915283,6.2038679122924805,7.7421875,7.002774238586426,6.048532485961914
400,0,fcst,2.4881691932678223,5.418101787567139,2.150390625,7.684226036071777,11.069557189941406
400,1,fcst,3.116661548614502,6.355677604675293,2.28125,13.372003555297852,17.624629974365234
400,2,fcst,3.1444239616394043,5.493276119232178,2.619140625,19.238969802856445,22.639577865600586
400,0,enc,2.8609745502471924,5.209927082061768,2.1796875,5.09996223449707,5.331015586853027
400,1,enc,2.6835689544677734,5.061087608337402,5.38671875,6.008303165435791,5.812299728393555
400,2,enc,2.58525013923645,6.022988319396973,6.953125,7.731171607971191,4.904999732971191
600,0,enc,3.0351169109344482,4.596266746520996,2.41796875,5.181826114654541,4.805400848388672
600,1,enc,2.6642415523529053,4.865388870239258,8.1796875,6.771435260772705,6.46489143371582
600,2,enc,2.631300449371338,6.223194599151611,10.6015625,7.570481777191162,5.965610504150391
600,0,fcst,2.534058094024658,4.898789405822754,2.205078125,8.191194534301758,9.705568313598633
600,1,fcst,3.3999717235565186,5.619235992431641,2.099609375,11.161466598510742,13.525636672973633
600,2,fcst,3.417607069015503,5.160590171813965,2.439453125,15.465356826782227,18.906160354614258
600,0,enc,3.022228956222534,4.574008941650391,1.8525390625,4.53812837600708,4.572699546813965
600,1,enc,2.6639885902404785,4.745661735534668,7.70703125,6.124388694763184,5.672946929931641
600,2,enc,2.6398627758026123,6.35390567779541,9.296875,7.057056903839111,5.15311336517334
800,0,enc,3.641937494277954,5.089378356933594,2.56640625,5.176060199737549,5.066400527954102
800,1,enc,2.622812509536743,4.640579700469971,13.875,6.925149440765381,6.248879432678223
800,2,enc,2.65927791595459,5.943940162658691,12.53125,7.796360969543457,7.067610740661621
800,0,fcst,2.67496395111084,4.850532531738281,2.11328125,7.911509037017822,8.381339073181152
800,1,fcst,3.7474424839019775,5.402102470397949,2.435546875,10.728096008300781,11.88803482055664
800,2,fcst,3.850433111190796,5.3868279457092285,2.171875,13.551778793334961,15.72985553741455
800,0,enc,3.5685040950775146,5.0952067375183105,2.31640625,4.860349655151367,4.730454921722412
800,1,enc,2.622810125350952,4.972519874572754,10.9453125,6.125351905822754,6.049855709075928
800,2,enc,2.6725242137908936,5.882583141326904,10.9140625,5.83207893371582,4.226254940032959
1000,0,enc,3.6773569583892822,4.577158451080322,2.55859375,4.246421813964844,6.97708797454834
1000,1,enc,2.8013315200805664,4.649391174316406,14.59375,6.992888450622559,7.296353340148926
1000,2,enc,2.79584002494812,5.643229007720947,12.4921875,7.010543346405029,5.756655693054199
1000,0,fcst,3.123494863510132,4.592180252075195,2.244140625,7.451048851013184,8.586947441101074
1000,1,fcst,4.43946647644043,5.043601036071777,2.572265625,11.076606750488281,12.561169624328613
1000,2,fcst,4.464117050170898,4.874324798583984,2.23828125,14.15108585357666,15.829076766967773
1000,0,enc,3.676348924636841,4.576364994049072,2.265625,3.768038511276245,6.942044258117676
1000,1,enc,2.767181158065796,4.418693542480469,15.75,6.979940891265869,6.548457622528076
1000,2,enc,2.768442392349243,5.545816421508789,13.3828125,6.617225170135498,4.810584545135498
1200,0,enc,3.8002750873565674,4.8149614334106445,2.62109375,4.631772994995117,6.145001411437988
1200,1,enc,3.0214805603027344,4.648295879364014,15.859375,7.216204643249512,6.374152183532715
1200,2,enc,2.8953959941864014,5.682756423950195,13.828125,7.6421709060668945,7.6421709060668945
1200,0,fcst,3.3658783435821533,4.982161998748779,1.9990234375,7.560935974121094,8.321735382080078
1200,1,fcst,5.091480731964111,4.844929218292236,2.11328125,10.217911720275879,11.408032417297363
1200,2,fcst,5.239978790283203,4.33143424987793,1.98046875,13.108026504516602,14.433494567871094
1200,0,enc,3.761143922805786,4.830101013183594,2.10546875,4.143611431121826,5.588873386383057
1200,1,enc,2.997797966003418,4.332972049713135,16.234375,6.2377705574035645,5.999538421630859
1200,2,enc,2.9075734615325928,5.798281669616699,13.375,6.1194610595703125,3.7962913513183594
1400,0,enc,3.9525399208068848,5.2248945236206055,2.8671875,3.898573637008667,7.329865455627441
1400,1,enc,3.2527639865875244,4.319019794464111,16.328125,6.9909987449646,6.9909987449646
1400,2,enc,3.0129897594451904,5.7276530265808105,14.828125,6.9909987449646,5.843564033508301
1400,0,fcst,3.8043177127838135,4.929088592529297,2.013671875,8.081480026245117,8.795114517211914
1400,1,fcst,5.882525444030762,4.532480239868164,2.474609375,10.902451515197754,11.552950859069824
1400,2,fcst,6.139290809631348,4.64653205871582,2.259765625,14.004915237426758,14.47620964050293
1400,0,enc,3.933814525604248,5.206923484802246,2.162109375,3.8041508197784424,6.215579986572266
1400,1,enc,3.218012571334839,4.195581912994385,16.25,6.178413391113281,6.2309770584106445
1400,2,enc,2.996502637863159,5.754526615142822,16.375,5.828340530395508,4.302382946014404
1600,0,enc,3.922842502593994,4.302617073059082,2.416015625,4.1819562911987305,6.030596733093262
1600,1,enc,3.475450038909912,4.372777938842773,15.3359375,7.378964424133301,7.34041166305542
1600,2,enc,3.121239185333252,5.536635875701904,16.859375,6.721394062042236,5.248951435089111
1600,0,fcst,4.25106143951416,4.884521961212158,2.078125,8.156068801879883,9.606806755065918
1600,1,fcst,6.635796546936035,4.800143241882324,2.4140625,11.478106498718262,13.153453826904297
1600,2,fcst,7.249699592590332,4.914841175079346,2.08203125,14.940455436706543,16.30422592163086
1600,0,enc,3.9147307872772217,4.298373699188232,1.9619140625,3.8332901000976562,5.087953567504883
1600,1,enc,3.4392518997192383,4.3759050369262695,16.40625,7.023179054260254,6.821640968322754
1600,2,enc,3.1079678535461426,5.626043796539307,16.359375,5.087079048156738,4.508465766906738
1800,0,enc,3.943108320236206,4.482421875,2.123046875,3.816943407058716,5.723794460296631
1800,1,enc,3.539715051651001,4.499192237854004,15.71875,6.488264560699463,6.9060163497924805
1800,2,enc,3.256316661834717,5.068849563598633,16.84375,5.889590263366699,5.365349769592285
1800,0,fcst,4.430167198181152,4.800751209259033,1.8095703125,7.5712738037109375,8.253077507019043
1800,1,fcst,7.253685474395752,4.364164352416992,1.9970703125,9.425191879272461,10.31689453125
1800,2,fcst,8.23977279663086,4.532410144805908,1.90234375,11.6713285446167,13.189312934875488
1800,0,enc,3.9521217346191406,4.469476699829102,1.552734375,3.371058940887451,5.295377731323242
1800,1,enc,3.586604118347168,4.534848690032959,15.984375,5.386667728424072,5.809116363525391
1800,2,enc,3.2467923164367676,5.213166236877441,17.28125,5.098590850830078,4.425751686096191
2000,0,enc,3.889512062072754,5.180239677429199,1.93359375,3.5382938385009766,6.040264129638672
2000,1,enc,3.6558196544647217,4.609238147735596,17.078125,5.475070953369141,5.830676555633545
2000,2,enc,3.3474767208099365,4.912782192230225,15.5546875,5.356908321380615,4.805491924285889
2000,0,fcst,4.610903739929199,5.053734302520752,1.5546875,6.6203718185424805,7.286218643188477
2000,1,fcst,7.855468273162842,4.2532124519348145,1.9619140625,8.769014358520508,10.141627311706543
2000,2,fcst,9.289721488952637,4.544038772583008,2.5703125,12.333074569702148,12.436902046203613
2000,0,enc,3.874704599380493,5.1578240394592285,1.365234375,3.281951904296875,5.488983154296875
2000,1,enc,3.675415277481079,4.469630718231201,17.296875,4.496270179748535,5.089531898498535
2000,2,enc,3.3310649394989014,4.878866672515869,15.5,5.01554012298584,4.04093074798584
2200,0,enc,3.8160083293914795,4.778361797332764,2.251953125,3.5397233963012695,5.4030842781066895
2200,1,enc,3.703732490539551,4.300150394439697,16.21875,4.626181125640869,5.854479789733887
2200,2,enc,3.458153247833252,5.011040687561035,16.203125,5.854479789733887,4.769013404846191
2200,0,fcst,4.595999240875244,5.17015266418457,2.064453125,7.785811424255371,8.459096908569336
2200,1,fcst,8.380020141601562,5.01017951965332,1.990234375,9.522022247314453,10.349061965942383
2200,2,fcst,10.214980125427246,4.812695503234863,2.318359375,13.211769104003906,13.975934982299805
2200,0,enc,3.8019778728485107,4.825941562652588,1.703125,3.188326358795166,4.93151330947876
2200,1,enc,3.678162097930908,4.2892985343933105,16.703125,4.341893672943115,5.213696479797363
2200,2,enc,3.414550542831421,5.045956611633301,17.25,5.479789733886719,3.964898109436035
2400,0,enc,3.7863035202026367,4.7320685386657715,1.7685546875,3.3107028007507324,5.31838846206665
2400,1,enc,3.668407678604126,4.326079845428467,14.09375,5.366408348083496,5.103957176208496
2400,2,enc,3.461857795715332,4.920756816864014,15.0703125,5.61385440826416,4.688742637634277
2400,0,fcst,4.530850887298584,4.778519153594971,1.5322265625,7.156368732452393,7.236392498016357
2400,1,fcst,8.593921661376953,4.5342631340026855,2.216796875,9.259252548217773,9.873401641845703
2400,2,fcst,11.14148998260498,5.009487152099609,2.09375,10.754815101623535,10.986542701721191
2400,0,enc,3.7868618965148926,4.741932392120361,1.5166015625,3.0038342475891113,4.4804558753967285
2400,1,enc,3.6569347381591797,4.171277046203613,15.4140625,4.707608699798584,4.747800350189209
2400,2,enc,3.507035732269287,4.9778571128845215,16.9375,4.01999568939209,3.315718650817871
2600,0,enc,3.6698689460754395,4.207676410675049,1.943359375,3.211259126663208,5.172332286834717
2600,1,enc,3.830557107925415,3.995365619659424,14.4296875,5.040678977966309,5.240763187408447
2600,2,enc,3.436399459838867,4.772995948791504,16.59375,5.614762306213379,4.605811595916748
2600,0,fcst,4.5362396240234375,4.559696674346924,1.9697265625,6.823519706726074,7.051344871520996
2600,1,fcst,8.95444393157959,4.796168804168701,1.85546875,8.497888565063477,9.71934700012207
2600,2,fcst,11.860858917236328,4.2367119789123535,1.9375,11.47685718536377,12.26180648803711
2600,0,enc,3.660731315612793,4.224522113800049,1.421875,2.9755282402038574,4.76848030090332
2600,1,enc,3.8029351234436035,4.027563095092773,15.703125,4.987174034118652,4.980530261993408
2600,2,enc,3.4341886043548584,4.578568458557129,17.265625,4.899462699890137,3.7324705123901367
2800,0,enc,3.736346960067749,4.985128879547119,2.017578125,3.1502976417541504,5.137521743774414
2800,1,enc,3.904196262359619,3.694812297821045,17.015625,5.171241283416748,6.25906229019165
2800,2,enc,3.3587772846221924,5.093318939208984,16.96875,5.505080699920654,5.055170059204102
2800,0,fcst,4.37946081161499,3.903532028198242,1.5791015625,6.614925861358643,7.31165885925293
2800,1,fcst,8.970000267028809,4.568211555480957,1.802734375,8.677529335021973,10.154309272766113
2800,2,fcst,12.470230102539062,3.769235372543335,1.8291015625,11.481409072875977,12.603370666503906
2800,0,enc,3.7343199253082275,4.981887340545654,1.541015625,2.8764543533325195,5.378295421600342
2800,1,enc,3.95696759223938,3.328145742416382,16.3125,4.963039875030518,5.791375160217285
2800,2,enc,3.332503080368042,5.064244270324707,16.109375,4.96932315826416,3.923806667327881
3000,0,enc,3.68612003326416,4.387923240661621,2.23828125,3.0318422317504883,3.9706337451934814
3000,1,enc,4.003692150115967,3.7799854278564453,13.9296875,4.63884162902832,4.819930076599121
3000,2,enc,3.4899353981018066,4.689523696899414,13.6875,4.656545639038086,4.4769744873046875
3000,0,fcst,4.371036529541016,5.0782999992370605,1.5205078125,6.223134517669678,6.296619415283203
3000,1,fcst,8.734041213989258,4.464861869812012,1.943359375,7.764112949371338,8.9666748046875
3000,2,fcst,13.266087532043457,4.1845550537109375,1.75,10.516307830810547,12.107494354248047
3000,0,enc,3.7023396492004395,4.359933376312256,1.9580078125,2.7676775455474854,3.974017381668091
3000,1,enc,4.107481956481934,3.7692580223083496,15.3203125,4.048243522644043,4.404513359069824
3000,2,enc,3.4637017250061035,4.703787326812744,15.1484375,3.98968768119812,3.220543146133423
3200,0,enc,3.679272413253784,4.622244358062744,2.85546875,3.1673028469085693,6.021490573883057
3200,1,enc,4.233646869659424,3.6058030128479004,14.5859375,5.398416519165039,5.079562664031982
3200,2,enc,3.7160613536834717,4.757546901702881,13.5390625,5.5987749099731445,4.491232395172119
3200,0,fcst,4.480892181396484,4.507637023925781,1.375,6.322756767272949,7.053474426269531
3200,1,fcst,8.956941604614258,4.062398910522461,1.947265625,8.444648742675781,9.378515243530273
3200,2,fcst,14.520247459411621,3.767826557159424,2.0,10.62978458404541,11.23416805267334
3200,0,enc,3.6713950634002686,4.6242523193359375,2.365234375,2.6915740966796875,5.692800998687744
3200,1,enc,4.19343376159668,3.5806028842926025,15.5625,4.474555492401123,4.547008514404297
3200,2,enc,3.6646902561187744,4.434630870819092,14.2421875,5.246767520904541,4.073636054992676
3400,0,enc,3.588249444961548,3.9331555366516113,2.615234375,2.6661853790283203,5.183333396911621
3400,1,enc,4.244318962097168,3.5480639934539795,14.2734375,5.058530807495117,4.967113494873047
3400,2,enc,3.813009738922119,4.18939733505249,13.421875,4.754992485046387,4.263739109039307
3400,0,fcst,4.32427453994751,4.741637706756592,1.3486328125,6.357486724853516,6.293264389038086
3400,1,fcst,9.344944953918457,3.934231758117676,1.9443359375,8.020524978637695,8.910409927368164
3400,2,fcst,15.532485961914062,3.946629285812378,1.9853515625,11.124014854431152,11.763663291931152
3400,0,enc,3.5885448455810547,3.9515743255615234,2.306640625,2.481930732727051,4.202933311462402
3400,1,enc,4.23297643661499,3.5431101322174072,13.484375,4.216316223144531,3.9973220825195312
3400,2,enc,3.7864978313446045,4.33273458480835,14.328125,3.7689454555511475,3.571622133255005
3600,0,enc,3.5899343490600586,3.787794351577759,2.658203125,2.599705934524536,6.255965232849121
3600,1,enc,4.342366695404053,3.3654563426971436,12.9921875,4.922855854034424,4.94309139251709
3600,2,enc,3.9217824935913086,4.252237319946289,13.7109375,4.94309139251709,4.94309139251709
3600,0,fcst,4.415612697601318,4.406004905700684,1.3203125,6.5434160232543945,6.757386207580566
3600,1,fcst,9.340704917907715,3.5062358379364014,2.029296875,7.866387367248535,8.99594497680664
3600,2,fcst,16.533926010131836,3.706930160522461,1.74609375,10.272685050964355,10.808464050292969
3600,0,enc,3.595468759536743,3.7955334186553955,1.9560546875,2.458928108215332,4.237354278564453
3600,1,enc,4.457570552825928,3.451948642730713,13.2265625,3.7696967124938965,3.8947882652282715
3600,2,enc,3.8449573516845703,4.301795959472656,14.359375,3.979902744293213,3.948835849761963
