step,layer_idx,block,qk_logit_maxabs,sa_in_maxabs,sa_out_maxabs,resid_post_sa_maxabs,resid_post_ffn_maxabs
200,0,enc,2.9694464206695557,5.808842658996582,2.693359375,6.106045722961426,6.670960903167725
200,1,enc,3.162390947341919,6.240705490112305,2.345703125,7.715025901794434,7.459942817687988
200,2,enc,3.681161642074585,5.370541572570801,2.052734375,9.222216606140137,8.393766403198242
200,0,fcst,2.3447487354278564,5.351473331451416,2.4296875,9.61140251159668,11.761173248291016
200,1,fcst,2.978628396987915,5.758450984954834,2.849609375,14.178909301757812,17.534507751464844
200,2,fcst,2.8177428245544434,5.769240379333496,2.251953125,19.270984649658203,24.585302352905273
200,0,enc,2.9764773845672607,5.776644229888916,1.8154296875,5.550271987915039,5.695621013641357
200,1,enc,3.1495044231414795,5.6340861320495605,1.638671875,6.49553918838501,6.3979597091674805
200,2,enc,3.613464117050171,5.503627777099609,1.9716796875,7.683516502380371,6.957647323608398
400,0,enc,2.970592737197876,5.652799606323242,2.451171875,5.343222141265869,6.20045280456543
400,1,enc,3.3925905227661133,6.0062665939331055,2.416015625,7.12217903137207,6.559028148651123
400,2,enc,4.612867832183838,5.208723545074463,2.296875,7.384608745574951,7.384608745574951
400,0,fcst,2.306051254272461,5.722292423248291,3.75390625,8.644613265991211,11.19085693359375
400,1,fcst,2.792067766189575,4.973553657531738,2.40234375,13.046534538269043,18.33733367919922
400,2,fcst,2.7069461345672607,5.06350564956665,2.08203125,21.78594207763672,27.73942756652832
400,0,enc,2.968400478363037,5.699905872344971,1.8291015625,5.203400611877441,5.670689105987549
400,1,enc,3.389075517654419,5.983952522277832,1.587890625,5.680330753326416,5.937590599060059
400,2,enc,4.588928699493408,5.029419422149658,1.9609375,6.531716346740723,5.752079486846924
600,0,enc,3.0927343368530273,5.234440326690674,2.369140625,6.240922927856445,6.240922927856445
600,1,enc,3.6330065727233887,6.102077960968018,2.13671875,6.240922927856445,5.399937152862549
600,2,enc,5.5230326652526855,5.322333335876465,2.57421875,6.36314582824707,6.366644382476807
600,0,fcst,2.330559015274048,5.996167182922363,3.98828125,7.858137130737305,10.89873218536377
600,1,fcst,2.593301296234131,5.157770156860352,2.638671875,13.71314811706543,18.00374984741211
600,2,fcst,2.4935104846954346,5.1854166984558105,2.009765625,24.015247344970703,29.171497344970703
600,0,enc,3.0762789249420166,5.240492820739746,1.927734375,5.509645462036133,5.028574466705322
600,1,enc,3.611727237701416,5.739736080169678,2.02734375,5.1436848640441895,4.8470540046691895
600,2,enc,5.477396011352539,4.434469223022461,2.61328125,5.228809356689453,4.929553985595703
800,0,enc,3.209278106689453,5.085973739624023,2.998046875,5.806856155395508,4.705541133880615
800,1,enc,3.816052198410034,5.7187089920043945,2.177734375,4.746634483337402,5.351489543914795
800,2,enc,6.477951526641846,5.023456573486328,2.755859375,5.942697525024414,5.244825839996338
800,0,fcst,2.480245590209961,5.460580348968506,3.853515625,7.093036651611328,10.60384750366211
800,1,fcst,2.5813779830932617,5.664934158325195,2.265625,12.466907501220703,18.525070190429688
800,2,fcst,2.4788432121276855,5.696220397949219,2.14453125,19.267038345336914,27.787464141845703
800,0,enc,3.2087221145629883,5.100780963897705,2.6796875,5.237648963928223,4.179281711578369
800,1,enc,3.8615736961364746,5.635583877563477,1.763671875,4.798450469970703,5.198108673095703
800,2,enc,6.4257378578186035,4.787989139556885,2.236328125,5.233733654022217,4.7577338218688965
1000,0,enc,3.386057138442993,4.901592254638672,3.2578125,4.984747886657715,4.2705817222595215
1000,1,enc,4.0455322265625,5.569467067718506,2.056640625,4.825368881225586,4.539455413818359
1000,2,enc,7.421478748321533,4.573096752166748,2.650390625,5.450292587280273,4.762626647949219
1000,0,fcst,2.5750062465667725,5.317464351654053,3.96875,6.5404767990112305,10.646480560302734
