step,layer_idx,block,qk_logit_maxabs,sa_in_maxabs,sa_out_maxabs,resid_post_sa_maxabs,resid_post_ffn_maxabs
200,0,enc,3.177473545074463,5.826512813568115,3.09765625,5.646022796630859,5.634761333465576
200,1,enc,3.417569637298584,5.502135753631592,2.603515625,6.264389991760254,5.850688934326172
200,2,enc,3.7063722610473633,5.353606224060059,2.9921875,8.063323020935059,7.359112739562988
200,0,fcst,2.82855486869812,5.363602161407471,2.345703125,8.936227798461914,12.29194450378418
200,1,fcst,2.9446427822113037,5.128943920135498,2.142578125,13.557394981384277,18.32538604736328
200,2,fcst,2.8464837074279785,5.618546009063721,2.10546875,19.784650802612305,24.840415954589844
200,0,enc,3.192319869995117,5.83772611618042,2.37890625,5.621286392211914,5.494577407836914
200,1,enc,3.418776035308838,5.638426303863525,2.26953125,5.957266807556152,5.6692280769348145
200,2,enc,3.643033266067505,5.083023548126221,2.25390625,7.200253486633301,6.675380706787109
400,0,enc,3.362823247909546,4.807238578796387,3.841796875,4.863451957702637,4.388363838195801
400,1,enc,3.90323543548584,5.896971702575684,3.076171875,5.060575008392334,4.7683844566345215
400,2,enc,4.667135715484619,5.4904375076293945,3.390625,6.428047180175781,5.688924789428711
400,0,fcst,2.964688539505005,5.510915279388428,4.30859375,8.44847297668457,10.838658332824707
400,1,fcst,2.9809491634368896,5.8349223136901855,2.466796875,12.563143730163574,19.989051818847656
400,2,fcst,2.858982801437378,4.790445804595947,2.26171875,21.09876251220703,29.06751251220703
400,0,enc,3.3321847915649414,4.709965229034424,2.84375,4.503711223602295,3.9374911785125732
400,1,enc,3.8949413299560547,5.836472988128662,3.099609375,4.904791831970215,4.4055280685424805
400,2,enc,4.624175548553467,5.240653991699219,2.798828125,5.826564311981201,5.271876811981201
600,0,enc,3.560304641723633,5.0703935623168945,4.1015625,4.302006721496582,4.146824359893799
600,1,enc,4.362483501434326,5.117178440093994,4.37890625,5.154621601104736,4.248300552368164
600,2,enc,5.546225547790527,4.739561557769775,3.90234375,5.964204788208008,5.3168158531188965
600,0,fcst,2.974712371826172,5.4077935218811035,5.3828125,7.808930397033691,11.318044662475586
600,1,fcst,2.9463179111480713,5.8608574867248535,2.1640625,12.546287536621094,18.404438018798828
600,2,fcst,2.8316736221313477,4.7841410636901855,2.36328125,21.036653518676758,28.10811996459961
600,0,enc,3.5498478412628174,5.088696002960205,3.5390625,4.100559234619141,3.674253463745117
600,1,enc,4.34627103805542,5.029241561889648,3.46875,4.21852970123291,4.08413028717041
600,2,enc,5.516375541687012,4.475007057189941,3.26171875,5.153883934020996,4.163091659545898
800,0,enc,3.613795042037964,5.422297954559326,5.34765625,4.747476577758789,4.300345420837402
800,1,enc,4.829217433929443,5.335376739501953,5.18359375,5.030683517456055,4.5288615226745605
