step,layer_idx,block,qk_logit_maxabs,sa_in_maxabs,sa_out_maxabs,resid_post_sa_maxabs,resid_post_ffn_maxabs
200,0,enc,3.2685253620147705,5.058743476867676,3.22265625,6.1492815017700195,6.228260040283203
200,1,enc,2.682469129562378,5.802355766296387,2.84765625,7.2202558517456055,7.182140827178955
200,2,enc,2.2807774543762207,5.622395992279053,2.4375,8.147920608520508,7.701284885406494
200,0,fcst,2.9858367443084717,5.162681579589844,2.072265625,9.554518699645996,11.543039321899414
200,1,fcst,3.2190964221954346,5.614221096038818,2.193359375,13.586423873901367,17.05127716064453
200,2,fcst,3.032423973083496,5.479893207550049,2.21484375,18.241518020629883,21.377105712890625
200,0,enc,3.2457149028778076,5.0137505531311035,2.677734375,5.718286991119385,6.140161991119385
200,1,enc,2.6511080265045166,5.977302074432373,2.2265625,6.948030471801758,6.83597993850708
200,2,enc,2.297776937484741,5.434404373168945,2.30859375,8.129472732543945,7.274320602416992
400,0,enc,3.7425577640533447,4.853318214416504,7.2578125,5.322235107421875,5.9549174308776855
400,1,enc,3.0312552452087402,5.255845546722412,4.3828125,7.337539196014404,6.755303859710693
400,2,enc,2.323652744293213,5.552211761474609,3.83984375,7.780904769897461,7.77863073348999
400,0,fcst,3.1643640995025635,6.054074287414551,2.072265625,9.438888549804688,11.193324089050293
400,1,fcst,3.2706477642059326,5.392571926116943,2.24609375,14.225465774536133,14.925335884094238
400,2,fcst,3.2042477130889893,5.656879425048828,2.103515625,17.495710372924805,20.449878692626953
400,0,enc,3.725360631942749,4.854198932647705,6.2421875,5.117927551269531,5.549722671508789
400,1,enc,3.0317013263702393,5.091867923736572,3.48046875,6.941839218139648,6.151445388793945
400,2,enc,2.331239938735962,5.869139671325684,3.01953125,7.160960674285889,7.112433910369873
600,0,enc,4.322911262512207,4.48862361907959,14.3828125,5.417475700378418,5.249425411224365
600,1,enc,3.324448585510254,5.0087809562683105,7.55078125,7.825962066650391,6.20521354675293
600,2,enc,2.506258726119995,4.849414348602295,6.8359375,7.031320095062256,6.397097110748291
600,0,fcst,3.1358890533447266,5.742362976074219,2.9453125,8.622173309326172,9.632863998413086
600,1,fcst,3.4293019771575928,5.562088489532471,2.2109375,12.214324951171875,14.649221420288086
600,2,fcst,3.056394577026367,4.68025016784668,2.18359375,17.597047805786133,20.246788024902344
600,0,enc,4.3141350746154785,4.436649322509766,12.6640625,4.812504768371582,4.96883487701416
600,1,enc,3.2708961963653564,4.909361362457275,5.64453125,7.793896675109863,5.88715934753418
600,2,enc,2.43159818649292,5.2256760597229,5.80078125,6.694797515869141,6.235300540924072
800,0,enc,4.731813907623291,4.4171223640441895,19.546875,5.342085838317871,5.590158939361572
800,1,enc,3.5046160221099854,4.720494747161865,8.1171875,6.008713722229004,6.264790058135986
800,2,enc,2.655210494995117,5.328509330749512,10.203125,6.834132671356201,6.128410339355469
800,0,fcst,3.1594159603118896,5.991527080535889,2.771484375,7.851658821105957,8.437322616577148
800,1,fcst,3.4322383403778076,5.58024263381958,2.365234375,11.788702011108398,12.8787202835083
800,2,fcst,2.92439341545105,5.439772605895996,2.326171875,16.89044952392578,18.85116958618164
800,0,enc,4.719766139984131,4.436455726623535,17.765625,4.4228057861328125,5.0321807861328125
800,1,enc,3.479320764541626,4.9095892906188965,7.70703125,5.716516017913818,5.755682945251465
800,2,enc,2.6660726070404053,5.035469055175781,8.390625,6.463609218597412,5.696603298187256
1000,0,enc,5.017718315124512,4.484103679656982,23.046875,5.115995407104492,5.0186262130737305
1000,1,enc,3.6337592601776123,5.016637802124023,9.375,5.912190914154053,5.43638801574707
1000,2,enc,2.849390983581543,4.781696319580078,10.5625,5.797183036804199,5.430505752563477
1000,0,fcst,3.2173335552215576,5.625277519226074,2.638671875,8.333574295043945,9.313934326171875
1000,1,fcst,3.5182971954345703,5.612618923187256,2.509765625,11.188576698303223,12.032252311706543
1000,2,fcst,2.9182753562927246,5.03853178024292,2.650390625,15.545843124389648,16.25029754638672
1000,0,enc,5.074109077453613,4.403045177459717,21.265625,4.258295059204102,4.616205215454102
1000,1,enc,3.607853412628174,5.039670944213867,8.5078125,5.1775431632995605,5.2125773429870605
1000,2,enc,2.7959723472595215,4.752060890197754,9.984375,5.742666244506836,5.608489036560059
1200,0,enc,5.408322811126709,4.924773693084717,25.734375,4.452199935913086,4.649516582489014
1200,1,enc,3.6972670555114746,4.929936408996582,9.3046875,5.531486511230469,5.295322418212891
1200,2,enc,2.9256651401519775,4.457043170928955,13.7421875,6.168801307678223,6.015806674957275
1200,0,fcst,3.1436758041381836,5.925326347351074,3.119140625,7.005523204803467,7.770058631896973
1200,1,fcst,3.5291788578033447,5.14625358581543,2.8203125,10.092604637145996,11.73861026763916
1200,2,fcst,2.855151653289795,4.783392906188965,2.673828125,14.869057655334473,16.06805992126465
1200,0,enc,5.4280266761779785,4.927358150482178,22.5,3.9170591831207275,4.435910701751709
1200,1,enc,3.6846179962158203,5.0145392417907715,8.3671875,5.271880149841309,5.139067649841309
1200,2,enc,2.8854565620422363,4.4159111976623535,11.2734375,5.763676166534424,5.820438861846924
1400,0,enc,5.607759952545166,4.511017322540283,27.421875,3.9457859992980957,4.67936372756958
1400,1,enc,3.709449529647827,4.895705223083496,11.1484375,4.766931533813477,5.021028995513916
1400,2,enc,3.074233293533325,4.348630905151367,12.9921875,5.441834449768066,5.499990940093994
1400,0,fcst,3.224170207977295,5.951476573944092,3.171875,7.594939231872559,8.176986694335938
1400,1,fcst,3.5906546115875244,5.359734058380127,2.810546875,10.710947036743164,10.555782318115234
1400,2,fcst,2.739345073699951,5.202642917633057,3.328125,14.245180130004883,14.869955062866211
1400,0,enc,5.542407035827637,4.495206356048584,24.734375,3.8804450035095215,4.308424472808838
1400,1,enc,3.7293810844421387,4.920756816864014,8.6015625,4.472991943359375,5.018731117248535
1400,2,enc,3.0510737895965576,4.575810432434082,11.375,5.100735187530518,5.412014484405518
1600,0,enc,6.007587432861328,4.733137130737305,29.8125,3.456611156463623,4.3013434410095215
1600,1,enc,3.835808277130127,4.597769737243652,10.0703125,4.7944016456604,4.651407718658447
1600,2,enc,3.325411319732666,4.583486557006836,12.1640625,5.150749683380127,4.894927501678467
1600,0,fcst,3.2218620777130127,5.800137042999268,2.998046875,7.307684898376465,8.175148963928223
