arm,align_target,run_name,checkpoint,step_k,bytes,mtime,sha256
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_10k_optimizer.pth,,5852955,2026-08-01 23:20:20,2ccaaf8d8e488793
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_10k.pth,10,5223345,2026-08-01 23:20:20,315395720672939f
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_20k_optimizer.pth,,5852955,2026-08-02 00:12:05,5aeb1059d736ce21
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_20k.pth,20,5223345,2026-08-02 00:12:05,d50c418f9377d234
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_2k_optimizer.pth,,5852693,2026-08-01 22:46:28,f50b4fb501cea84a
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_2k.pth,2,5223228,2026-08-01 22:46:28,14cb399e6e00b01c
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_30k_optimizer.pth,,5852955,2026-08-02 01:02:33,90bfd9e6559a622a
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_30k.pth,30,5223345,2026-08-02 01:02:33,310d9e478468263c
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_40k_optimizer.pth,,5852955,2026-08-02 01:47:05,09e9c8eed7bce83a
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_40k.pth,40,5223345,2026-08-02 01:47:05,1ce4e8540c25ea3b
arm5,teacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher_best_gap_optimizer.pth,,5855545,2026-08-02 01:41:47,dcabb1dfdef2a16f
