step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.909834,0.412221,0.497614,0.192483
10000,teacher_h,adjacent,0,10000,0.884793,0.401442,0.483351,0.191799
20000,student_h,adjacent,10000,10000,0.942262,0.342453,0.599809,0.326855
20000,student_h,vs_initial,0,20000,0.972109,0.473723,0.498386,0.084549
20000,teacher_h,adjacent,10000,10000,0.946912,0.332706,0.614206,0.338063
20000,teacher_h,vs_initial,0,20000,0.959384,0.463973,0.495411,0.084684
30000,student_h,adjacent,20000,10000,0.956541,0.407465,0.549076,0.207257
30000,student_h,vs_initial,0,30000,1.042103,0.504956,0.537147,0.113176
30000,teacher_h,adjacent,20000,10000,0.967386,0.411780,0.555606,0.208896
30000,teacher_h,vs_initial,0,30000,1.037906,0.514365,0.523541,0.109865
40000,student_h,adjacent,30000,10000,0.922586,0.391207,0.531379,0.293231
40000,student_h,vs_initial,0,40000,1.062176,0.413798,0.648377,0.160431
40000,teacher_h,adjacent,30000,10000,0.922151,0.396890,0.525261,0.281671
40000,teacher_h,vs_initial,0,40000,1.053738,0.413066,0.640672,0.165597
