step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
50000,student_h,adjacent,40000,10000,0.894614,0.371676,0.522938,0.281476
50000,teacher_h,adjacent,40000,10000,0.881339,0.369175,0.512164,0.281698
75000,student_h,adjacent,50000,25000,0.850746,0.377093,0.473653,0.316870
75000,student_h,vs_initial,40000,35000,0.923835,0.399330,0.524504,0.232963
75000,teacher_h,adjacent,50000,25000,0.847886,0.377244,0.470642,0.317042
75000,teacher_h,vs_initial,40000,35000,0.918358,0.393343,0.525015,0.245891
100000,student_h,adjacent,75000,25000,0.858152,0.369398,0.488754,0.320425
100000,student_h,vs_initial,40000,60000,0.875595,0.373229,0.502367,0.300555
100000,teacher_h,adjacent,75000,25000,0.845558,0.367570,0.477988,0.321077
100000,teacher_h,vs_initial,40000,60000,0.873282,0.371581,0.501701,0.299464
