step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,1.002429,0.858311,0.144118,0.037636
10000,teacher_h,adjacent,0,10000,1.004080,0.861975,0.142105,0.039317
20000,student_h,adjacent,10000,10000,0.992968,0.860532,0.132435,0.029197
20000,student_h,vs_initial,0,20000,0.987759,0.816743,0.171016,0.029887
20000,teacher_h,adjacent,10000,10000,0.992647,0.851436,0.141210,0.034720
20000,teacher_h,vs_initial,0,20000,0.986898,0.800862,0.186036,0.033034
30000,student_h,adjacent,20000,10000,0.991472,0.787188,0.204284,0.068075
30000,student_h,vs_initial,0,30000,1.009738,0.832782,0.176956,0.040585
30000,teacher_h,adjacent,20000,10000,0.997235,0.773330,0.223905,0.082467
30000,teacher_h,vs_initial,0,30000,1.000424,0.852369,0.148055,0.040241
40000,student_h,adjacent,30000,10000,0.984726,0.674509,0.310217,0.192956
40000,student_h,vs_initial,0,40000,0.997050,0.804123,0.192927,0.032039
40000,teacher_h,adjacent,30000,10000,0.990339,0.676027,0.314312,0.203047
40000,teacher_h,vs_initial,0,40000,1.002653,0.823285,0.179368,0.031825
