step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
50000,student_h,adjacent,40000,10000,0.912819,0.669151,0.243668,0.221020
50000,teacher_h,adjacent,40000,10000,0.913680,0.666888,0.246792,0.222489
75000,student_h,adjacent,50000,25000,0.943445,0.722692,0.220753,0.173388
75000,student_h,vs_initial,40000,35000,0.941740,0.725944,0.215796,0.175089
75000,teacher_h,adjacent,50000,25000,0.944302,0.721877,0.222425,0.173685
75000,teacher_h,vs_initial,40000,35000,0.941041,0.725420,0.215621,0.174244
100000,student_h,adjacent,75000,25000,0.956391,0.717238,0.239154,0.195851
100000,student_h,vs_initial,40000,60000,0.973429,0.743421,0.230008,0.175944
100000,teacher_h,adjacent,75000,25000,0.956642,0.716292,0.240350,0.201030
100000,teacher_h,vs_initial,40000,60000,0.973219,0.741988,0.231231,0.179988
