step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.989244,0.833817,0.155427,0.067490
10000,teacher_h,adjacent,0,10000,0.988730,0.839229,0.149500,0.068726
20000,student_h,adjacent,10000,10000,0.971727,0.846861,0.124867,0.058167
20000,student_h,vs_initial,0,20000,0.986810,0.838209,0.148600,0.067120
20000,teacher_h,adjacent,10000,10000,0.971882,0.846270,0.125612,0.059885
20000,teacher_h,vs_initial,0,20000,0.988252,0.836012,0.152240,0.068257
30000,student_h,adjacent,20000,10000,0.960223,0.801921,0.158302,0.099182
30000,student_h,vs_initial,0,30000,0.992856,0.774218,0.218638,0.090808
30000,teacher_h,adjacent,20000,10000,0.960853,0.800200,0.160653,0.099152
30000,teacher_h,vs_initial,0,30000,0.994490,0.765986,0.228504,0.088625
40000,student_h,adjacent,30000,10000,0.950853,0.767817,0.183035,0.113186
40000,student_h,vs_initial,0,40000,0.981721,0.856161,0.125560,0.063499
40000,teacher_h,adjacent,30000,10000,0.949778,0.763600,0.186179,0.116147
40000,teacher_h,vs_initial,0,40000,0.982029,0.855764,0.126265,0.065632
