step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.953638,0.515257,0.438381,0.127180
10000,teacher_h,adjacent,0,10000,0.966542,0.531458,0.435085,0.117713
20000,student_h,adjacent,10000,10000,0.833571,0.518282,0.315290,0.158327
20000,student_h,vs_initial,0,20000,0.979231,0.526863,0.452368,0.122271
20000,teacher_h,adjacent,10000,10000,0.839669,0.536209,0.303459,0.132043
20000,teacher_h,vs_initial,0,20000,0.966116,0.533680,0.432437,0.110512
30000,student_h,adjacent,20000,10000,0.869286,0.460562,0.408723,0.211678
30000,student_h,vs_initial,0,30000,1.003161,0.440638,0.562523,0.149837
30000,teacher_h,adjacent,20000,10000,0.872828,0.469591,0.403238,0.185008
30000,teacher_h,vs_initial,0,30000,0.996807,0.443904,0.552903,0.152603
40000,student_h,adjacent,30000,10000,0.841988,0.480258,0.361730,0.204078
40000,student_h,vs_initial,0,40000,0.982821,0.570604,0.412217,0.114103
40000,teacher_h,adjacent,30000,10000,0.837082,0.477693,0.359389,0.201867
40000,teacher_h,vs_initial,0,40000,0.966292,0.566614,0.399678,0.104065
