step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,1.003586,0.658280,0.345306,0.103755
10000,teacher_h,adjacent,0,10000,1.007707,0.709328,0.298379,0.105059
20000,student_h,adjacent,10000,10000,1.014235,0.779751,0.234484,0.059338
20000,student_h,vs_initial,0,20000,0.992277,0.843643,0.148634,0.042033
20000,teacher_h,adjacent,10000,10000,1.013893,0.772923,0.240969,0.068163
20000,teacher_h,vs_initial,0,20000,0.997843,0.842271,0.155573,0.041563
30000,student_h,adjacent,20000,10000,0.999314,0.781196,0.218118,0.079529
30000,student_h,vs_initial,0,30000,1.012826,0.871473,0.141352,0.039514
30000,teacher_h,adjacent,20000,10000,1.004397,0.751537,0.252860,0.107039
30000,teacher_h,vs_initial,0,30000,1.013799,0.866650,0.147150,0.043307
40000,student_h,adjacent,30000,10000,1.000472,0.796343,0.204128,0.083094
40000,student_h,vs_initial,0,40000,0.998173,0.812326,0.185847,0.032700
40000,teacher_h,adjacent,30000,10000,1.000444,0.779361,0.221084,0.100298
40000,teacher_h,vs_initial,0,40000,1.001410,0.824204,0.177207,0.034339
