step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.956570,0.740483,0.216087,0.216017
10000,teacher_h,adjacent,0,10000,0.956505,0.740925,0.215580,0.217876
20000,student_h,adjacent,10000,10000,0.931043,0.607880,0.323163,0.294182
20000,student_h,vs_initial,0,20000,0.992235,0.782818,0.209417,0.145627
20000,teacher_h,adjacent,10000,10000,0.931668,0.605738,0.325929,0.301065
20000,teacher_h,vs_initial,0,20000,0.991103,0.780473,0.210630,0.148350
30000,student_h,adjacent,20000,10000,0.912154,0.625523,0.286631,0.291098
30000,student_h,vs_initial,0,30000,0.986027,0.781491,0.204536,0.151039
30000,teacher_h,adjacent,20000,10000,0.911040,0.625691,0.285349,0.291266
30000,teacher_h,vs_initial,0,30000,0.985589,0.783092,0.202497,0.147679
40000,student_h,adjacent,30000,10000,0.922685,0.629672,0.293014,0.306556
40000,student_h,vs_initial,0,40000,0.999454,0.769942,0.229513,0.144855
40000,teacher_h,adjacent,30000,10000,0.924070,0.632387,0.291683,0.303376
40000,teacher_h,vs_initial,0,40000,0.999742,0.770082,0.229660,0.145871
