step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
50000,student_h,adjacent,40000,10000,0.864214,0.645371,0.218842,0.260495
50000,teacher_h,adjacent,40000,10000,0.864292,0.645223,0.219069,0.259823
75000,student_h,adjacent,50000,25000,0.948599,0.728988,0.219611,0.169886
75000,student_h,vs_initial,40000,35000,0.963137,0.738185,0.224952,0.174077
75000,teacher_h,adjacent,50000,25000,0.947292,0.731763,0.215528,0.168257
75000,teacher_h,vs_initial,40000,35000,0.962417,0.739470,0.222948,0.174278
100000,student_h,adjacent,75000,25000,0.967847,0.726201,0.241646,0.176117
100000,student_h,vs_initial,40000,60000,0.978449,0.751554,0.226895,0.184774
100000,teacher_h,adjacent,75000,25000,0.966059,0.726807,0.239252,0.176402
100000,teacher_h,vs_initial,40000,60000,0.977653,0.749472,0.228180,0.188924
