step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,1.002283,0.744717,0.257566,0.058176
10000,teacher_h,adjacent,0,10000,0.999605,0.735659,0.263946,0.060412
20000,student_h,adjacent,10000,10000,0.982591,0.639788,0.342803,0.140073
20000,student_h,vs_initial,0,20000,0.983092,0.505843,0.477250,0.117236
20000,teacher_h,adjacent,10000,10000,0.978466,0.628634,0.349832,0.144115
20000,teacher_h,vs_initial,0,20000,1.000982,0.512549,0.488433,0.120526
30000,student_h,adjacent,20000,10000,0.994616,0.577044,0.417573,0.129321
30000,student_h,vs_initial,0,30000,0.963228,0.613572,0.349657,0.079789
30000,teacher_h,adjacent,20000,10000,0.973100,0.561879,0.411221,0.154550
30000,teacher_h,vs_initial,0,30000,0.968939,0.613606,0.355333,0.078286
40000,student_h,adjacent,30000,10000,0.990247,0.693072,0.297174,0.069002
40000,student_h,vs_initial,0,40000,1.000135,0.756612,0.243523,0.045225
40000,teacher_h,adjacent,30000,10000,0.988224,0.681841,0.306383,0.084431
40000,teacher_h,vs_initial,0,40000,1.003098,0.752850,0.250247,0.055088
