step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
50000,student_h,adjacent,40000,10000,0.874355,0.646501,0.227854,0.161093
50000,teacher_h,adjacent,40000,10000,0.872304,0.646341,0.225963,0.159891
75000,student_h,adjacent,50000,25000,1.007794,0.728357,0.279437,0.105841
75000,student_h,vs_initial,40000,35000,1.006878,0.751287,0.255592,0.079032
75000,teacher_h,adjacent,50000,25000,1.003357,0.728398,0.274959,0.104115
75000,teacher_h,vs_initial,40000,35000,1.003862,0.750274,0.253588,0.079414
100000,student_h,adjacent,75000,25000,0.964000,0.694072,0.269928,0.095083
100000,student_h,vs_initial,40000,60000,0.991219,0.777672,0.213547,0.060600
100000,teacher_h,adjacent,75000,25000,0.964137,0.694251,0.269885,0.094188
100000,teacher_h,vs_initial,40000,60000,0.992801,0.776622,0.216179,0.059326
