step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
50000,student_h,adjacent,40000,10000,0.875616,0.537316,0.338300,0.195993
50000,teacher_h,adjacent,40000,10000,0.861788,0.527398,0.334390,0.207389
75000,student_h,adjacent,50000,25000,0.901171,0.497141,0.404029,0.236223
75000,student_h,vs_initial,40000,35000,0.926666,0.537269,0.389397,0.233292
75000,teacher_h,adjacent,50000,25000,0.907849,0.498923,0.408926,0.226518
75000,teacher_h,vs_initial,40000,35000,0.921443,0.539666,0.381777,0.222803
100000,student_h,adjacent,75000,25000,0.845625,0.463400,0.382225,0.275670
100000,student_h,vs_initial,40000,60000,0.967421,0.527694,0.439727,0.287664
100000,teacher_h,adjacent,75000,25000,0.847065,0.461234,0.385831,0.275114
100000,teacher_h,vs_initial,40000,60000,0.962488,0.531533,0.430955,0.274237
