step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.954502,0.726571,0.227931,0.148577
10000,teacher_h,adjacent,0,10000,0.953125,0.731092,0.222033,0.148647
20000,student_h,adjacent,10000,10000,0.670257,0.402809,0.267449,0.447000
20000,student_h,vs_initial,0,20000,0.992023,0.745451,0.246572,0.144900
20000,teacher_h,adjacent,10000,10000,0.670881,0.404004,0.266878,0.447539
20000,teacher_h,vs_initial,0,20000,0.991087,0.746069,0.245018,0.145562
30000,student_h,adjacent,20000,10000,0.490672,0.284670,0.206002,0.564074
30000,student_h,vs_initial,0,30000,0.993077,0.733664,0.259413,0.153983
30000,teacher_h,adjacent,20000,10000,0.491553,0.281754,0.209798,0.565503
30000,teacher_h,vs_initial,0,30000,0.994656,0.735297,0.259358,0.152696
