step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
50000,student_h,adjacent,40000,10000,0.424954,0.294906,0.130049,0.605582
50000,teacher_h,adjacent,40000,10000,0.425422,0.293229,0.132194,0.607554
75000,student_h,adjacent,50000,25000,0.643844,0.475806,0.168039,0.417935
75000,student_h,vs_initial,40000,35000,0.730183,0.576859,0.153325,0.335977
75000,teacher_h,adjacent,50000,25000,0.644274,0.478165,0.166109,0.418073
75000,teacher_h,vs_initial,40000,35000,0.731384,0.577660,0.153725,0.335666
100000,student_h,adjacent,75000,25000,0.575121,0.408020,0.167101,0.477178
100000,student_h,vs_initial,40000,60000,0.823398,0.608950,0.214448,0.320487
100000,teacher_h,adjacent,75000,25000,0.578047,0.411245,0.166802,0.473719
100000,teacher_h,vs_initial,40000,60000,0.822453,0.609211,0.213242,0.320235
