step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.795774,0.587018,0.208756,0.382447
10000,teacher_h,adjacent,0,10000,0.795810,0.590425,0.205385,0.382728
20000,student_h,adjacent,10000,10000,0.604838,0.418636,0.186202,0.604900
20000,student_h,vs_initial,0,20000,0.884552,0.644498,0.240054,0.317712
20000,teacher_h,adjacent,10000,10000,0.602964,0.417136,0.185828,0.606651
20000,teacher_h,vs_initial,0,20000,0.884185,0.644510,0.239675,0.318663
30000,student_h,adjacent,20000,10000,0.593436,0.462062,0.131374,0.483564
30000,student_h,vs_initial,0,30000,0.944250,0.669711,0.274539,0.236992
30000,teacher_h,adjacent,20000,10000,0.593245,0.462402,0.130843,0.484318
30000,teacher_h,vs_initial,0,30000,0.944996,0.672914,0.272082,0.236767
40000,student_h,adjacent,30000,10000,0.611594,0.503049,0.108545,0.402029
40000,student_h,vs_initial,0,40000,0.971491,0.704196,0.267295,0.216185
40000,teacher_h,adjacent,30000,10000,0.610178,0.501327,0.108851,0.402830
40000,teacher_h,vs_initial,0,40000,0.974997,0.709647,0.265350,0.216194
