step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
50000,student_h,adjacent,40000,10000,0.773872,0.592579,0.181293,0.269891
50000,teacher_h,adjacent,40000,10000,0.772004,0.591100,0.180904,0.272460
75000,student_h,adjacent,50000,25000,0.799620,0.594053,0.205567,0.324917
75000,student_h,vs_initial,40000,35000,0.877252,0.682942,0.194310,0.216986
75000,teacher_h,adjacent,50000,25000,0.800976,0.595813,0.205163,0.321948
75000,teacher_h,vs_initial,40000,35000,0.876030,0.682654,0.193376,0.217377
100000,student_h,adjacent,75000,25000,0.794784,0.589206,0.205579,0.364384
100000,student_h,vs_initial,40000,60000,0.916132,0.685809,0.230322,0.218287
100000,teacher_h,adjacent,75000,25000,0.793092,0.587919,0.205172,0.363596
100000,teacher_h,vs_initial,40000,60000,0.913561,0.683445,0.230116,0.219338
