step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.919423,0.707823,0.211601,0.174321
10000,teacher_h,adjacent,0,10000,0.920303,0.712705,0.207599,0.173754
20000,student_h,adjacent,10000,10000,0.725820,0.509628,0.216192,0.365729
20000,student_h,vs_initial,0,20000,0.962548,0.725388,0.237159,0.181103
20000,teacher_h,adjacent,10000,10000,0.724769,0.505897,0.218872,0.371214
20000,teacher_h,vs_initial,0,20000,0.964982,0.728352,0.236630,0.182258
30000,student_h,adjacent,20000,10000,0.634272,0.475924,0.158348,0.384274
30000,student_h,vs_initial,0,30000,0.956872,0.740108,0.216764,0.165378
30000,teacher_h,adjacent,20000,10000,0.632951,0.471273,0.161678,0.387321
30000,teacher_h,vs_initial,0,30000,0.961650,0.742021,0.219629,0.164111
