step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
50000,student_h,adjacent,40000,10000,0.584184,0.383194,0.200989,0.500645
50000,teacher_h,adjacent,40000,10000,0.585822,0.383048,0.202774,0.501180
75000,student_h,adjacent,50000,25000,0.741710,0.532171,0.209539,0.360999
75000,student_h,vs_initial,40000,35000,0.828088,0.590755,0.237333,0.324685
75000,teacher_h,adjacent,50000,25000,0.743074,0.537673,0.205401,0.355891
75000,teacher_h,vs_initial,40000,35000,0.830088,0.591083,0.239005,0.323114
100000,student_h,adjacent,75000,25000,0.754280,0.549983,0.204297,0.347052
100000,student_h,vs_initial,40000,60000,0.874401,0.666785,0.207616,0.278910
100000,teacher_h,adjacent,75000,25000,0.751507,0.542786,0.208721,0.351203
100000,teacher_h,vs_initial,40000,60000,0.874106,0.665037,0.209069,0.281884
