step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.983698,0.790561,0.193137,0.044175
10000,teacher_h,adjacent,0,10000,0.983598,0.786134,0.197464,0.043781
20000,student_h,adjacent,10000,10000,0.915813,0.542624,0.373188,0.280098
20000,student_h,vs_initial,0,20000,0.992034,0.793739,0.198294,0.046483
20000,teacher_h,adjacent,10000,10000,0.917943,0.557825,0.360117,0.263195
20000,teacher_h,vs_initial,0,20000,0.993681,0.805577,0.188104,0.049618
30000,student_h,adjacent,20000,10000,1.006207,0.643859,0.362348,0.179193
30000,student_h,vs_initial,0,30000,0.996679,0.814174,0.182505,0.040750
30000,teacher_h,adjacent,20000,10000,1.011303,0.610948,0.400356,0.209808
30000,teacher_h,vs_initial,0,30000,0.991434,0.812380,0.179054,0.045475
