step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.964824,0.778940,0.185884,0.044855
10000,teacher_h,adjacent,0,10000,0.960309,0.768924,0.191385,0.041579
20000,student_h,adjacent,10000,10000,0.938464,0.652201,0.286263,0.144409
20000,student_h,vs_initial,0,20000,0.973277,0.717277,0.256001,0.038035
20000,teacher_h,adjacent,10000,10000,0.945899,0.648154,0.297745,0.145743
20000,teacher_h,vs_initial,0,20000,0.971110,0.705199,0.265911,0.040305
30000,student_h,adjacent,20000,10000,1.003326,0.682150,0.321177,0.130196
30000,student_h,vs_initial,0,30000,0.983674,0.766553,0.217121,0.051098
30000,teacher_h,adjacent,20000,10000,1.001618,0.670264,0.331354,0.134158
30000,teacher_h,vs_initial,0,30000,0.981824,0.766190,0.215634,0.052193
40000,student_h,adjacent,30000,10000,0.990260,0.692804,0.297455,0.096001
40000,student_h,vs_initial,0,40000,0.988466,0.757016,0.231450,0.039839
40000,teacher_h,adjacent,30000,10000,0.974794,0.690734,0.284059,0.098176
40000,teacher_h,vs_initial,0,40000,0.990415,0.761519,0.228896,0.040709
