step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,24.206031799316406,19.719776153564453,-0.4076400399208069,2.5644621357553175,0.3317975401878357,0.7394375801086426,0.44799208641052246,0.14624519646167755,64,0,1,0.1694621443748474,-0.22496557235717773,0.10530371963977814,0.14576907455921173,0.7720170021057129,0.06648575514554977,0.14762552082538605,5.838426113128662,0.057214654982089996,0.2779731750488281,0.04427076876163483,0.04711572080850601,0.15668244659900665,0.0475224107503891,0.9
2,23.10616683959961,18.334930419921875,-0.4636481702327728,2.8656711352574162,0.28783634305000305,0.7514845132827759,0.3715009391307831,0.10753439366817474,128,0,0,0.15770244598388672,-0.13844633102416992,0.14160902798175812,0.2103210985660553,0.7748993039131165,0.06621438264846802,0.13351425528526306,5.402592658996582,0.052863046526908875,0.24426144361495972,0.050255078822374344,0.04809816926717758,0.23054784536361694,0.04866644740104675,0.9
3,22.045026779174805,17.846982955932617,-0.48185792565345764,2.9641388628247696,0.27281424403190613,0.7546721696853638,0.3368600904941559,0.049893029034137726,192,0,0,0.19393384456634521,-0.09990191459655762,0.1653306484222412,0.2486017346382141,0.8034230470657349,0.08086838573217392,0.1625508815050125,4.892346382141113,0.05466299504041672,0.19338592886924744,0.04093560948967934,0.04338841885328293,0.2731550931930542,0.043763089925050735,0.9
4,21.49329376220703,16.93977165222168,-0.5457872897386551,3.1732087706886145,0.20306919515132904,0.7488564848899841,0.24408555030822754,0.026564594358205795,256,0,1,0.1870846152305603,-0.05584430694580078,0.22399206459522247,0.3073641061782837,0.7647147178649902,0.043962009251117706,0.10556309670209885,4.831912517547607,0.05321808159351349,0.1881294548511505,0.049108218401670456,0.04731586575508118,0.34207749366760254,0.04823606088757515,0.9
5,21.80188751220703,18.210561752319336,-0.49391716718673706,2.9298605777269975,0.2501487135887146,0.7440658807754517,0.3175743818283081,0.03313441574573517,320,0,0,0.20051389932632446,-0.10131394863128662,0.20547603070735931,0.3459984064102173,0.808988094329834,0.08059702068567276,0.17964722216129303,4.775478839874268,0.05492373928427696,0.18012945353984833,0.049767009913921356,0.054366335272789,0.37118101119995117,0.05469202622771263,0.9
6,20.922359466552734,16.503572463989258,-0.5419807583093643,3.249481474719542,0.2170833796262741,0.7590641379356384,0.24217785894870758,0.02408379502594471,384,0,1,0.18493682146072388,-0.034217238426208496,0.23059366643428802,0.3673896789550781,0.7875201106071472,0.06241519749164581,0.14328359067440033,4.648918628692627,0.04699556529521942,0.18411371111869812,0.054645344614982605,0.05490268021821976,0.41242989897727966,0.05614491552114487,0.9
7,20.818391799926758,16.48480224609375,-0.5377594381570816,3.251305364940736,0.22337494790554047,0.7611343860626221,0.24940834939479828,0.03634566068649292,448,0,0,0.1913965344429016,-0.03567373752593994,0.22946713864803314,0.3871048092842102,0.778067409992218,0.08195386826992035,0.1535956710577011,4.514432907104492,0.04808521270751953,0.18882882595062256,0.057580120861530304,0.05503007024526596,0.4223378300666809,0.05530523508787155,0.9
8,20.657907485961914,16.491796493530273,-0.555227056145668,3.2750720609957678,0.20072482526302338,0.7559518814086914,0.22937028110027313,0.017748096957802773,512,0,1,0.18346351385116577,-0.0386195182800293,0.2309538871049881,0.4137818515300751,0.7697463631629944,0.07598371803760529,0.15549525618553162,4.451239585876465,0.043361492455005646,0.18184475600719452,0.05537187308073044,0.059294745326042175,0.45038142800331116,0.05965922400355339,0.9
9,20.724029541015625,17.107311248779297,-0.5359184592962265,3.2404858304134967,0.22488410770893097,0.7608025670051575,0.2519143521785736,0.019192269071936607,576,0,0,0.18366986513137817,-0.037253499031066895,0.24549828469753265,0.4209749698638916,0.7970601916313171,0.09443690627813339,0.17069199681282043,4.379115104675293,0.0416378378868103,0.1848532110452652,0.07187367975711823,0.07025796175003052,0.4488726854324341,0.07043207436800003,0.9
10,20.543930053710938,16.99762535095215,-0.5074965506792068,3.0711579772640087,0.2474731057882309,0.7549696564674377,0.278325617313385,0.015660062432289124,640,0,0,0.21387118101119995,-0.04436695575714111,0.24195049703121185,0.426379919052124,0.8176894783973694,0.14301221072673798,0.24667571485042572,4.30508279800415,0.047038909047842026,0.1759650558233261,0.06527160853147507,0.0702410489320755,0.44868752360343933,0.0700451135635376,0.9
