step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,24.14881706237793,19.719776153564453,-0.4076400399208069,2.5644621357553175,0.3317975401878357,0.7394375801086426,0.44799208641052246,0.14624519646167755,64,0,1,0.1694621443748474,-0.22496557235717773,0.10530371963977814,0.14576907455921173,0.7720170021057129,0.06648575514554977,0.14762552082538605,5.838426113128662,0.057214654982089996,0.2779731750488281,0.04427076876163483,0.04711572080850601,0.15668244659900665,0.0475224107503891,0.9
2,23.057235717773438,18.338449478149414,-0.46340250968933105,2.865054793422966,0.28813159465789795,0.751534104347229,0.3718123137950897,0.10796015709638596,128,0,0,0.15756404399871826,-0.1385561227798462,0.14141587913036346,0.21004268527030945,0.7748725414276123,0.06594301760196686,0.13378562033176422,5.403360843658447,0.052909500896930695,0.244460329413414,0.0502619594335556,0.048107076436281204,0.23021572828292847,0.04867532476782799,0.9
3,21.993213653564453,17.849781036376953,-0.48151150345802307,2.962431650681143,0.27312377095222473,0.7546352744102478,0.3372575044631958,0.05028316378593445,192,0,0,0.1939128041267395,-0.10010623931884766,0.1651235818862915,0.24856165051460266,0.8034898042678833,0.080325648188591,0.16282226145267487,4.893152713775635,0.05481576919555664,0.19340595602989197,0.04096676781773567,0.043426379561424255,0.27309298515319824,0.043800950050354004,0.9
4,21.44195556640625,16.943096160888672,-0.5453203916549683,3.17025566625779,0.20340949296951294,0.7487298846244812,0.24453260004520416,0.02692173607647419,256,0,1,0.1871647834777832,-0.05602407455444336,0.2237015813589096,0.30727243423461914,0.7647475600242615,0.04369064047932625,0.10610584169626236,4.832101345062256,0.053522802889347076,0.18797755241394043,0.04918557405471802,0.047393977642059326,0.3419901728630066,0.04831794276833534,0.9
5,21.747859954833984,18.21047019958496,-0.4934467673301697,2.9270976225598084,0.2504962682723999,0.7439430356025696,0.3179587721824646,0.03356238082051277,320,0,0,0.200452983379364,-0.10143458843231201,0.20521268248558044,0.3458252549171448,0.8089778423309326,0.08059702068567276,0.18018996715545654,4.776251792907715,0.05539120361208916,0.17995795607566833,0.049874890595674515,0.05443662032485008,0.3710205554962158,0.05476682260632515,0.9
6,20.87599754333496,16.505908966064453,-0.541356086730957,3.2444778609070632,0.21744924783706665,0.7588053345680237,0.2426779717206955,0.024271585047245026,384,0,1,0.18510419130325317,-0.0344240665435791,0.2303168624639511,0.367366760969162,0.7878336310386658,0.06295794248580933,0.1435549557209015,4.64935827255249,0.04750104621052742,0.18376898765563965,0.05479663610458374,0.05507109314203262,0.4123830199241638,0.05632474273443222,0.9
7,20.77029037475586,16.485645294189453,-0.5370764583349228,3.2450607231565725,0.2236977368593216,0.7607741951942444,0.2499678134918213,0.036549925804138184,448,0,0,0.19151228666305542,-0.03603088855743408,0.22918322682380676,0.38712024688720703,0.7783201932907104,0.08141113072633743,0.15386703610420227,4.515315055847168,0.04876731336116791,0.18833082914352417,0.05765142664313316,0.05523712933063507,0.4223751127719879,0.05551694706082344,0.9
8,20.6148681640625,16.492557525634766,-0.5544727742671967,3.2691095293965553,0.20117023587226868,0.7556430101394653,0.2299971729516983,0.017927996814250946,512,0,1,0.18371248245239258,-0.0389019250869751,0.23063534498214722,0.41388607025146484,0.770318865776062,0.0746268704533577,0.15658073127269745,4.452568531036377,0.04405796527862549,0.18136444687843323,0.055590663105249405,0.059583887457847595,0.45047062635421753,0.05994885042309761,0.9
9,20.686399459838867,17.11272430419922,-0.5350787043571472,3.2333166071298405,0.22533202171325684,0.760410726070404,0.2525579631328583,0.01950092799961567,576,0,0,0.1837407946586609,-0.037560462951660156,0.24510756134986877,0.4207414388656616,0.7975197434425354,0.0949796512722969,0.17177748680114746,4.381152153015137,0.04237363487482071,0.18441268801689148,0.0720970407128334,0.07062073796987534,0.44862523674964905,0.07080387324094772,0.9
10,20.497203826904297,16.9980411529541,-0.5067009478807449,3.062665705985445,0.24764560163021088,0.7543465495109558,0.2787166237831116,0.015932301059365273,640,0,0,0.2138383388519287,-0.044712185859680176,0.24170657992362976,0.42632246017456055,0.8180133104324341,0.14274084568023682,0.24694709479808807,4.307184219360352,0.048040539026260376,0.17528901994228363,0.06546284258365631,0.07053771615028381,0.44860827922821045,0.07034481316804886,0.9
