step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,20.292463302612305,19.719776153564453,-0.4076400399208069,2.5644621357553175,0.3317975401878357,0.7394375801086426,0.44799208641052246,0.14624519646167755,64,0,1,0.1694621443748474,-0.22496557235717773,0.10530371963977814,0.14576907455921173,0.7720170021057129,0.06648575514554977,0.14762552082538605,5.838426113128662,0.057214654982089996,0.2779731750488281,0.04427076876163483,0.04711572080850601,0.15668244659900665,0.0475224107503891,0.9
2,19.653560638427734,19.36334991455078,-0.4090665578842163,2.7068037150286064,0.3512652516365051,0.7603318095207214,0.44847992062568665,0.16922792792320251,128,0,0,0.1714605689048767,-0.18661856651306152,0.10011394321918488,0.15177521109580994,0.7800028920173645,0.05834464356303215,0.12537313997745514,5.221982479095459,0.05478039011359215,0.2919720411300659,0.050711046904325485,0.04868089035153389,0.1610407531261444,0.04926615580916405,0.9
3,19.108774185180664,20.427343368530273,-0.3550572097301483,2.5610998902725157,0.41750237345695496,0.7725595831871033,0.5119251608848572,0.21023668348789215,192,0,0,0.18063336610794067,-0.20907902717590332,0.08290958404541016,0.1157965287566185,0.7917016744613647,0.05753052979707718,0.1345997303724289,4.733619689941406,0.058382418006658554,0.3238064646720886,0.04159926995635033,0.04416559636592865,0.12364186346530914,0.044535260647535324,0.9
4,18.940780639648438,19.584787368774414,-0.4043676257133484,2.9548378192095086,0.38877755403518677,0.7931451797485352,0.4448621869087219,0.191134512424469,256,0,1,0.2564123868942261,-0.10771095752716064,0.09840761870145798,0.13804227113723755,0.7782575488090515,0.04477611929178238,0.10149253904819489,4.612206935882568,0.05673564225435257,0.2678990364074707,0.049829188734292984,0.04805901646614075,0.15362127125263214,0.04902493953704834,0.9
5,18.74851417541504,20.422075271606445,-0.3617679476737976,2.8697499856752677,0.4447473883628845,0.8065153360366821,0.5030553340911865,0.18571814894676208,320,0,0,0.2977035641670227,-0.12125897407531738,0.09213260561227798,0.13358959555625916,0.8224231004714966,0.08276797831058502,0.17693352699279785,4.520209789276123,0.059379369020462036,0.27889949083328247,0.0501745268702507,0.05422533303499222,0.14441514015197754,0.05459768325090408,0.9
6,18.58376121520996,19.140106201171875,-0.41497740149497986,3.1317989665215697,0.3903619349002838,0.8053393363952637,0.4261596202850342,0.11338486522436142,384,0,1,0.30177605152130127,-0.06533098220825195,0.10921645909547806,0.16468708217144012,0.8257102966308594,0.06648575514554977,0.15033921599388123,4.356635570526123,0.04811840504407883,0.25572457909584045,0.05479537695646286,0.05489388108253479,0.1845684051513672,0.056172650307416916,0.9
7,18.47512435913086,19.359298706054688,-0.4234357476234436,3.271882797124614,0.3901832699775696,0.8136190176010132,0.4184868037700653,0.09226366132497787,448,0,0,0.3339189291000366,-0.049685120582580566,0.11173254996538162,0.15947693586349487,0.8104972243309021,0.07435549795627594,0.15196743607521057,4.2561140060424805,0.04996168985962868,0.26064231991767883,0.05678931996226311,0.05451777204871178,0.17265376448631287,0.05480048805475235,0.9
8,18.364017486572266,19.323101043701172,-0.4308355152606964,3.372896654442529,0.38759925961494446,0.8184347748756409,0.4051612615585327,0.0636952817440033,512,0,1,0.36410725116729736,-0.030576467514038086,0.11304352432489395,0.16078254580497742,0.8210435509681702,0.06512890011072159,0.14002713561058044,4.172423839569092,0.04446187615394592,0.25770968198776245,0.05482684075832367,0.05840310826897621,0.17388997972011566,0.058769017457962036,0.9
9,18.22920036315918,19.404714584350586,-0.41123586893081665,3.3975164409385887,0.41723835468292236,0.828474223613739,0.43747997283935547,0.05533601716160774,576,0,0,0.3493072986602783,-0.036691904067993164,0.10924633592367172,0.1479375958442688,0.8396324515342712,0.08982361108064651,0.16797830164432526,4.079811096191406,0.04336116835474968,0.27220746874809265,0.07014860212802887,0.06842304021120071,0.15767641365528107,0.068565733730793,0.9
10,18.062772750854492,19.780288696289062,-0.38284704089164734,3.2342525744955797,0.44579944014549255,0.8286464810371399,0.4719998240470886,0.042588699609041214,640,0,0,0.4091118574142456,-0.05112504959106445,0.10594110190868378,0.14952263236045837,0.8652636408805847,0.13812755048274994,0.24477612972259521,3.969778060913086,0.047903165221214294,0.26957011222839355,0.06414727866649628,0.06822557747364044,0.15620996057987213,0.06800098717212677,0.9
