step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,20.13986587524414,19.719776153564453,-0.4076400399208069,2.5644621357553175,0.3317975401878357,0.7394375801086426,0.44799208641052246,0.14624519646167755,64,0,1,0.1694621443748474,-0.22496557235717773,0.10530371963977814,0.14576907455921173,0.7720170021057129,0.06648575514554977,0.14762552082538605,5.838426113128662,0.057214654982089996,0.2779731750488281,0.04427076876163483,0.04711572080850601,0.15668244659900665,0.0475224107503891,0.9
2,19.629287719726562,19.387115478515625,-0.40597644448280334,2.7153181665475468,0.3573465049266815,0.7633229494094849,0.4523877203464508,0.17505130171775818,128,0,0,0.17325043678283691,-0.1840500831604004,0.09843548387289047,0.14986145496368408,0.7811254262924194,0.06078697741031647,0.12645861506462097,5.225304126739502,0.054927315562963486,0.29428553581237793,0.050760045647621155,0.04874085634946823,0.1586281657218933,0.04932768642902374,0.9
3,19.047119140625,20.40650749206543,-0.355831503868103,2.572216993082612,0.4178438186645508,0.7736753225326538,0.5133353471755981,0.2063698172569275,192,0,0,0.17941594123840332,-0.2121872901916504,0.08189301937818527,0.11570298671722412,0.798278272151947,0.06485753506422043,0.13867029547691345,4.7046990394592285,0.05856124311685562,0.31988680362701416,0.04171154648065567,0.044296521693468094,0.12333562225103378,0.044669702649116516,0.9
4,18.838003158569336,19.653491973876953,-0.40248626470565796,2.9945948085468133,0.3957252502441406,0.7982115149497986,0.4484196901321411,0.19390198588371277,256,0,1,0.2608327269554138,-0.10186481475830078,0.0975276306271553,0.13521745800971985,0.7846922874450684,0.04477611929178238,0.10827679932117462,4.593235492706299,0.05786341428756714,0.27143722772598267,0.050078313797712326,0.04830040782690048,0.1499013453722,0.049279797822237015,0.9
5,18.615013122558594,20.533292770385742,-0.3528239130973816,2.910756416286064,0.4625246524810791,0.8153485655784607,0.5111814737319946,0.20750580728054047,320,0,0,0.30858397483825684,-0.10273301601409912,0.08917339891195297,0.1268269419670105,0.8215349316596985,0.08358209580183029,0.18073271214962006,4.496091842651367,0.06063565984368324,0.28568917512893677,0.050508588552474976,0.05450872704386711,0.13609905540943146,0.05489279329776764,0.9
6,18.420310974121094,19.147912979125977,-0.40594038367271423,3.1367395107418186,0.4040783941745758,0.81001877784729,0.431083619594574,0.1252789944410324,384,0,1,0.3133803606033325,-0.04977774620056152,0.10683470964431763,0.16297566890716553,0.8308941125869751,0.06485753506422043,0.14843963086605072,4.337143421173096,0.04968363791704178,0.2523272633552551,0.0552438385784626,0.05539161339402199,0.1818019449710846,0.05669357255101204,0.9
7,18.30278205871582,19.486665725708008,-0.40396979451179504,3.2099927056258637,0.4132378399372101,0.8172076344490051,0.4349229633808136,0.12678705155849457,448,0,0,0.34413206577301025,-0.03949093818664551,0.10530701279640198,0.15460294485092163,0.8123596906661987,0.07299864292144775,0.14762552082538605,4.246676921844482,0.0516236275434494,0.2680318355560303,0.057113103568553925,0.05510398745536804,0.16687193512916565,0.05539331212639809,0.9
8,18.219751358032227,19.44899559020996,-0.4081823527812958,3.2577236504093343,0.411023885011673,0.8192062377929688,0.42684218287467957,0.10543643683195114,512,0,1,0.3629956841468811,-0.028785228729248047,0.10338442027568817,0.15483726561069489,0.8207074403762817,0.0675712376832962,0.1402985155582428,4.183023929595947,0.04602835699915886,0.2680039703845978,0.05543709173798561,0.05919785052537918,0.1678168773651123,0.059571169316768646,0.9
9,18.056575775146484,19.48181915283203,-0.39095765352249146,3.213076732834452,0.4323843717575073,0.8233420252799988,0.45454108715057373,0.09680023789405823,576,0,0,0.3473118543624878,-0.04165184497833252,0.10062810778617859,0.14828737080097198,0.842053234577179,0.09443690627813339,0.177204892039299,4.0749430656433105,0.04495013505220413,0.27823275327682495,0.07081713527441025,0.06941202282905579,0.15883666276931763,0.06957776844501495,0.9
10,17.868202209472656,19.599397659301758,-0.3636515736579895,3.0236000283918094,0.45664316415786743,0.8202947378158569,0.4832170009613037,0.07745621353387833,640,0,0,0.4113367199897766,-0.053580641746520996,0.10012225061655045,0.15871605277061462,0.8664559721946716,0.14111262559890747,0.2507462799549103,3.9588217735290527,0.0493585541844368,0.26393529772758484,0.06465232372283936,0.06908726692199707,0.1659373790025711,0.0688801109790802,0.9
11,17.574296951293945,19.965496063232422,-0.3833356499671936,3.211690072695847,0.44334185123443604,0.8266775012016296,0.46648091077804565,0.04445282369852066,704,0,0,0.41497015953063965,-0.04504537582397461,0.09835895150899887,0.1284131109714508,0.8607798218727112,0.0822252407670021,0.1753052920103073,3.6443517208099365,0.045937661081552505,0.2798607349395752,0.04895627871155739,0.048083655536174774,0.13984736800193787,0.04834446683526039,0.9
12,17.51943016052246,20.000362396240234,-0.3963848650455475,3.328019509865904,0.433348149061203,0.8297330141067505,0.4491102397441864,0.0586274228990078,768,0,0,0.3794513940811157,-0.029449462890625,0.09359999746084213,0.13044796884059906,0.8402636051177979,0.06078697741031647,0.1421981006860733,3.5736918449401855,0.04673422873020172,0.2881304621696472,0.050290562212467194,0.04978925362229347,0.14247730374336243,0.050094813108444214,0.9
13,17.347209930419922,20.696022033691406,-0.3362463116645813,3.1196349492266964,0.5051196217536926,0.8413659334182739,0.5204789638519287,0.04852120578289032,832,0,1,0.4826274514198303,-0.03404557704925537,0.08755689114332199,0.10436547547578812,0.8705121278762817,0.06458616256713867,0.1535956710577011,3.5368881225585938,0.04454723000526428,0.3038407564163208,0.048232290893793106,0.043869748711586,0.11547970026731491,0.04480106383562088,0.9
14,17.316001892089844,20.396015167236328,-0.3430001735687256,3.0791799748529476,0.4920308589935303,0.8350310325622559,0.5053957104682922,0.07943073660135269,896,0,0,0.41575944423675537,-0.02829432487487793,0.0899447351694107,0.11497071385383606,0.8607273697853088,0.09036635607481003,0.18290367722511292,3.4503815174102783,0.04936259239912033,0.3136484622955322,0.04598144069314003,0.05091448128223419,0.1255979984998703,0.051017288118600845,0.9
15,17.071815490722656,20.71757698059082,-0.3352094888687134,2.9987418750539767,0.4970802664756775,0.8322897553443909,0.5213665962219238,0.04942444711923599,960,0,0,0.4621373414993286,-0.05381464958190918,0.08575267344713211,0.10025691986083984,0.8809640407562256,0.08303935080766678,0.18833108246326447,3.231506586074829,0.04609502851963043,0.33207178115844727,0.04160463437438011,0.038711756467819214,0.1126699298620224,0.039164941757917404,0.9
16,17.09292221069336,20.704727172851562,-0.3446134030818939,3.104976810008086,0.49167296290397644,0.8362863659858704,0.5121782422065735,0.039082229137420654,1024,0,1,0.4746967554092407,-0.04568123817443848,0.09056533873081207,0.09744171798229218,0.8607345819473267,0.080325648188591,0.1658073365688324,3.2589733600616455,0.04726137965917587,0.3262968063354492,0.04301824793219566,0.04121511057019234,0.11091706901788712,0.0415763221681118,0.9
17,17.036155700683594,20.4653377532959,-0.35138508677482605,3.066393461585377,0.4785673916339874,0.8299524784088135,0.4872961640357971,0.05150282382965088,1088,0,0,0.4185939431190491,-0.018058180809020996,0.09709404408931732,0.12383012473583221,0.8661167621612549,0.10909091681241989,0.19918589293956757,3.221160888671875,0.049548253417015076,0.30387187004089355,0.048729777336120605,0.05144602432847023,0.13285401463508606,0.051494427025318146,0.9
18,16.954139709472656,19.56511878967285,-0.4052335321903229,3.3116903275208056,0.4194689691066742,0.8247025012969971,0.40979087352752686,0.05513947829604149,1152,0,1,0.3429830074310303,0.015430688858032227,0.10776987671852112,0.13561642169952393,0.8355783820152283,0.08955223858356476,0.16689281165599823,3.0603885650634766,0.04379142075777054,0.30365121364593506,0.05458564683794975,0.05336457118391991,0.15115401148796082,0.05406343564391136,0.9
19,16.832340240478516,20.458539962768555,-0.36037856340408325,3.0782907837328084,0.46622002124786377,0.826598584651947,0.47737184166908264,0.04026634246110916,1216,0,0,0.4206387400627136,-0.022983431816101074,0.08625760674476624,0.113942451775074,0.8571975827217102,0.09253731369972229,0.18100407719612122,3.0140438079833984,0.04912799596786499,0.3050318956375122,0.04271084442734718,0.04740441218018532,0.1253851354122162,0.047499045729637146,0.9
