step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,13.520902633666992,20.221315383911133,-0.37236765027046204,2.492498794732851,0.37813958525657654,0.7505072355270386,0.47646814584732056,0.1873442679643631,64,0,0,0.18498295545578003,-0.192244291305542,0.10085001587867737,0.13410845398902893,0.7723551988601685,0.06621438264846802,0.1421981006860733,,0.0565999299287796,0.29343587160110474,0.04323097690939903,0.047041527926921844,0.13983440399169922,0.04729525372385979,0.9
2,13.404729843139648,19.399534225463867,-0.3653477430343628,2.6210381278049737,0.4092733860015869,0.7746211290359497,0.4640095829963684,0.19061033427715302,128,0,0,0.27785277366638184,-0.1053459644317627,0.10435515642166138,0.15049658715724945,0.8126444816589355,0.05834464356303215,0.1364993304014206,,0.0552235022187233,0.2999253273010254,0.049553144723176956,0.047732990235090256,0.163624569773674,0.048140235245227814,0.9
3,13.250785827636719,20.140188217163086,-0.32409632205963135,2.4310791797099327,0.4494338035583496,0.773530125617981,0.5180418491363525,0.1748650074005127,192,0,0,0.3086172938346863,-0.1490345001220703,0.08994914591312408,0.12213696539402008,0.828827977180481,0.0656716451048851,0.14626866579055786,,0.061423562467098236,0.2989492118358612,0.04072027653455734,0.042931653559207916,0.13330276310443878,0.04336857795715332,0.9
4,13.189384460449219,19.695297241210938,-0.3397233784198761,2.5352164896693106,0.43898966908454895,0.778713047504425,0.4719478189945221,0.18180401623249054,256,0,1,0.3233519196510315,-0.0650562047958374,0.09954439103603363,0.13724447786808014,0.8174653649330139,0.05074626952409744,0.12320217490196228,,0.04929065704345703,0.2744995951652527,0.04908229783177376,0.047263287007808685,0.15182602405548096,0.04814232885837555,0.9
5,13.095124244689941,19.50227928161621,-0.307452917098999,2.407621211505143,0.4741268754005432,0.7815797924995422,0.49604809284210205,0.19280879199504852,320,0,1,0.373599648475647,-0.04471147060394287,0.09830054640769958,0.15136730670928955,0.8452222943305969,0.0892808735370636,0.17964722216129303,,0.047912467271089554,0.27863413095474243,0.05193377658724785,0.05085994303226471,0.16418930888175964,0.05120260640978813,0.9
6,13.045934677124023,19.79835319519043,-0.3013916611671448,2.3579595183277737,0.47666382789611816,0.7780554890632629,0.4972168803215027,0.16922235488891602,384,0,0,0.3980754613876343,-0.042105793952941895,0.09575719386339188,0.158747136592865,0.8512716293334961,0.07435549795627594,0.1677069216966629,,0.049647845327854156,0.2502553462982178,0.05140114575624466,0.05785294622182846,0.16870735585689545,0.05798666551709175,0.9
7,13.00493335723877,19.31151008605957,-0.31491944193840027,2.3882766909359114,0.4582385718822479,0.7731580138206482,0.46496883034706116,0.12330441176891327,448,0,0,0.40810519456863403,-0.013709425926208496,0.10256204754114151,0.16254419088363647,0.8638656139373779,0.07679783552885056,0.17259159684181213,,0.04857315868139267,0.2378704845905304,0.05574939399957657,0.05352163687348366,0.17661608755588531,0.05369656905531883,0.9
8,12.98465633392334,18.99038314819336,-0.31997406482696533,2.4018522411386596,0.4517750144004822,0.7717490792274475,0.46135035157203674,0.08711209148168564,512,0,1,0.4002053141593933,-0.01954352855682373,0.10624250769615173,0.17260420322418213,0.8836756944656372,0.09416554123163223,0.20624153316020966,,0.04274057596921921,0.22452163696289062,0.05326857417821884,0.058504458516836166,0.19228526949882507,0.05967406556010246,0.9
9,12.902449607849121,19.442302703857422,-0.288774698972702,2.2999733288469986,0.4890863597393036,0.7778610587120056,0.49492383003234863,0.09918557107448578,576,0,1,0.4463111162185669,-0.012745141983032227,0.10070013254880905,0.1566345989704132,0.8883435130119324,0.09145183861255646,0.22496609389781952,,0.04258044809103012,0.2276187539100647,0.061363860964775085,0.061237551271915436,0.17348122596740723,0.061954692006111145,0.9
10,12.835562705993652,19.393489837646484,-0.27299484610557556,2.1602140576569018,0.4917081892490387,0.7647030353546143,0.513443648815155,0.0730912834405899,640,0,1,0.467113733291626,-0.0468822717666626,0.09783568233251572,0.16468968987464905,0.9075902104377747,0.11967436224222183,0.25780192017555237,,0.043928973376750946,0.2051483541727066,0.05779999867081642,0.05833859741687775,0.18000394105911255,0.05958951637148857,0.9
11,12.822507858276367,19.405879974365234,-0.27892112731933594,2.2325606387215453,0.4947848320007324,0.7737059593200684,0.4980168044567108,0.052030354738235474,704,0,0,0.48129743337631226,-0.007791280746459961,0.09811873733997345,0.1486387550830841,0.9150210618972778,0.13025780022144318,0.2507462799549103,,0.047653768211603165,0.2089487612247467,0.048372771590948105,0.04726547747850418,0.16202540695667267,0.04760333150625229,0.9
12,12.842191696166992,19.66962432861328,-0.2759595513343811,2.2421555583636974,0.5018786191940308,0.7778381705284119,0.4959568977355957,0.07466859370470047,768,0,1,0.43895089626312256,0.010922014713287354,0.09550550580024719,0.13930371403694153,0.9032266736030579,0.10067842900753021,0.23039349913597107,,0.04092874377965927,0.20055484771728516,0.04787829518318176,0.047666918486356735,0.15675154328346252,0.048187389969825745,0.9
13,12.715332984924316,20.329893112182617,-0.24135494232177734,2.0679207653926563,0.5326405167579651,0.7739954590797424,0.534473717212677,0.052810296416282654,832,0,1,0.5103965401649475,-0.005245804786682129,0.09242034703493118,0.12112584710121155,0.9085307121276855,0.11180461943149567,0.24016283452510834,,0.045521341264247894,0.19300343096256256,0.046266574412584305,0.04262613505125046,0.13349641859531403,0.04324376955628395,0.9
14,12.727877616882324,19.410797119140625,-0.2486966848373413,1.9915388222031,0.5004844069480896,0.7491810917854309,0.49844399094581604,0.0716695636510849,896,0,0,0.4590756893157959,0.0028862953186035156,0.09991742670536041,0.15184062719345093,0.9070495963096619,0.1364993304014206,0.2740841209888458,,0.050725869834423065,0.16043971478939056,0.04641175642609596,0.0512593537569046,0.1661522090435028,0.051392633467912674,0.9
15,12.687512397766113,19.962154388427734,-0.2368602156639099,2.025954179947673,0.5322715640068054,0.7691317796707153,0.5356048345565796,0.03189537674188614,960,0,0,0.5131750106811523,-0.009549260139465332,0.09300936013460159,0.11926667392253876,0.9285237193107605,0.15142470598220825,0.31099051237106323,,0.047065988183021545,0.181573286652565,0.04207969084382057,0.03928510099649429,0.1346457153558731,0.039624400436878204,0.9
16,12.72257137298584,19.777965545654297,-0.25775617361068726,2.157959495272092,0.5196486711502075,0.7774048447608948,0.5081889033317566,0.020434653386473656,1024,0,1,0.5201355218887329,0.021949291229248047,0.10319780558347702,0.12335094064474106,0.9160838723182678,0.13921302556991577,0.28276798129081726,,0.04929518699645996,0.1607774794101715,0.04236264526844025,0.040771063417196274,0.1419830322265625,0.04133232682943344,0.9
17,12.68796443939209,19.390079498291016,-0.25791656970977783,2.1635961448325767,0.5204287171363831,0.7783452868461609,0.4935286045074463,0.019396696239709854,1088,0,1,0.4897245168685913,0.05178797245025635,0.10215232521295547,0.15753529965877533,0.931576669216156,0.18154682219028473,0.34409770369529724,,0.04770223796367645,0.15022286772727966,0.05308644473552704,0.050441935658454895,0.17157767713069916,0.05097595602273941,0.9
18,12.780893325805664,18.60346221923828,-0.28058817982673645,2.104664876827512,0.4654088318347931,0.7459970116615295,0.42253974080085754,0.05582885444164276,1152,0,1,0.4145408272743225,0.07281559705734253,0.12089667469263077,0.17461705207824707,0.8988981246948242,0.13785618543624878,0.2773405909538269,,0.043910808861255646,0.13404789566993713,0.05700176954269409,0.054797038435935974,0.1928407847881317,0.055655159056186676,0.9
19,12.630459785461426,19.293621063232422,-0.23515397310256958,1.9118695175438596,0.5069648623466492,0.7421188354492188,0.49125534296035767,0.03116494230926037,1216,0,0,0.5054586231708527,0.02998793125152588,0.09892521798610687,0.15354137122631073,0.9240029454231262,0.18534600734710693,0.3329715132713318,,0.0529409758746624,0.12179043889045715,0.04425372555851936,0.04865402728319168,0.16740445792675018,0.048677220940589905,0.9
20,12.594914436340332,19.58159828186035,-0.24054014682769775,2.0907736027854824,0.5389373302459717,0.7794774770736694,0.49431073665618896,0.03188158571720123,1280,0,1,0.5182576477527618,0.08757853507995605,0.10279619693756104,0.12016375362873077,0.9186721444129944,0.1511533260345459,0.3055630922317505,,0.043726928532123566,0.13010279834270477,0.04569254815578461,0.04323647916316986,0.13934966921806335,0.0437302328646183,0.9
21,12.587578773498535,19.179960250854492,-0.23426246643066406,2.0306712299777123,0.5384463667869568,0.7727088332176208,0.5061311721801758,0.023453932255506516,1344,0,0,0.5151057243347168,0.06484061479568481,0.0903823971748352,0.1661858856678009,0.9415566921234131,0.224423348903656,0.39185890555381775,,0.048189926892519,0.12108810245990753,0.047271933406591415,0.05303473025560379,0.17793364822864532,0.0530645027756691,0.9
22,12.547794342041016,19.642757415771484,-0.21635955572128296,1.929177291886061,0.5507897734642029,0.7671493291854858,0.5186933875083923,0.007827451452612877,1408,0,1,0.5356836915016174,0.06590062379837036,0.08918790519237518,0.13170993328094482,0.9327679872512817,0.21139755845069885,0.37856176495552063,,0.054507188498973846,0.11465384066104889,0.037402208894491196,0.04311081022024155,0.1467297226190567,0.04327234998345375,0.9
23,12.567224502563477,19.86208152770996,-0.22316670417785645,2.127351210208957,0.5788766145706177,0.8020433187484741,0.5379630923271179,0.021107301115989685,1472,0,0,0.5580775439739227,0.08766955137252808,0.09100637584924698,0.10940767079591751,0.9236257076263428,0.21655359864234924,0.38154682517051697,,0.047538936138153076,0.13609015941619873,0.03868366405367851,0.03667743131518364,0.12069117277860641,0.03690001741051674,0.9
24,12.517755508422852,19.385223388671875,-0.2235737442970276,2.1406838729689537,0.5804265141487122,0.8040002584457397,0.5264711976051331,0.003694911254569888,1536,0,0,0.5535492300987244,0.11331748962402344,0.09981116652488708,0.1513485312461853,0.9394607543945312,0.2729986608028412,0.43962010741233826,,0.04145963117480278,0.1206788495182991,0.052130077034235,0.0514083132147789,0.16195346415042877,0.05134433135390282,0.9
