step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,16.98236846923828,19.719776153564453,-0.4076400399208069,2.5644621357553175,0.3317975401878357,0.7394375801086426,0.44799208641052246,0.14624519646167755,64,0,1,0.1694621443748474,-0.22496557235717773,0.10530371963977814,0.14576907455921173,0.7720170021057129,0.06648575514554977,0.14762552082538605,5.838426113128662,0.057214654982089996,0.2779731750488281,0.04427076876163483,0.04711572080850601,0.15668244659900665,0.0475224107503891,0.9
2,16.302688598632812,19.173643112182617,-0.40952757000923157,2.7147461934571564,0.35164549946784973,0.7611730694770813,0.44945433735847473,0.1688237190246582,128,0,0,0.15831327438354492,-0.18796539306640625,0.10120251029729843,0.15460044145584106,0.7805488109588623,0.06268656998872757,0.12971507012844086,5.212172985076904,0.05468783155083656,0.28659340739250183,0.05081639811396599,0.048793405294418335,0.16533717513084412,0.04938215762376785,0.9
3,15.788800239562988,19.89211654663086,-0.364702045917511,2.6380052304287918,0.4126478433609009,0.7773498892784119,0.5028163194656372,0.19319823384284973,192,0,0,0.19493824243545532,-0.1939680576324463,0.08560751378536224,0.13069415092468262,0.8094651103019714,0.07571235299110413,0.15603800117969513,4.719192028045654,0.0586138516664505,0.29585668444633484,0.041784320026636124,0.04439106211066246,0.14042286574840546,0.044769205152988434,0.9
4,15.270243644714355,19.12567138671875,-0.4159139394760132,3.0135595900554155,0.377529501914978,0.7934434413909912,0.4316813349723816,0.17031392455101013,256,0,1,0.254730761051178,-0.10000228881835938,0.10516692698001862,0.15651582181453705,0.7919041514396667,0.05074626952409744,0.11831750720739365,4.601309776306152,0.05784299224615097,0.2591216564178467,0.05024593323469162,0.048466768115758896,0.17499978840351105,0.049456097185611725,0.9
5,15.049378395080566,19.80615234375,-0.37188372015953064,2.9104819124742516,0.43346187472343445,0.8053455948829651,0.4867554306983948,0.17283539474010468,320,0,0,0.3003528118133545,-0.10645747184753418,0.09866611659526825,0.1638411283493042,0.8345915675163269,0.09280868619680405,0.19755767285823822,4.481375694274902,0.060392580926418304,0.258314847946167,0.050750453025102615,0.05482514202594757,0.17650926113128662,0.05521596223115921,0.9
6,14.60859489440918,18.88298797607422,-0.41643068194389343,3.0811326420002567,0.38347122073173523,0.7999019026756287,0.418638676404953,0.12423988431692123,384,0,1,0.2847270965576172,-0.062323689460754395,0.11246474832296371,0.18330144882202148,0.8298425674438477,0.06865672022104263,0.16852103173732758,4.338024139404297,0.05012740194797516,0.2507210373878479,0.0556999035179615,0.05595962330698967,0.20417600870132446,0.05729493498802185,0.9
7,14.444039344787598,18.80389976501465,-0.411940336227417,3.1598752429824177,0.3973355293273926,0.8092758655548096,0.42286285758018494,0.12008744478225708,448,0,0,0.3275570869445801,-0.044608473777770996,0.11170268058776855,0.18911957740783691,0.8280704617500305,0.0892808735370636,0.18073271214962006,4.232757568359375,0.05284131318330765,0.24918459355831146,0.05773669481277466,0.055863089859485626,0.20625202357769012,0.05616110563278198,0.9
8,14.090065002441406,18.722484588623047,-0.41631361842155457,3.176317973875149,0.39239373803138733,0.8087073564529419,0.4108037054538727,0.10301640629768372,512,0,1,0.34277230501174927,-0.032024502754211426,0.11141956597566605,0.20148277282714844,0.8368961215019226,0.0892808735370636,0.1818181872367859,4.177435398101807,0.04709992557764053,0.24833479523658752,0.05618634819984436,0.0602680966258049,0.22042739391326904,0.060653652995824814,0.9
9,13.865821838378906,18.683086395263672,-0.39579489827156067,3.1333091634799835,0.41867414116859436,0.814469039440155,0.43760305643081665,0.10457871854305267,576,0,0,0.33363449573516846,-0.034110069274902344,0.10744529962539673,0.20268946886062622,0.8643025159835815,0.12238806486129761,0.21981005370616913,4.090183734893799,0.04534943401813507,0.25455647706985474,0.0721815750002861,0.07115581631660461,0.21876057982444763,0.07136005908250809,0.9
10,13.72675609588623,18.9599552154541,-0.355792373418808,2.925844629146521,0.4594614803791046,0.8152538537979126,0.47733134031295776,0.1246253252029419,640,0,0,0.38122546672821045,-0.03515470027923584,0.1039867177605629,0.20291922986507416,0.880796492099762,0.17313434183597565,0.3004070520401001,3.967813014984131,0.05045968294143677,0.2542758285999298,0.06573610752820969,0.07086662948131561,0.21409185230731964,0.07068599760532379,0.9
