step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,11.213994026184082,20.221315383911133,-0.37236765027046204,2.492498794732851,0.37813958525657654,0.7505072355270386,0.47646814584732056,0.1873442679643631,64,0,0,0.18498295545578003,-0.192244291305542,0.10085001587867737,0.13410845398902893,0.7723551988601685,0.06621438264846802,0.1421981006860733,,0.0565999299287796,0.29343587160110474,0.04323097690939903,0.047041527926921844,0.13983440399169922,0.04729525372385979,0.9
2,10.808300971984863,19.000991821289062,-0.39321571588516235,2.6934065860725673,0.3745803236961365,0.7677960395812988,0.44039085507392883,0.1583097279071808,128,0,0,0.2545214891433716,-0.12036502361297607,0.11131693422794342,0.1676255762577057,0.8129096031188965,0.06974220275878906,0.1497964709997177,,0.05552008002996445,0.28201040625572205,0.04977882280945778,0.04795747995376587,0.1823202669620514,0.04836323484778404,0.9
3,10.616196632385254,19.38654899597168,-0.34877437353134155,2.5137391157679505,0.4208197593688965,0.769594132900238,0.47177761793136597,0.18087293207645416,192,0,0,0.2972491383552551,-0.0989006757736206,0.10608594864606857,0.152389794588089,0.8207259178161621,0.06811397522687912,0.1421981006860733,,0.06191517040133476,0.2673180103302002,0.04101155325770378,0.04329044371843338,0.17049169540405273,0.04373615235090256,0.9
4,10.259708404541016,18.694971084594727,-0.39083462953567505,2.763669539896764,0.38756227493286133,0.7783969044685364,0.4095907509326935,0.15635651350021362,256,0,1,0.28551095724105835,-0.03796827793121338,0.12449047714471817,0.18416327238082886,0.8157323598861694,0.06241519749164581,0.14111262559890747,,0.049914974719285965,0.24555152654647827,0.04976882413029671,0.047944311052560806,0.2075020670890808,0.04885979741811752,0.9
5,9.881919860839844,18.668548583984375,-0.34831327199935913,2.6320556399456736,0.4382667541503906,0.7865800261497498,0.44353681802749634,0.1920035034418106,320,0,1,0.3277324438095093,-0.009348273277282715,0.11732806265354156,0.1985422521829605,0.8442283272743225,0.11316146701574326,0.2154681235551834,,0.04844418168067932,0.2563505172729492,0.05294463410973549,0.05195165053009987,0.21593241393566132,0.05233060196042061,0.9
6,9.823689460754395,18.98808479309082,-0.3306555151939392,2.5065811843253045,0.44987040758132935,0.7805259227752686,0.43535178899765015,0.20712314546108246,384,0,0,0.36062508821487427,0.026545286178588867,0.11670125275850296,0.22522315382957458,0.8437133431434631,0.09226594865322113,0.19402985274791718,,0.05064819008111954,0.23872002959251404,0.052712611854076385,0.05950012058019638,0.24355992674827576,0.05966731160879135,0.9
7,9.613625526428223,18.25032615661621,-0.3380270302295685,2.4834768508236853,0.434111624956131,0.7721386551856995,0.40619751811027527,0.1879405528306961,448,0,0,0.36239343881607056,0.04752707481384277,0.1243724673986435,0.23062413930892944,0.8529326319694519,0.10556309670209885,0.20759837329387665,,0.05036328732967377,0.23454315960407257,0.0572851225733757,0.05550695210695267,0.2556822597980499,0.05572431907057762,0.9
8,9.35507583618164,18.20835304260254,-0.3447098731994629,2.486635434138567,0.4234176278114319,0.7681275010108948,0.400765597820282,0.13180236518383026,512,0,1,0.3560373783111572,0.03720670938491821,0.12286294251680374,0.23996812105178833,0.8788095712661743,0.10094980150461197,0.23582090437412262,,0.04429027810692787,0.23510853946208954,0.05511026084423065,0.061034806072711945,0.27220234274864197,0.062380898743867874,0.9
9,9.27757740020752,18.22409439086914,-0.3313619792461395,2.3694381746248556,0.4266687333583832,0.7580307126045227,0.4155670702457428,0.09805980324745178,576,0,1,0.3895559310913086,0.018736839294433594,0.12933671474456787,0.25492727756500244,0.9018996357917786,0.11614654213190079,0.2773405909538269,,0.04389055073261261,0.21934248507022858,0.06385713815689087,0.06428345292806625,0.28763914108276367,0.06519684940576553,0.9
10,9.204041481018066,18.47889518737793,-0.3058602213859558,2.242264237729226,0.44792789220809937,0.7537881135940552,0.44697874784469604,0.08267159014940262,640,0,1,0.42163652181625366,0.0010693669319152832,0.11834642291069031,0.24473077058792114,0.9218639135360718,0.14572592079639435,0.3033921420574188,,0.045737020671367645,0.21837370097637177,0.059763308614492416,0.06111826002597809,0.2715849280357361,0.0625792071223259,0.9
11,9.034099578857422,17.88785171508789,-0.3208921551704407,2.3318205971584804,0.4381653666496277,0.7590575218200684,0.4096596837043762,0.08486803621053696,704,0,0,0.4086253046989441,0.04806339740753174,0.12934176623821259,0.25392410159111023,0.9283058643341064,0.16472184658050537,0.3142469525337219,,0.04958261176943779,0.22059744596481323,0.0505187027156353,0.04973957687616348,0.28006017208099365,0.05013016238808632,0.9
12,9.071566581726074,18.11391830444336,-0.3231792449951172,2.37377774895004,0.4415721893310547,0.7647514343261719,0.3980186879634857,0.09631626307964325,768,0,1,0.3795012831687927,0.07218611240386963,0.1282493621110916,0.2387920320034027,0.9121171832084656,0.14436906576156616,0.2925373315811157,,0.043463584035634995,0.21497942507266998,0.049882106482982635,0.05009474605321884,0.27726325392723083,0.05073559656739235,0.9
13,9.2724027633667,18.87428092956543,-0.2798188030719757,2.1706745383589143,0.4811576306819916,0.7609764337539673,0.4453834593296051,0.0764913335442543,832,0,1,0.4545861482620239,0.06364023685455322,0.12465208768844604,0.20651766657829285,0.9311521053314209,0.1535956710577011,0.321302592754364,,0.047560788691043854,0.2060275822877884,0.048440344631671906,0.04481849819421768,0.2328248918056488,0.045533277094364166,0.9
14,9.037209510803223,18.50844955444336,-0.2868884205818176,2.092312559331031,0.45046842098236084,0.7373568415641785,0.4102303385734558,0.10495762526988983,896,0,0,0.39979153871536255,0.06773358583450317,0.12898804247379303,0.26582100987434387,0.9261996746063232,0.1875169724225998,0.33839893341064453,,0.05289634317159653,0.19011548161506653,0.04852376505732536,0.05372941121459007,0.28966981172561646,0.05390357971191406,0.9
