step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,16.925153732299805,19.719776153564453,-0.4076400399208069,2.5644621357553175,0.3317975401878357,0.7394375801086426,0.44799208641052246,0.14624519646167755,64,0,1,0.1694621443748474,-0.22496557235717773,0.10530371963977814,0.14576907455921173,0.7720170021057129,0.06648575514554977,0.14762552082538605,5.838426113128662,0.057214654982089996,0.2779731750488281,0.04427076876163483,0.04711572080850601,0.15668244659900665,0.0475224107503891,0.9
2,16.242292404174805,19.171417236328125,-0.40928933024406433,2.7135040398779964,0.35184964537620544,0.7611389756202698,0.449594110250473,0.16894763708114624,128,0,0,0.1588507890701294,-0.18786728382110596,0.10114356130361557,0.15470796823501587,0.7807830572128296,0.06160108745098114,0.13242876529693604,5.209640026092529,0.05498800054192543,0.2863854765892029,0.05086885020136833,0.048861533403396606,0.1654428243637085,0.04945303127169609,0.9
3,15.732908248901367,19.90464210510254,-0.36368367075920105,2.6345318454598985,0.4138161242008209,0.777499794960022,0.5040709972381592,0.19497528672218323,192,0,0,0.19458001852035522,-0.1946800947189331,0.08519447594881058,0.13006050884723663,0.8093757033348083,0.0746268704533577,0.1568521112203598,4.7192063331604,0.05913597345352173,0.29610657691955566,0.041884128004312515,0.044504500925540924,0.13963404297828674,0.044883474707603455,0.9
4,15.213659286499023,19.138708114624023,-0.4144483804702759,3.0062218270023946,0.37897008657455444,0.7934184670448303,0.43333983421325684,0.1727028489112854,256,0,1,0.2541170120239258,-0.10071873664855957,0.10446038842201233,0.15555983781814575,0.7917088270187378,0.049389418214559555,0.11831750720739365,4.6010422706604,0.058649662882089615,0.25907936692237854,0.05043239891529083,0.04865674674510956,0.1738053858280182,0.04965906962752342,0.9
5,14.989891052246094,19.80851173400879,-0.3704811632633209,2.9011406582435826,0.43464574217796326,0.8051269054412842,0.48794543743133545,0.1751146763563156,320,0,0,0.2997244596481323,-0.10673701763153076,0.09811150282621384,0.16300766170024872,0.8345956802368164,0.09253731369972229,0.1983717828989029,4.482568264007568,0.06144993007183075,0.2580277919769287,0.0509679839015007,0.05493823438882828,0.17558838427066803,0.05534328892827034,0.9
6,14.560469627380371,18.895158767700195,-0.41462448239326477,3.067352579998621,0.38481733202934265,0.7994418144226074,0.4200274646282196,0.12638986110687256,384,0,1,0.2846642732620239,-0.06256556510925293,0.11187604069709778,0.18262514472007751,0.8297984600067139,0.06974220275878906,0.1696065217256546,4.339361667633057,0.05137244611978531,0.25014030933380127,0.05601401627063751,0.056309156119823456,0.20336218178272247,0.05767509341239929,0.9
7,14.393582344055176,18.811796188354492,-0.40999794006347656,3.1441519959252964,0.39878523349761963,0.8087831735610962,0.42443254590034485,0.12200775742530823,448,0,0,0.3280450105667114,-0.044951677322387695,0.11116225272417068,0.18864035606384277,0.8282174468040466,0.08955223858356476,0.18100407719612122,4.235106945037842,0.054478954523801804,0.24817785620689392,0.05786058306694031,0.05625186860561371,0.20572122931480408,0.05656558275222778,0.9
8,14.049182891845703,18.7335147857666,-0.41431644558906555,3.159961723326584,0.39386698603630066,0.8081834316253662,0.41253548860549927,0.10493834316730499,512,0,1,0.34299981594085693,-0.03256666660308838,0.11081055551767349,0.20076364278793335,0.8371542096138,0.08846676349639893,0.18127544224262238,4.1806182861328125,0.0487159863114357,0.2476118952035904,0.056601978838443756,0.0608232282102108,0.21965213119983673,0.061212748289108276,0.9
9,13.822233200073242,18.686800003051758,-0.394259512424469,3.1162562871868245,0.41944003105163574,0.8136995434761047,0.4386407136917114,0.10573171824216843,576,0,0,0.3336780071258545,-0.03466606140136719,0.10706125199794769,0.20250195264816284,0.8644875288009644,0.12238806486129761,0.22143827378749847,4.092883586883545,0.047030605375766754,0.25315314531326294,0.07250332832336426,0.0717940703034401,0.21861232817173004,0.07202332466840744,0.9
10,13.680889129638672,18.96245765686035,-0.3543643057346344,2.907805472880282,0.4598912298679352,0.8142555356025696,0.47823330760002136,0.12601716816425323,640,0,0,0.3806902766227722,-0.03615832328796387,0.10361403971910477,0.2026079148054123,0.8810082077980042,0.17449118196964264,0.29932159185409546,3.972008466720581,0.052646346390247345,0.2525300979614258,0.06601101905107498,0.07127823680639267,0.2137788087129593,0.0711120218038559,0.9
11,13.322165489196777,19.135831832885742,-0.3754156529903412,3.092999364632916,0.4452170431613922,0.8206326961517334,0.45780447125434875,0.09066260606050491,704,0,0,0.395540714263916,-0.023937225341796875,0.10409387946128845,0.1736728996038437,0.8808448314666748,0.11207598447799683,0.22415196895599365,3.6343681812286377,0.04974526911973953,0.26308321952819824,0.05100295692682266,0.05048447102308273,0.1902444213628769,0.05076207220554352,0.9
12,13.214255332946777,19.188764572143555,-0.3796986937522888,3.1637887082491662,0.44482266902923584,0.8245213627815247,0.4481988549232483,0.10825296491384506,768,0,0,0.37505602836608887,-0.0062514543533325195,0.09923405945301056,0.17467272281646729,0.8710024952888489,0.09280868619680405,0.191316157579422,3.5479705333709717,0.05075347423553467,0.2770503759384155,0.052512187510728836,0.052605368196964264,0.19239167869091034,0.05293433368206024,0.9
13,13.24088191986084,19.724987030029297,-0.33636680245399475,2.9731681852463216,0.49316278100013733,0.8295295834541321,0.4990204870700836,0.09097995609045029,832,0,1,0.46300941705703735,-0.012618541717529297,0.09755288064479828,0.15218977630138397,0.8983194231987,0.09986431896686554,0.2200814187526703,3.522881031036377,0.049285076558589935,0.2680465281009674,0.05103589966893196,0.04662834852933884,0.1725950390100479,0.04771086946129799,0.9
14,13.074572563171387,19.404720306396484,-0.3393932282924652,2.897699360842842,0.48176220059394836,0.8211554288864136,0.4859364330768585,0.10811571776866913,896,0,0,0.3968541622161865,-0.008620142936706543,0.09940230846405029,0.17199796438217163,0.895654022693634,0.13161465525627136,0.24667571485042572,3.4656193256378174,0.05442652106285095,0.2778828740119934,0.04874993860721588,0.053849656134843826,0.1890505850315094,0.05401032045483589,0.9
15,12.983336448669434,19.823184967041016,-0.3261207342147827,2.8750693546988644,0.4999546408653259,0.8260753750801086,0.5134055614471436,0.084776371717453,960,0,0,0.4540802240371704,-0.029189586639404297,0.09483420848846436,0.13772155344486237,0.9096378684043884,0.127544105052948,0.25210312008857727,3.229949951171875,0.0503445528447628,0.300234854221344,0.044232580810785294,0.04148923605680466,0.15549089014530182,0.04200610890984535,0.9
16,12.934667587280273,19.566598892211914,-0.341810017824173,2.9843588608784146,0.48593786358833313,0.8277478814125061,0.4880529046058655,0.07270468771457672,1024,0,1,0.451848566532135,-0.005829811096191406,0.10718152672052383,0.14480462670326233,0.8934594392776489,0.11886025220155716,0.2436906397342682,3.2580654621124268,0.053571753203868866,0.27985671162605286,0.04621020704507828,0.04464814439415932,0.16766341030597687,0.04512052237987518,0.9
17,12.708758354187012,19.345006942749023,-0.33901476860046387,2.8878681986314283,0.48140978813171387,0.8204245567321777,0.4800104796886444,0.08301641792058945,1088,0,0,0.4181241989135742,0.002343297004699707,0.10015802085399628,0.1873931884765625,0.9038218855857849,0.16037993133068085,0.2838534712791443,3.287252902984619,0.055801551789045334,0.26478898525238037,0.052306950092315674,0.05523426830768585,0.20163990557193756,0.055310528725385666,0.9
18,12.309808731079102,18.552597045898438,-0.38727259635925293,3.1781265986412346,0.4349266290664673,0.8221992254257202,0.40857139229774475,0.09421391785144806,1152,0,1,0.3424273133277893,0.04413437843322754,0.11746463179588318,0.19968119263648987,0.8751778602600098,0.12021709978580475,0.22795116901397705,3.130628824234009,0.050065845251083374,0.2774019241333008,0.059149086475372314,0.05888046324253082,0.22283880412578583,0.05976952612400055,0.9
19,12.487202644348145,19.44820785522461,-0.3430771827697754,2.839113807284589,0.47037798166275024,0.8134551644325256,0.47196558117866516,0.07569780945777893,1216,0,0,0.41446369886398315,-0.003972649574279785,0.10140378773212433,0.17332516610622406,0.8985260725021362,0.14056988060474396,0.2583446502685547,3.0698633193969727,0.0559060201048851,0.264717698097229,0.04648194462060928,0.05140821635723114,0.19112646579742432,0.051579512655735016,0.9
20,12.3431978225708,19.242156982421875,-0.3491346836090088,3.121988736357886,0.4863334894180298,0.8354681730270386,0.4624744653701782,0.06911638379096985,1280,0,1,0.42981499433517456,0.043622732162475586,0.10701295733451843,0.15603835880756378,0.8997184634208679,0.10746268928050995,0.2225237488746643,2.962085008621216,0.04854728281497955,0.2853725850582123,0.051387395709753036,0.04781057685613632,0.17995092272758484,0.048466119915246964,0.9
