step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,19.403779983520508,19.719776153564453,-0.4076400399208069,2.5644621357553175,0.3317975401878357,0.7394375801086426,0.44799208641052246,0.14624519646167755,64,0,1,0.1694621443748474,-0.22496557235717773,0.10530371963977814,0.14576907455921173,0.7720170021057129,0.06648575514554977,0.14762552082538605,5.838426113128662,0.057214654982089996,0.2779731750488281,0.04427076876163483,0.04711572080850601,0.15668244659900665,0.0475224107503891,0.9
2,18.81768035888672,19.885150909423828,-0.38088372349739075,2.6383971975172913,0.3866429030895233,0.7675266265869141,0.48897114396095276,0.21585561335086823,128,0,0,0.15175414085388184,-0.2151561975479126,0.08417890220880508,0.1253746747970581,0.7741243243217468,0.05698779225349426,0.12130258232355118,5.166106700897217,0.0562749058008194,0.32590368390083313,0.051059216260910034,0.049121253192424774,0.12837328016757965,0.04972651228308678,0.9
3,18.318674087524414,21.164173126220703,-0.31239044666290283,2.4382089625961645,0.4704015851020813,0.7827920317649841,0.5774054527282715,0.2885831594467163,192,0,0,0.1279410719871521,-0.27986419200897217,0.06275061517953873,0.08636003732681274,0.7852628231048584,0.054545458406209946,0.12510177493095398,4.6918625831604,0.061121970415115356,0.392539381980896,0.04225555807352066,0.04489358514547348,0.08735928684473038,0.045272182673215866,0.9
4,18.113431930541992,20.61296844482422,-0.34391531348228455,2.8630118652780148,0.47148290276527405,0.8153982162475586,0.5337567329406738,0.3023822605609894,256,0,1,0.22478151321411133,-0.1466737985610962,0.0683729276061058,0.09364552795886993,0.7712656259536743,0.03962008282542229,0.0949796512722969,4.578736305236816,0.061972226947546005,0.3432962894439697,0.050946056842803955,0.04917634651064873,0.09690515697002411,0.05022260546684265,0.9
5,17.903900146484375,21.224687576293945,-0.2997269630432129,2.8234960714895703,0.5359036326408386,0.8356305956840515,0.5876148343086243,0.32472556829452515,320,0,0,0.28092408180236816,-0.13249564170837402,0.06310504674911499,0.08831548690795898,0.8089665770530701,0.0694708302617073,0.1625508815050125,4.492110729217529,0.06586436927318573,0.3653221130371094,0.0513632670044899,0.05491303652524948,0.09054131805896759,0.055364448577165604,0.9
6,17.720355987548828,19.96917724609375,-0.344478577375412,3.035307319742764,0.4862700402736664,0.8307486176490784,0.5164453983306885,0.2442653328180313,384,0,1,0.3082655072212219,-0.06721961498260498,0.07451414316892624,0.11953601241111755,0.8239731788635254,0.06350068002939224,0.14246948063373566,4.359419345855713,0.053270526230335236,0.315887451171875,0.05627270042896271,0.05649814009666443,0.12908609211444855,0.057903993874788284,0.9
7,17.608919143676758,20.18727684020996,-0.3438234329223633,3.1218422404923745,0.4941365122795105,0.8379599452018738,0.5161840319633484,0.24526745080947876,448,0,0,0.3453642725944519,-0.0485004186630249,0.0767514780163765,0.11839939653873444,0.8085142970085144,0.07218453288078308,0.1478968858718872,4.273538589477539,0.05533778667449951,0.3248184025287628,0.05743930861353874,0.056054212152957916,0.12575970590114594,0.0563792809844017,0.9
8,17.50152587890625,20.058555603027344,-0.3503812849521637,3.1641660404977,0.4877174198627472,0.8380987048149109,0.5027117133140564,0.20991143584251404,512,0,1,0.3746306300163269,-0.031963229179382324,0.07724911719560623,0.12355460971593857,0.8207218647003174,0.0694708302617073,0.14518317580223083,4.212437629699707,0.048668187111616135,0.31973642110824585,0.05628421530127525,0.06029859930276871,0.13387688994407654,0.06069019064307213,0.9
9,17.37498664855957,20.109365463256836,-0.3403148949146271,3.1188046374045024,0.49906864762306213,0.8393835425376892,0.5191757082939148,0.191028892993927,576,0,0,0.35976624488830566,-0.043344855308532715,0.07608958333730698,0.12238472700119019,0.8394895792007446,0.09389416873455048,0.1696065217256546,4.135934352874756,0.047458380460739136,0.32487890124320984,0.07129552215337753,0.07046888768672943,0.13115760684013367,0.07067345082759857,0.9
10,17.16200065612793,20.077539443969727,-0.31922996044158936,2.96243238301616,0.5180994868278503,0.8373294472694397,0.5415303707122803,0.1597621738910675,640,0,0,0.43272924423217773,-0.05409693717956543,0.0775168389081955,0.13549113273620605,0.8646520376205444,0.1402985155582428,0.24504749476909637,4.00460958480835,0.051785510033369064,0.3055747151374817,0.06504492461681366,0.06969952583312988,0.14127124845981598,0.06952878087759018,0.9
