step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,10.422307968139648,14.828283309936523,-0.37236765027046204,2.492498794732851,0.37813958525657654,0.7505072355270386,0.47646814584732056,0.1873442679643631,64,0,0,0.18498295545578003,-0.192244291305542,0.10085001587867737,0.13410845398902893,0.7723551988601685,0.06621438264846802,0.1421981006860733,,0.0565999299287796,0.29343587160110474,0.04323097690939903,0.047041527926921844,0.13983440399169922,0.04729525372385979,0.9
2,9.30638599395752,13.572084426879883,-0.4150231182575226,2.7165672906817817,0.3432018458843231,0.7582249641418457,0.4056643843650818,0.12184502184391022,128,0,0,0.2529916763305664,-0.10784769058227539,0.13014014065265656,0.1998143494129181,0.8164241909980774,0.07625509053468704,0.1549525111913681,,0.05510511249303818,0.2589127719402313,0.049564119428396225,0.0477287620306015,0.2187400907278061,0.048136647790670395,0.9
3,8.777508735656738,13.584257125854492,-0.3720560371875763,2.5232089302752336,0.3836859166622162,0.7557419538497925,0.4453338384628296,0.15257854759693146,192,0,0,0.25853896141052246,-0.11660099029541016,0.12133748829364777,0.17012041807174683,0.8148863911628723,0.07109905034303665,0.1511533260345459,,0.0617981031537056,0.2672737240791321,0.04092345014214516,0.0431952141225338,0.18939164280891418,0.04364011809229851,0.9
4,8.205951690673828,13.08771800994873,-0.42106011509895325,2.74606258147342,0.3377915322780609,0.7588516473770142,0.3663213551044464,0.1225680485367775,256,0,1,0.2470647096633911,-0.04670560359954834,0.15328432619571686,0.2409394085407257,0.815851628780365,0.063772052526474,0.13622795045375824,,0.049568869173526764,0.23674270510673523,0.049578599631786346,0.047773201018571854,0.2707112729549408,0.04867865517735481,0.9
5,7.628573894500732,12.547823905944824,-0.3827991783618927,2.572233378679989,0.3737260401248932,0.7565252184867859,0.39526405930519104,0.1478133648633957,320,0,1,0.28072911500930786,-0.0370638370513916,0.14959616959095,0.2743138074874878,0.8371356129646301,0.10881954431533813,0.19620081782341003,,0.04919905215501785,0.24252666532993317,0.05272651091217995,0.051729097962379456,0.2952052652835846,0.05210401490330696,0.9
6,7.838640213012695,13.360288619995117,-0.3764382302761078,2.477593316048381,0.36879733204841614,0.7452355623245239,0.38647207617759705,0.13833913207054138,384,0,0,0.30264753103256226,-0.02975630760192871,0.15095987915992737,0.3141379952430725,0.8331493735313416,0.0873812809586525,0.17177748680114746,,0.051491983234882355,0.23245525360107422,0.05245666950941086,0.059108003973960876,0.3344271183013916,0.05926717817783356,0.9
7,7.2769012451171875,12.409635543823242,-0.3975439965724945,2.4791655023503667,0.33369365334510803,0.7312376499176025,0.3444468379020691,0.09763757139444351,448,0,0,0.28862249851226807,-0.01759946346282959,0.17421789467334747,0.34412845969200134,0.8516992926597595,0.10067842900753021,0.2027137130498886,,0.051339007914066315,0.21885302662849426,0.056694395840168,0.055134013295173645,0.37909427285194397,0.05534355714917183,0.9
8,7.510313034057617,12.981006622314453,-0.4091855585575104,2.489912966441881,0.31617721915245056,0.7253627777099609,0.3400399088859558,0.04949275776743889,512,0,1,0.27419984340667725,-0.038358211517333984,0.17737190425395966,0.34692612290382385,0.8590343594551086,0.09905020892620087,0.22116689383983612,,0.04577738419175148,0.21327319741249084,0.054773684591054916,0.06048598140478134,0.3844541311264038,0.06181246414780617,0.9
9,7.4251909255981445,13.12485122680664,-0.38659200072288513,2.388996263851013,0.3350832760334015,0.7216752767562866,0.3756081163883209,0.040742650628089905,576,0,1,0.29423457384109497,-0.06795740127563477,0.17221197485923767,0.3339642584323883,0.8802383542060852,0.11804613471031189,0.26105836033821106,,0.04541303589940071,0.21763989329338074,0.06309355050325394,0.06348690390586853,0.3653924763202667,0.06437799334526062,0.9
10,7.278541564941406,12.820713996887207,-0.3597908616065979,2.2903816020402274,0.36138397455215454,0.7211748361587524,0.4006379544734955,0.03138727322220802,640,0,1,0.3390602469444275,-0.06900906562805176,0.15799279510974884,0.3274598717689514,0.901676595211029,0.1435549557209015,0.28602442145347595,,0.0469721257686615,0.21010476350784302,0.05907587707042694,0.060424886643886566,0.3587183356285095,0.06185997277498245,0.9
