step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,10.94152545928955,15.358881950378418,-0.3719702363014221,2.4647006125543722,0.3740732669830322,0.7460435032844543,0.5082070827484131,0.1848554164171219,64,0,0,0.15477615594863892,-0.287137508392334,0.08294078707695007,0.10905522108078003,0.7630443572998047,0.056716419756412506,0.13215740025043488,,0.05379684269428253,0.3763163685798645,0.04337107017636299,0.04801449179649353,0.11578801274299622,0.04834333434700966,0.9
2,10.07729721069336,13.977757453918457,-0.4024978280067444,2.834498595762784,0.3780973553657532,0.7805951833724976,0.44465357065200806,0.14315563440322876,128,0,1,0.2636684775352478,-0.1232748031616211,0.10949871689081192,0.1581093668937683,0.8102103471755981,0.07218453288078308,0.15251018106937408,,0.05012458562850952,0.2962263226509094,0.04732389748096466,0.04569086804986,0.17210076749324799,0.04608854651451111,0.9
3,8.796384811401367,13.137089729309082,-0.36226966977119446,2.8119624446904963,0.4377981126308441,0.8000677824020386,0.4669548273086548,0.16331864893436432,192,0,0,0.3339958190917969,-0.05641031265258789,0.10511867702007294,0.15333320200443268,0.8392110466957092,0.08439620584249496,0.17964722216129303,,0.052692264318466187,0.295814573764801,0.039720319211483,0.042338963598012924,0.17116060853004456,0.042735032737255096,0.9
4,8.555001258850098,13.02413558959961,-0.4133918583393097,3.0393524766927014,0.3839007318019867,0.7972925901412964,0.38803592324256897,0.15025335550308228,256,0,0,0.2788165211677551,-0.007105827331542969,0.13547874987125397,0.1986626386642456,0.8202726244926453,0.07869742810726166,0.15902307629585266,,0.04706632345914841,0.28814995288848877,0.04748740419745445,0.04657826945185661,0.2193390280008316,0.04711807891726494,0.9
5,8.163370132446289,13.449907302856445,-0.3775901198387146,2.8116516432354524,0.4139867424964905,0.7915768623352051,0.4174060523509979,0.15675000846385956,320,0,0,0.30234044790267944,-0.007245659828186035,0.13470320403575897,0.22297236323356628,0.8358486890792847,0.1020352840423584,0.19620081782341003,,0.049257226288318634,0.2766548991203308,0.047757040709257126,0.05153166875243187,0.24321897327899933,0.05181910842657089,0.9
6,7.861774921417236,13.335762023925781,-0.4152259826660156,2.8772561153397787,0.36358630657196045,0.7788122892379761,0.35959312319755554,0.10282453894615173,384,0,0,0.2932702302932739,0.00572127103805542,0.15241263806819916,0.2995508909225464,0.8448122143745422,0.1020352840423584,0.20352782309055328,,0.04722920060157776,0.2387966811656952,0.05031461641192436,0.0572613850235939,0.32215097546577454,0.05764732509851456,0.9
7,7.245522975921631,12.285186767578125,-0.4055001139640808,2.7066980586555216,0.356906533241272,0.7624066472053528,0.3555203676223755,0.07528967410326004,448,0,1,0.29989755153656006,0.0012999773025512695,0.16399219632148743,0.3060208559036255,0.8666821718215942,0.11696065217256546,0.2206241637468338,,0.0476640984416008,0.23020604252815247,0.054280687123537064,0.052093975245952606,0.3380458652973175,0.05246581882238388,0.9
8,7.2481513023376465,12.5008544921875,-0.42091575264930725,2.6133592638919825,0.31819024682044983,0.7391059994697571,0.3218984603881836,0.05144774913787842,512,0,0,0.2680661082267761,-0.006576418876647949,0.17515142261981964,0.3470754027366638,0.8553277850151062,0.12103120982646942,0.22225238382816315,,0.04292783513665199,0.21686965227127075,0.053124018013477325,0.05672483146190643,0.3781139552593231,0.05716217681765556,0.9
9,7.207561016082764,12.577777862548828,-0.3914618492126465,2.5302431817382214,0.3527213931083679,0.7441832423210144,0.35988861322402954,0.05656393617391586,576,0,0,0.3221610188484192,-0.01239621639251709,0.16517548263072968,0.3546964228153229,0.8833343982696533,0.13487111032009125,0.24640434980392456,,0.04052654281258583,0.22141209244728088,0.06903237104415894,0.06884713470935822,0.3726549446582794,0.06910005956888199,0.9
10,7.065065860748291,12.554131507873535,-0.3733042776584625,2.3658752464101376,0.3533879816532135,0.726692259311676,0.37210917472839355,0.051952313631772995,640,0,1,0.32738953828811646,-0.03257954120635986,0.17295671999454498,0.3438960313796997,0.8823743462562561,0.1204884722828865,0.24531887471675873,,0.043957341462373734,0.21144062280654907,0.05570795014500618,0.058340564370155334,0.38016268610954285,0.05937473475933075,0.9
11,6.855258941650391,12.101786613464355,-0.38854721188545227,2.397314216153544,0.3333856165409088,0.7219328284263611,0.33239439129829407,0.04716513678431511,704,0,0,0.2960888743400574,-0.00013780593872070312,0.18267399072647095,0.3640671968460083,0.8876969218254089,0.13595658540725708,0.25481683015823364,,0.044625021517276764,0.2085580676794052,0.05014798045158386,0.04970715939998627,0.39818811416625977,0.05017756670713425,0.9
12,6.873843669891357,12.187507629394531,-0.3917977809906006,2.3739309790137875,0.32303667068481445,0.714834451675415,0.3121943771839142,0.03754226118326187,768,0,0,0.3051251173019409,0.014600157737731934,0.19291916489601135,0.3725433349609375,0.8828718662261963,0.13188603520393372,0.252645879983902,,0.04616717994213104,0.20099776983261108,0.04953647032380104,0.04971683397889137,0.41292598843574524,0.05007494240999222,0.9
13,6.591660499572754,12.312594413757324,-0.3579883873462677,2.2779919686747676,0.36189374327659607,0.7198821306228638,0.36314091086387634,0.014932876452803612,832,0,0,0.3385741114616394,-0.0033544301986694336,0.17770932614803314,0.34797585010528564,0.910981297492981,0.15332429111003876,0.2740841209888458,,0.05412713810801506,0.18674561381340027,0.04685376212000847,0.04978237673640251,0.37882569432258606,0.05002239719033241,0.9
14,6.668369293212891,11.855036735534668,-0.3689804971218109,2.3666829302216223,0.3610369861125946,0.7300174832344055,0.34107694029808044,0.0281351450830698,896,0,1,0.3427017331123352,0.029770851135253906,0.1769566386938095,0.37702566385269165,0.9087753891944885,0.16824966669082642,0.3052917420864105,,0.048940107226371765,0.1906440407037735,0.04745345935225487,0.05253230035305023,0.4054235816001892,0.052836962044239044,0.9
15,6.613247394561768,11.9964599609375,-0.37308984994888306,2.3260515776843005,0.34555619955062866,0.7186460494995117,0.33903318643569946,0.007575437426567078,960,0,0,0.3432302474975586,0.008043527603149414,0.2071991115808487,0.3480946719646454,0.9149439334869385,0.16689281165599823,0.30637720227241516,,0.05132613331079483,0.18285340070724487,0.043099936097860336,0.04147458076477051,0.3957235813140869,0.04201463237404823,0.9
16,6.522775173187256,11.767767906188965,-0.3636417090892792,2.348628104953845,0.366720050573349,0.7303617596626282,0.3460625410079956,0.029609501361846924,1024,0,0,0.34716224670410156,0.030732393264770508,0.19353801012039185,0.3555310070514679,0.9071215391159058,0.16363637149333954,0.291994571685791,,0.0531497560441494,0.1826641857624054,0.04559538513422012,0.044671304523944855,0.4057246148586273,0.04523004591464996,0.9
17,6.565301895141602,11.927452087402344,-0.3673360049724579,2.3463673780587713,0.3598290979862213,0.7271651029586792,0.34520530700683594,0.009072386659681797,1088,0,0,0.3374929428100586,0.02124875783920288,0.1913968026638031,0.41676566004753113,0.9233061075210571,0.18453189730644226,0.32998645305633545,,0.052867546677589417,0.17924398183822632,0.05030816048383713,0.05343013256788254,0.4423516094684601,0.05376405641436577,0.9
18,6.420778751373291,11.667906761169434,-0.3995145857334137,2.4698284359464155,0.3286750614643097,0.7281896471977234,0.2833753228187561,0.0035140318796038628,1152,0,0,0.31629514694213867,0.06289774179458618,0.23065413534641266,0.4387217164039612,0.9091311097145081,0.1644504815340042,0.29036635160446167,,0.04485519230365753,0.17862826585769653,0.05492374300956726,0.05493353679776192,0.4686296284198761,0.055220216512680054,0.9
19,6.513906478881836,11.763172149658203,-0.370239794254303,2.3954104790691564,0.3644334077835083,0.7346732020378113,0.3243381381034851,0.015857722610235214,1216,0,1,0.35594356060028076,0.05872267484664917,0.21178041398525238,0.36826688051223755,0.9172341823577881,0.14138399064540863,0.2849389612674713,,0.0503547340631485,0.18191073834896088,0.04481841251254082,0.04402294382452965,0.4197255074977875,0.044665418565273285,0.9
20,6.464128494262695,11.778136253356934,-0.39178574085235596,2.416598869104333,0.3316463828086853,0.7234321236610413,0.2822090983390808,0.016311632469296455,1280,0,1,0.3055115342140198,0.06842708587646484,0.23927488923072815,0.41460752487182617,0.9060730338096619,0.14518317580223083,0.28141114115715027,,0.0483175665140152,0.17571091651916504,0.04840967431664467,0.04703620821237564,0.4644496440887451,0.04747243598103523,0.9
21,6.276716709136963,11.563994407653809,-0.3629437983036041,2.372092617132989,0.372537761926651,0.7354815602302551,0.3295432925224304,0.011813086457550526,1344,0,0,0.3332337737083435,0.06251531839370728,0.18662022054195404,0.44258037209510803,0.9349194765090942,0.21411126852035522,0.37666216492652893,,0.05011221021413803,0.1699272245168686,0.04837412387132645,0.055489130318164825,0.4699651300907135,0.05588076263666153,0.9
22,6.220798969268799,11.59581470489502,-0.35318759083747864,2.241376467684851,0.36229953169822693,0.7154871225357056,0.33367276191711426,0.021484121680259705,1408,0,0,0.3395955562591553,0.04125899076461792,0.19626052677631378,0.427717000246048,0.921215295791626,0.19294437766075134,0.34084126353263855,,0.056517958641052246,0.15941587090492249,0.03913072869181633,0.048585355281829834,0.46529242396354675,0.04883503168821335,0.9
23,6.193981170654297,11.381610870361328,-0.3508051931858063,2.281585324055948,0.3754672706127167,0.726272463798523,0.34183284640312195,0.026225727051496506,1472,0,0,0.3412264585494995,0.04956012964248657,0.214018777012825,0.3824208378791809,0.9309794306755066,0.2135685235261917,0.3698779046535492,,0.04899898171424866,0.16823281347751617,0.04046665504574776,0.038489051163196564,0.43095770478248596,0.038813017308712006,0.9
24,6.140922546386719,11.355493545532227,-0.3443855047225952,2.2923952447939744,0.38914376497268677,0.733529269695282,0.3583957850933075,0.01677430048584938,1536,0,0,0.34795325994491577,0.04700946807861328,0.20396727323532104,0.4458363652229309,0.9375036358833313,0.25725916028022766,0.41981005668640137,,0.046026911586523056,0.17160692811012268,0.05193092301487923,0.052163396030664444,0.47340458631515503,0.052230577915906906,0.9
25,6.24528169631958,11.410576820373535,-0.3714360296726227,2.3753888078516177,0.3585050404071808,0.7299410700798035,0.3091430962085724,0.022001521661877632,1600,0,0,0.3508116602897644,0.07091975212097168,0.21571791172027588,0.4556970000267029,0.9212738871574402,0.2092266082763672,0.35793760418891907,,0.04430137574672699,0.16936542093753815,0.048835162073373795,0.05256032943725586,0.4907115399837494,0.0528578944504261,0.9
26,6.011917591094971,11.246418952941895,-0.36602476239204407,2.344696477003936,0.3617764413356781,0.7278012037277222,0.2982308566570282,0.014901245944201946,1664,0,0,0.3297560214996338,0.09000122547149658,0.23435218632221222,0.4461635947227478,0.9211658835411072,0.1549525111913681,0.3047489821910858,,0.04792044311761856,0.1667456477880478,0.052565522491931915,0.04910533130168915,0.484357625246048,0.049549173563718796,0.9
27,6.2076592445373535,11.585485458374023,-0.3518570065498352,2.2464908020541237,0.36586493253707886,0.7177219390869141,0.32934239506721497,0.009461184032261372,1728,0,0,0.3427167534828186,0.05381041765213013,0.2210298776626587,0.46734726428985596,0.9323773980140686,0.21655359864234924,0.386431485414505,,0.049904175102710724,0.15953022241592407,0.04791559278964996,0.05271529406309128,0.4977434575557709,0.052835267037153244,0.9
28,6.071014881134033,11.40641975402832,-0.37414348125457764,2.3660063413859214,0.3519606590270996,0.7261041402816772,0.28139424324035645,0.024354238063097,1792,0,1,0.3317514657974243,0.09806835651397705,0.24837544560432434,0.44827353954315186,0.9147948622703552,0.14518317580223083,0.2925373315811157,,0.04608917236328125,0.16597981750965118,0.05297701433300972,0.051835112273693085,0.5035097002983093,0.05303505063056946,0.9
29,5.963479995727539,11.384925842285156,-0.37844622135162354,2.34538669245584,0.3402619957923889,0.7187082171440125,0.2704640328884125,0.008596098981797695,1856,0,0,0.3350290060043335,0.09520870447158813,0.2561880052089691,0.48638835549354553,0.9178169369697571,0.1715061068534851,0.31858888268470764,,0.041616395115852356,0.16120044887065887,0.056280020624399185,0.055799633264541626,0.5246259570121765,0.056252509355545044,0.9
30,5.935602188110352,11.418769836425781,-0.3816758394241333,2.348262754099769,0.3352370262145996,0.7169128656387329,0.26954928040504456,0.014599368907511234,1920,0,0,0.30893874168395996,0.08963441848754883,0.26251891255378723,0.48134028911590576,0.9119310975074768,0.15793758630752563,0.2990502119064331,,0.04600413888692856,0.16039763391017914,0.05499809607863426,0.0535491406917572,0.5231595635414124,0.054005928337574005,0.9
31,5.920422077178955,11.41531753540039,-0.37217870354652405,2.3110423758208554,0.3439413011074066,0.7161200046539307,0.27227821946144104,0.025825614109635353,1984,0,1,0.3228064179420471,0.09810137748718262,0.2579687237739563,0.44711238145828247,0.9137967824935913,0.1370420604944229,0.27842605113983154,,0.045945994555950165,0.16100755333900452,0.04701578989624977,0.045677825808525085,0.5021091103553772,0.04662087559700012,0.9
