step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3
1,49.533058166503906,15.358881950378418,-0.3719702363014221,2.4647006125543722,0.3740732669830322,0.7460435032844543,0.5082070827484131,0.1848554164171219,64,0,0,0.10713624954223633,-0.287137508392334,0.08294078707695007,0.10905522108078003,0.7630443572998047,0.056716419756412506,0.13215740025043488,,0.05576208978891373,0.38413721323013306,0.04337107017636299,0.04801449179649353,0.11578801274299622,0.04834333434700966,0.9,0.625926673412323,0.7565793395042419,0.8262468576431274,0.8716176748275757
2,43.537200927734375,13.992891311645508,-0.39088067412376404,2.7187925004029716,0.3817034661769867,0.7725841403007507,0.44440555572509766,0.15955600142478943,128,0,1,0.24883460998535156,-0.11755430698394775,0.10648458451032639,0.15530312061309814,0.8049516081809998,0.061058346182107925,0.1345997303724289,,0.05144452303647995,0.3075789213180542,0.047571245580911636,0.04573288559913635,0.1699104607105255,0.046228621155023575,0.9,0.6182965040206909,0.710923969745636,0.7607489824295044,0.7954905033111572
3,38.76438522338867,13.450998306274414,-0.3811951279640198,2.7549116670993077,0.4015887379646301,0.7827838659286499,0.43853816390037537,0.1502748280763626,192,0,0,0.2569858431816101,-0.06824064254760742,0.11240264028310776,0.1671510934829712,0.8184511661529541,0.07598371803760529,0.15603800117969513,,0.05400369316339493,0.28831174969673157,0.039610590785741806,0.04225961118936539,0.18664628267288208,0.04267573356628418,0.9,0.5984112620353699,0.6849309206008911,0.7151499390602112,0.7536081075668335
4,35.60151672363281,13.224101066589355,-0.4368622303009033,3.001798778764141,0.3449029326438904,0.7817651629447937,0.34391096234321594,0.13685794174671173,256,0,0,0.24795663356781006,0.0012066364288330078,0.15106771886348724,0.22670024633407593,0.7978754043579102,0.07028494030237198,0.13677069544792175,,0.04361383616924286,0.2650601267814636,0.04723386466503143,0.04631388932466507,0.2470940351486206,0.04680753871798515,0.9,0.6550970077514648,0.7044858336448669,0.7297533750534058,0.7526776194572449
5,34.75288009643555,13.753938674926758,-0.4047793745994568,2.8119756705253796,0.37182945013046265,0.7766088247299194,0.3780093789100647,0.13529977202415466,320,0,0,0.28460532426834106,-0.01114034652709961,0.15178905427455902,0.2577975392341614,0.8201615810394287,0.09362279623746872,0.17937585711479187,,0.04934592917561531,0.2608920633792877,0.0472681038081646,0.050959981977939606,0.27941325306892395,0.05126003548502922,0.9,0.6281705498695374,0.678638219833374,0.7074653506278992,0.7264619469642639
6,32.32133483886719,13.443851470947266,-0.4361917972564697,2.8425649781213655,0.3270774483680725,0.7632692456245422,0.31624042987823486,0.10185310244560242,384,0,0,0.2737267017364502,0.015029966831207275,0.17529931664466858,0.3334975242614746,0.8098690509796143,0.09172320365905762,0.18263229727745056,,0.04397568106651306,0.23329898715019226,0.04995372146368027,0.05709467828273773,0.35729411244392395,0.05744275450706482,0.9,0.6729224920272827,0.7079311609268188,0.7212140560150146,0.7497028112411499
7,31.06011199951172,12.718338966369629,-0.4604088068008423,2.8220240413317863,0.2869003415107727,0.747309148311615,0.2896259129047394,0.04386571794748306,448,0,1,0.25592899322509766,-0.004309415817260742,0.19708620011806488,0.35917937755584717,0.8323990106582642,0.08683853596448898,0.17611941695213318,,0.042416736483573914,0.2158987820148468,0.05363534763455391,0.05117533355951309,0.39195775985717773,0.05146815627813339,0.9,0.7130996584892273,0.7628889083862305,0.7870213389396667,0.8172202110290527
8,31.278810501098633,12.790969848632812,-0.4665602445602417,2.842845045135399,0.2802658677101135,0.7468261122703552,0.2700771987438202,0.057165082544088364,512,0,0,0.23638564348220825,0.013359367847442627,0.19222654402256012,0.3806172013282776,0.8170717358589172,0.09552238881587982,0.1785617470741272,,0.03956792131066322,0.22751384973526,0.05291445553302765,0.056159913539886475,0.4085302948951721,0.056594282388687134,0.9,0.7197340726852417,0.7575043439865112,0.7619267106056213,0.7995726466178894
9,31.792417526245117,13.055558204650879,-0.4455013573169708,2.80983228062274,0.30834248661994934,0.7538438439369202,0.31621867418289185,0.019723540171980858,576,0,0,0.285200297832489,-0.012207627296447754,0.18853887915611267,0.37466883659362793,0.8662617206573486,0.13731344044208527,0.2493894249200821,,0.03789076209068298,0.225979745388031,0.06931514292955399,0.06859230995178223,0.39087632298469543,0.0687706246972084,0.9,0.6916574835777283,0.7450630068778992,0.7829897999763489,0.8153495788574219
10,31.730485916137695,13.371267318725586,-0.43502557277679443,2.6496920326298494,0.3012733459472656,0.7362989187240601,0.3132838010787964,0.017963813617825508,640,0,1,0.2887119650840759,-0.01931142807006836,0.19794921576976776,0.3471243381500244,0.8600469827651978,0.10664857923984528,0.21926730871200562,,0.04529073089361191,0.2176930010318756,0.05456703528761864,0.05751563608646393,0.3836131691932678,0.05887334793806076,0.9,0.6987266540527344,0.7580975294113159,0.7897607088088989,0.8213087916374207
