step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,13.643939018249512,20.221315383911133,-0.37236765027046204,2.492498794732851,0.37813958525657654,0.7505072355270386,0.47646814584732056,0.1873442679643631,64,0,0,0.18498295545578003,-0.192244291305542,0.10085001587867737,0.13410845398902893,0.7723551988601685,0.06621438264846802,0.1421981006860733,,0.0565999299287796,0.29343587160110474,0.04323097690939903,0.047041527926921844,0.13983440399169922,0.04729525372385979,0.9
2,13.600685119628906,19.061307907104492,-0.38726383447647095,2.6237144653635385,0.3742312788963318,0.7614951133728027,0.43381616473197937,0.14096906781196594,128,0,0,0.2779501676559448,-0.1078118085861206,0.11759722232818604,0.17053526639938354,0.8139406442642212,0.0618724599480629,0.1389416605234146,,0.054607413709163666,0.26561439037323,0.04945675656199455,0.0476185567677021,0.18616509437561035,0.048024896532297134,0.9
3,13.541997909545898,19.75100326538086,-0.35496363043785095,2.5183574269542603,0.41125503182411194,0.7662186622619629,0.49090901017189026,0.09368155896663666,192,0,0,0.30920320749282837,-0.16306591033935547,0.09804080426692963,0.1373269259929657,0.846887469291687,0.07191316783428192,0.1568521112203598,,0.0595339871942997,0.2680318057537079,0.04050639644265175,0.04268452525138855,0.15286311507225037,0.04311366006731987,0.9
4,13.484501838684082,19.777061462402344,-0.3638591468334198,2.937568339701919,0.4483492076396942,0.812208354473114,0.49023228883743286,0.14505630731582642,256,0,1,0.322542667388916,-0.08535194396972656,0.0952029675245285,0.13407647609710693,0.843102753162384,0.05318860337138176,0.13758480548858643,,0.04760320484638214,0.2939348518848419,0.04879095405340195,0.04699953645467758,0.14845697581768036,0.04783421382308006,0.9
5,13.361149787902832,20.378583908081055,-0.2958862781524658,2.9177975501291695,0.5498293042182922,0.8457155823707581,0.5625677108764648,0.2582482397556305,320,0,1,0.39716029167175293,-0.028772354125976562,0.07473467290401459,0.11095374822616577,0.8530263304710388,0.1020352840423584,0.19185888767242432,,0.04806626960635185,0.3615491986274719,0.05155855417251587,0.05052091181278229,0.1181151419878006,0.050867434591054916,0.9
6,13.267685890197754,20.361356735229492,-0.28951162099838257,2.994035381285655,0.5652995705604553,0.8548111915588379,0.5563303828239441,0.2291869819164276,384,0,0,0.4508194327354431,0.022087454795837402,0.07506084442138672,0.12519890069961548,0.8663336634635925,0.09253731369972229,0.18534600734710693,,0.04900124669075012,0.3398457169532776,0.05096373334527016,0.05758519843220711,0.13267527520656586,0.057722583413124084,0.9
7,13.24797534942627,20.016578674316406,-0.3073740601539612,2.99043127392085,0.5382000803947449,0.845574140548706,0.5207630395889282,0.16667358577251434,448,0,0,0.4677655100822449,0.03652292490005493,0.08206639438867569,0.13331376016139984,0.8701698780059814,0.0822252407670021,0.18860244750976562,,0.04630719870328903,0.31086939573287964,0.05515602231025696,0.05250701308250427,0.1438344120979309,0.052660126239061356,0.9
8,13.223697662353516,19.767576217651367,-0.3188329339027405,2.895624788036412,0.5129729509353638,0.8318058848381042,0.5100951194763184,0.10104630142450333,512,0,1,0.44485175609588623,0.004214107990264893,0.08840040862560272,0.13813474774360657,0.8802352547645569,0.08059702068567276,0.18670286238193512,,0.04101281613111496,0.2831540107727051,0.05209094285964966,0.056930236518383026,0.1526266634464264,0.05800073221325874,0.9
9,13.186805725097656,20.4444580078125,-0.2939804792404175,2.8537735476749155,0.5474346280097961,0.8414151072502136,0.5483891367912292,0.10229231417179108,576,0,1,0.480857789516449,-0.003839731216430664,0.08263441175222397,0.11602959036827087,0.8710086345672607,0.08168250322341919,0.18860244750976562,,0.040729016065597534,0.31019285321235657,0.05966624617576599,0.05910761281847954,0.12730570137500763,0.05970748886466026,0.9
10,13.096352577209473,20.416885375976562,-0.2808409333229065,2.875448638927908,0.5694130659103394,0.8502539992332458,0.5685427188873291,0.092747263610363,640,0,1,0.5253269672393799,0.0005904436111450195,0.07937224209308624,0.11973771452903748,0.8957762718200684,0.11560380458831787,0.23744912445545197,,0.04043015092611313,0.29157471656799316,0.05599167197942734,0.0558343306183815,0.12970732152462006,0.05696136876940727,0.9
