step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3
1,18.370126724243164,20.221315383911133,-0.37236765027046204,2.492498794732851,0.37813958525657654,0.7505072355270386,0.47646814584732056,0.1873442679643631,64,0,0,0.1883106827735901,-0.192244291305542,0.10085001587867737,0.13410845398902893,0.7723551988601685,0.06621438264846802,0.1421981006860733,,0.05822208523750305,0.2991674840450287,0.04323097690939903,0.047041527926921844,0.13983440399169922,0.04729525372385979,0.9,0.6218603253364563,0.7317198514938354,0.7910635471343994,0.8366332650184631
2,16.891159057617188,21.06292152404785,-0.27173471450805664,2.4974057066242916,0.5467949509620667,0.8185296654701233,0.5838760137557983,0.4114900827407837,128,0,0,0.22022294998168945,-0.09636068344116211,0.06064974144101143,0.08227077126502991,0.7664991617202759,0.0491180494427681,0.10339213162660599,,0.05670581012964249,0.46235787868499756,0.05013543739914894,0.04840216785669327,0.0781031921505928,0.04887652397155762,0.9,0.45320507884025574,0.5207758545875549,0.5593637824058533,0.5873730778694153
3,16.153362274169922,22.281496047973633,-0.2043393850326538,2.387671817306766,0.6484072208404541,0.8527466058731079,0.6780977249145508,0.5189893245697021,192,0,0,0.2516099810600281,-0.10964345932006836,0.045017071068286896,0.05643045902252197,0.7590652704238892,0.031207598745822906,0.07951153814792633,,0.06268396973609924,0.543450653553009,0.04189299792051315,0.04428033530712128,0.05321768671274185,0.04479789733886719,0.9,0.3515927493572235,0.41772225499153137,0.444293737411499,0.46865975856781006
4,15.963397026062012,22.254470825195312,-0.20233547687530518,2.5046100658200916,0.6631875038146973,0.8655229806900024,0.6750555634498596,0.5532364845275879,256,0,1,0.25090593099594116,-0.0492933988571167,0.04244602844119072,0.052719343453645706,0.7379538416862488,0.02659430168569088,0.07028494030237198,,0.05763131007552147,0.5807429552078247,0.050051067024469376,0.04795718938112259,0.04991057142615318,0.04894489794969559,0.9,0.3368125259876251,0.3859209716320038,0.4120299518108368,0.42914649844169617
5,15.762290954589844,22.32119369506836,-0.1833634376525879,2.425646952726491,0.6880188584327698,0.8713822960853577,0.7007054686546326,0.5628635883331299,320,0,1,0.3140107989311218,-0.054836273193359375,0.04059642553329468,0.0521257147192955,0.7638059854507446,0.03500678390264511,0.08331072330474854,,0.06330842524766922,0.5535969734191895,0.05412942171096802,0.05200289934873581,0.04847079515457153,0.05277160555124283,0.9,0.31198111176490784,0.3617435097694397,0.3898686170578003,0.4079827070236206
6,15.747543334960938,22.444395065307617,-0.1880151629447937,2.5305763878375704,0.6891453862190247,0.8771605491638184,0.6937282085418701,0.5714294910430908,384,0,0,0.308798611164093,-0.02624642848968506,0.03940970078110695,0.05122314393520355,0.7392284870147705,0.030122118070721626,0.07761194556951523,,0.06929690390825272,0.573698878288269,0.05506107956171036,0.06044447422027588,0.04758342728018761,0.060717590153217316,0.9,0.31085458397865295,0.35550177097320557,0.37645432353019714,0.3984382748603821
7,15.812620162963867,22.237356185913086,-0.19276320934295654,2.5692052393695093,0.6843954920768738,0.8771587014198303,0.6871106028556824,0.5500638484954834,448,0,0,0.29627764225006104,-0.018115878105163574,0.04093736410140991,0.0527012012898922,0.761363685131073,0.03609226644039154,0.0930800586938858,,0.0625390112400055,0.5594854950904846,0.05727047473192215,0.05709154158830643,0.050239548087120056,0.05743671953678131,0.9,0.31560444831848145,0.364482581615448,0.3908587098121643,0.4146820604801178
8,15.825410842895508,21.881616592407227,-0.20621800422668457,2.6681544469232747,0.6701615452766418,0.8763795495033264,0.6697630286216736,0.5171464681625366,512,0,1,0.3443359136581421,-0.006075620651245117,0.04201914370059967,0.058313626796007156,0.7844589948654175,0.05183175206184387,0.12075984477996826,,0.06599174439907074,0.5233714580535889,0.05517765134572983,0.06262879818677902,0.0572134330868721,0.0640188679099083,0.9,0.32983842492103577,0.3758849799633026,0.3914259970188141,0.4241594970226288
9,15.616056442260742,21.812314987182617,-0.18852120637893677,2.631079752114489,0.695898175239563,0.8844193816184998,0.6976105570793152,0.5067813992500305,576,0,1,0.4091193675994873,-0.009855985641479492,0.04070276767015457,0.058800216764211655,0.8364418745040894,0.048303935676813126,0.1327001452445984,,0.06466533988714218,0.5186136960983276,0.065965436398983,0.06744901090860367,0.05828222259879112,0.06931839883327484,0.9,0.304101824760437,0.3492620587348938,0.37485241889953613,0.3968728482723236
10,15.683815002441406,22.085628509521484,-0.18636542558670044,2.6039760144336106,0.6974449157714844,0.8838103413581848,0.7015358805656433,0.5187286734580994,640,0,1,0.4101683497428894,-0.022240757942199707,0.04030315950512886,0.05618072673678398,0.8181366920471191,0.054816827178001404,0.13432836532592773,,0.06460810452699661,0.5624903440475464,0.058345723897218704,0.06029878556728363,0.05540759488940239,0.061611007899045944,0.9,0.302555114030838,0.35053551197052,0.37680643796920776,0.3992951214313507
11,15.521053314208984,22.29456329345703,-0.1779404878616333,2.659501895837607,0.7148342728614807,0.892774760723114,0.7116591930389404,0.5336421132087708,704,0,0,0.42740917205810547,0.006070494651794434,0.040300626307725906,0.053413666784763336,0.8178621530532837,0.04667571559548378,0.10881954431533813,,0.06404517590999603,0.5779870748519897,0.052168939262628555,0.05159943550825119,0.053601328283548355,0.05223815143108368,0.9,0.2851657271385193,0.332765132188797,0.3535124361515045,0.3726252317428589
