step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,16.882957458496094,20.221315383911133,-0.37236765027046204,2.492498794732851,0.37813958525657654,0.7505072355270386,0.47646814584732056,0.1873442679643631,64,0,0,0.18498295545578003,-0.192244291305542,0.10085001587867737,0.13410845398902893,0.7723551988601685,0.06621438264846802,0.1421981006860733,,0.0565999299287796,0.29343587160110474,0.04323097690939903,0.047041527926921844,0.13983440399169922,0.04729525372385979,0.900001
2,16.17816925048828,21.365123748779297,-0.25508254766464233,2.572718633274681,0.5827253460884094,0.8378078937530518,0.6182959675788879,0.4466192424297333,128,0,0,0.2541661858558655,-0.10039544105529785,0.05356447771191597,0.07205884158611298,0.7779706716537476,0.04586160182952881,0.09850746393203735,,0.05933305248618126,0.5044660568237305,0.0506107434630394,0.04903391748666763,0.06743282824754715,0.04946267232298851,0.900002
3,15.466758728027344,22.18840217590332,-0.2089809775352478,2.44849287077329,0.6467442512512207,0.8557252287864685,0.6816047430038452,0.48281872272491455,192,0,0,0.30414724349975586,-0.12230896949768066,0.045421186834573746,0.057972874492406845,0.792020320892334,0.04233378544449806,0.09796472638845444,,0.06872321665287018,0.5661872625350952,0.04188809171319008,0.04426165670156479,0.056769296526908875,0.04474450647830963,0.900003
4,15.338483810424805,21.824512481689453,-0.2265307903289795,2.6120512896644454,0.6329458951950073,0.8594766855239868,0.6506822109222412,0.4663883447647095,256,0,1,0.32129746675491333,-0.05808210372924805,0.04837169125676155,0.06283426284790039,0.7912247180938721,0.03907734155654907,0.09362279623746872,,0.05453547462821007,0.5211452841758728,0.05068232864141464,0.04883473366498947,0.06197872385382652,0.04985570162534714,0.900004
5,15.022616386413574,21.635215759277344,-0.21660912036895752,2.5711560136601284,0.645524799823761,0.8621339201927185,0.6631196141242981,0.4438989460468292,320,0,1,0.37403053045272827,-0.05822110176086426,0.04935961961746216,0.06777510046958923,0.8196732997894287,0.07218453288078308,0.14681139588356018,,0.05378950014710426,0.5311100482940674,0.05346188694238663,0.05241524055600166,0.06699707359075546,0.052818942815065384,0.900005
6,14.891582489013672,21.713354110717773,-0.2191997766494751,2.5727482708613896,0.6414265036582947,0.8606262803077698,0.6538677215576172,0.41189390420913696,384,0,0,0.41447216272354126,-0.04017746448516846,0.05150245130062103,0.07368795573711395,0.826415479183197,0.06404342502355576,0.1280868500471115,,0.057693928480148315,0.483264684677124,0.05278545618057251,0.058807410299777985,0.07309553027153015,0.05895297974348068,0.900006
7,14.789762496948242,21.289344787597656,-0.2329390048980713,2.6226108633318748,0.6235028505325317,0.856441855430603,0.6284414529800415,0.35768887400627136,448,0,0,0.4423787593841553,-0.01679062843322754,0.056388549506664276,0.0817825198173523,0.8382611870765686,0.05970149487257004,0.13432836532592773,,0.05416307970881462,0.46231842041015625,0.056146811693906784,0.055095456540584564,0.08569119870662689,0.055319368839263916,0.900007
8,14.820866584777832,20.69614601135254,-0.24207425117492676,2.580621245066557,0.6047744154930115,0.8468486666679382,0.6080294251441956,0.3172137439250946,512,0,1,0.4442075490951538,-0.012105107307434082,0.06071501970291138,0.09685014933347702,0.865614116191864,0.07109905034303665,0.17747625708580017,,0.04874224215745926,0.43205198645591736,0.05464867502450943,0.06019451096653938,0.10578342527151108,0.061522919684648514,0.900008
9,14.558773040771484,21.090585708618164,-0.2181066870689392,2.472968311173066,0.6338204145431519,0.8519271016120911,0.6379784941673279,0.3140985369682312,576,0,1,0.4964330792427063,-0.015143871307373047,0.05525553598999977,0.09043367952108383,0.8761780261993408,0.07598371803760529,0.18778833746910095,,0.048383280634880066,0.44845104217529297,0.062386490404605865,0.0628867894411087,0.09770853817462921,0.06373322010040283,0.9000090000000001
10,14.397137641906738,20.956541061401367,-0.20967435836791992,2.309895547269971,0.6302561163902283,0.8399304747581482,0.6435250043869019,0.289840966463089,640,0,1,0.5196583867073059,-0.04288065433502197,0.05789187550544739,0.09910192340612411,0.887729823589325,0.09172320365905762,0.20678426325321198,,0.04982009530067444,0.4091569483280182,0.05863098427653313,0.05990758538246155,0.10647570341825485,0.06129971519112587,0.90001
11,14.38435173034668,20.967771530151367,-0.22516566514968872,2.40658407345888,0.6147545576095581,0.8399202227592468,0.6225945353507996,0.2547246515750885,704,0,0,0.5301279723644257,-0.02504444122314453,0.06254524737596512,0.09896409511566162,0.8858250379562378,0.09579376131296158,0.19565808773040771,,0.05309182405471802,0.4188844561576843,0.04977688193321228,0.04893450438976288,0.10740458965301514,0.04929009824991226,0.900011
12,14.384004592895508,21.003625869750977,-0.23048120737075806,2.423845114899358,0.6076464056968689,0.838127613067627,0.6134177446365356,0.23243258893489838,768,0,1,0.49482262134552,-0.017767786979675293,0.06360449641942978,0.09711463749408722,0.8890599608421326,0.08439620584249496,0.19430123269557953,,0.0467403382062912,0.38474607467651367,0.04915967956185341,0.049156319350004196,0.11010121554136276,0.04974868521094322,0.900012
13,14.085101127624512,21.653953552246094,-0.20175820589065552,2.2583615586705967,0.6379077434539795,0.839665949344635,0.6528708934783936,0.19775629043579102,832,0,1,0.5746663212776184,-0.04738736152648926,0.05928290635347366,0.08529339730739594,0.8988364934921265,0.09633650630712509,0.21655359864234924,,0.04999018460512161,0.407027006149292,0.04734620451927185,0.04381421580910683,0.09342765808105469,0.04449348524212837,0.9000130000000001
14,14.133353233337402,21.178245544433594,-0.2068217396736145,2.2229766689740638,0.6240648627281189,0.8308866024017334,0.6367655992507935,0.2305913120508194,896,0,0,0.5322585999965668,-0.03914904594421387,0.0626223012804985,0.09463630616664886,0.8827372193336487,0.0982360988855362,0.21275441348552704,,0.055756546556949615,0.4010801911354065,0.04735225439071655,0.05191628262400627,0.1029164120554924,0.05209249630570412,0.900014
15,14.06799030303955,21.345706939697266,-0.20232832431793213,2.1620523564510994,0.623558759689331,0.8258870840072632,0.6500250697135925,0.17562724649906158,960,0,0,0.5659932196140289,-0.08275330066680908,0.06238134577870369,0.08452112972736359,0.9045352339744568,0.10529172420501709,0.21981005370616913,,0.051071666181087494,0.4161648452281952,0.04311893880367279,0.04042138531804085,0.09465231001377106,0.04077063500881195,0.900015
