step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3
1,18.39472770690918,20.217866897583008,-0.37705084681510925,2.5106503626259995,0.37335410714149475,0.750404953956604,0.46970441937446594,0.185420423746109,64,0,0,0.18267923593521118,-0.18703186511993408,0.10203442722558975,0.13510631024837494,0.7701297402381897,0.06702849268913269,0.1389416605234146,,0.058222077786922455,0.29809874296188354,0.043230973184108734,0.047041527926921844,0.14051418006420135,0.04729524627327919,0.900001,0.6266458630561829,0.7347619533538818,0.7927722334861755,0.8382079005241394
201,16.826824188232422,22.357532501220703,-0.191789448261261,1.7152889482870997,0.5400819182395935,0.7318713665008545,0.4753800928592682,0.23954766988754272,12864,0,0,0.4483349919319153,0.11919516324996948,0.06181144714355469,0.06109173595905304,0.7400826811790466,0.016282225027680397,0.05020352825522423,,0.03640909120440483,0.22483199834823608,0.03635972738265991,0.03504609316587448,0.06467690318822861,0.035516493022441864,0.900201,0.4599181115627289,0.5811673998832703,0.6277406811714172,0.6534951329231262
401,16.4702091217041,22.08156394958496,-0.13738292455673218,1.4599964835231505,0.5639562606811523,0.7013391852378845,0.4770076870918274,0.1513889878988266,25664,0,0,0.5055390894412994,0.16445720195770264,0.06401076912879944,0.08067149668931961,0.8259477615356445,0.04369064047932625,0.10691995173692703,,0.029622267931699753,0.1681481897830963,0.04709097743034363,0.052495330572128296,0.08567138016223907,0.052596431225538254,0.900401,0.4360436797142029,0.5534360408782959,0.5955406427383423,0.6237125396728516
601,16.847448348999023,21.511341094970703,-0.10959488153457642,1.3049724169273484,0.531045138835907,0.6406400203704834,0.41559532284736633,0.16452084481716156,38464,0,0,0.47407931089401245,0.195104718208313,0.080842524766922,0.09116147458553314,0.8092009425163269,0.054545458406209946,0.11261872947216034,,0.022311069071292877,0.13922755420207977,0.04778416082262993,0.049362339079380035,0.09643178433179855,0.04987259581685066,0.900601,0.4689548909664154,0.5979117751121521,0.65450119972229,0.6886804103851318
801,16.61394691467285,22.36518096923828,-0.0706828236579895,1.2031555850521636,0.5813925862312317,0.6520754098892212,0.48062074184417725,0.20356403291225433,51264,0,0,0.4702978730201721,0.1914246678352356,0.06872005015611649,0.07572878897190094,0.7989052534103394,0.040976934134960175,0.09199457615613937,,0.02282414585351944,0.18586739897727966,0.044495876878499985,0.05259253829717636,0.07863961160182953,0.0529790073633194,0.9008010000000001,0.4186074435710907,0.554125964641571,0.6134343147277832,0.6516870260238647
1001,17.020038604736328,21.734207153320312,-0.051386892795562744,1.1155942856162158,0.5040678381919861,0.5554547309875488,0.3125114440917969,0.0839470848441124,64064,0,0,0.47552359104156494,0.276860773563385,0.0780825987458229,0.08824114501476288,0.8146992921829224,0.029308006167411804,0.07924016565084457,,0.01503878552466631,0.07585182785987854,0.05166061222553253,0.05456387251615524,0.0914224162697792,0.054856784641742706,0.901001,0.49593213200569153,0.639135479927063,0.7008469700813293,0.7377809882164001
1201,16.506961822509766,21.54020881652832,0.030182868242263794,0.9407604501665081,0.5206775069236755,0.49049463868141174,0.24056807160377502,0.3052065372467041,76864,0,1,0.4181370735168457,0.3667230010032654,0.09138882905244827,0.10044056177139282,0.7632149457931519,0.022795116528868675,0.06268656998872757,,0.011560235172510147,0.08541877567768097,0.059268392622470856,0.062367960810661316,0.10401801019906998,0.06343913823366165,0.901201,0.4793224632740021,0.5840643048286438,0.6073552370071411,0.6161702871322632
1401,16.38995933532715,21.592933654785156,0.026468217372894287,0.9459243523259276,0.5370017290115356,0.5105335116386414,0.3237893879413605,0.3186762034893036,89664,0,0,0.39985156059265137,0.3137785792350769,0.08397812396287918,0.10625135898590088,0.7514360547065735,0.033378563821315765,0.07571235299110413,,0.013508517295122147,0.13336636126041412,0.06262727081775665,0.08223898708820343,0.10746750235557556,0.08198197185993195,0.901401,0.46299827098846436,0.5497581362724304,0.5792027711868286,0.5920438170433044
1601,16.314102172851562,21.73240852355957,0.023284494876861572,0.9510294374444433,0.5478050708770752,0.5245205760002136,0.3692759871482849,0.12431596964597702,102464,0,0,0.4792698621749878,0.2815353274345398,0.07612942904233932,0.10371401160955429,0.8281311392784119,0.04314789921045303,0.10610584169626236,,0.009097464382648468,0.04852960258722305,0.05340820178389549,0.06710921227931976,0.1041073426604271,0.06716117262840271,0.901601,0.4521949291229248,0.5483340620994568,0.5977596044540405,0.6384059190750122
1801,14.961227416992188,22.468616485595703,0.009621143341064453,0.9679996447400715,0.7089637517929077,0.6993426084518433,0.5630309581756592,0.5955145359039307,115264,0,0,0.422585129737854,0.33172714710235596,0.05335104092955589,0.056487321853637695,0.7133824825286865,0.018724558874964714,0.04748982563614845,,0.021379593759775162,0.17009486258029938,0.06185780465602875,0.08380432426929474,0.05633663013577461,0.08352246135473251,0.9018010000000001,0.2910362780094147,0.33169445395469666,0.3491358160972595,0.3560856282711029
2001,16.37371826171875,21.040882110595703,0.13472136855125427,0.7720155349218768,0.5437979102134705,0.4090765416622162,0.2476407289505005,0.1851404756307602,128064,0,0,0.47942501306533813,0.39237356185913086,0.09236351400613785,0.11698919534683228,0.8349595069885254,0.05943012610077858,0.13867029547691345,,0.00926123932003975,0.052322618663311005,0.07173757255077362,0.07986661046743393,0.118710458278656,0.08016104996204376,0.902001,0.45620205998420715,0.5652830600738525,0.6067776083946228,0.6360535621643066
2201,16.711719512939453,20.955488204956055,0.11776605248451233,0.8070468706549421,0.5074310302734375,0.38966497778892517,0.2280704528093338,0.07159024477005005,140864,0,0,0.47641414403915405,0.3601316809654236,0.08965000510215759,0.11694243550300598,0.8481929302215576,0.07788331061601639,0.160651296377182,,0.0072510819882154465,0.02644185721874237,0.06627538055181503,0.08201760798692703,0.11758363991975784,0.08210669457912445,0.902201,0.4925689399242401,0.6129106283187866,0.6674820780754089,0.7062286734580994
2401,16.877397537231445,20.8651123046875,0.14558160305023193,0.7761602870994276,0.4951983392238617,0.34961673617362976,0.1850331723690033,0.034140150994062424,153664,0,1,0.4786216616630554,0.3798220753669739,0.093020960688591,0.1139448806643486,0.8525893092155457,0.09335143119096756,0.18588875234127045,,0.005462202243506908,0.02889092266559601,0.07124260812997818,0.08234499394893646,0.11548099666833878,0.08335496485233307,0.902401,0.5048015713691711,0.6376148462295532,0.6946255564689636,0.7316367626190186
2601,16.713186264038086,21.1180419921875,0.1235751211643219,0.7996868413815172,0.5066654682159424,0.3830903470516205,0.2052278071641922,0.035519056022167206,166464,0,1,0.49532485008239746,0.3782505989074707,0.08650204539299011,0.11545731127262115,0.86232990026474,0.08873812854290009,0.18534600734710693,,0.004722247831523418,0.023212093859910965,0.07042357325553894,0.08503146469593048,0.11741156131029129,0.08592361211776733,0.902601,0.49333444237709045,0.6224547028541565,0.6759698390960693,0.704389214515686
2801,16.686094284057617,21.357667922973633,0.08259952068328857,0.8488885573965376,0.5359862446784973,0.45338672399520874,0.2706720232963562,0.05951657146215439,179264,0,1,0.5039958655834198,0.36155951023101807,0.08690822124481201,0.09304098784923553,0.8475145101547241,0.0746268704533577,0.14626866579055786,,0.004734933376312256,0.025820275768637657,0.06487197428941727,0.06585048139095306,0.09818063676357269,0.06840027123689651,0.9028010000000001,0.4640137553215027,0.6135504245758057,0.6789785623550415,0.7178945541381836
3001,16.46209144592285,21.575103759765625,0.17570385336875916,0.7109081461416429,0.567925214767456,0.3922213613986969,0.26798805594444275,0.03037871979176998,192064,0,1,0.5615558922290802,0.4083065390586853,0.08350098878145218,0.09842067956924438,0.874458372592926,0.12211669236421585,0.2111261934041977,,0.00415470264852047,0.019256826490163803,0.06500674039125443,0.07180552184581757,0.10282891988754272,0.07390288263559341,0.903001,0.43207481503486633,0.5889495611190796,0.6545677185058594,0.6946449875831604
3201,16.51615333557129,21.18056297302246,0.15653279423713684,0.7488366459270617,0.5333017706871033,0.37676897644996643,0.26933950185775757,0.07600618898868561,204864,0,0,0.5152683854103088,0.3596346378326416,0.09506635367870331,0.1135701984167099,0.8472822308540344,0.09362279623746872,0.1894165575504303,,0.004172035492956638,0.02188577502965927,0.07484100759029388,0.08462505787611008,0.11562076956033707,0.08537017554044724,0.903201,0.46669822931289673,0.5889155864715576,0.6469225883483887,0.685023844242096
