step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3
1,15.794415473937988,20.217866897583008,-0.37705084681510925,2.5106503626259995,0.37335410714149475,0.750404953956604,0.46970441937446594,0.185420423746109,64,0,0,0.18267923593521118,-0.18703186511993408,0.10203442722558975,0.13510631024837494,0.7701297402381897,0.06702849268913269,0.1389416605234146,,0.058222077786922455,0.29809874296188354,0.043230973184108734,0.047041527926921844,0.14051418006420135,0.04729524627327919,0.9,0.6266458630561829,0.7347619533538818,0.7927722334861755,0.8382079005241394
201,9.239521026611328,17.045061111450195,-0.014868617057800293,1.0414993493631877,0.6268458366394043,0.6417144536972046,0.3945775628089905,0.024686427786946297,12864,0,0,0.6039089262485504,0.3813591003417969,0.15575869381427765,0.30894988775253296,0.9949148893356323,0.6607869863510132,0.8626865744590759,,0.03967500478029251,0.13609036803245544,0.05014706775546074,0.047923821955919266,0.34610095620155334,0.04836203157901764,0.9,0.3731541335582733,0.41179370880126953,0.44962891936302185,0.4867049753665924
401,9.090822219848633,17.297130584716797,0.15326040983200073,0.6925665120900366,0.6547447443008423,0.5014843344688416,0.3666568696498871,0.01571948640048504,25664,0,0,0.6483816802501678,0.45309168100357056,0.15454348921775818,0.3540664315223694,0.9980336427688599,0.8092266321182251,0.9506106376647949,,0.025923844426870346,0.09297704696655273,0.052930474281311035,0.06902946531772614,0.39061370491981506,0.06876201927661896,0.9,0.34525519609451294,0.4094521999359131,0.4693203866481781,0.5042319893836975
601,9.030948638916016,17.135013580322266,0.23571592569351196,0.5934727755275495,0.6558877825737,0.420171856880188,0.3198778033256531,0.006239727605134249,38464,0,0,0.6514024138450623,0.4878907799720764,0.20562079548835754,0.356122761964798,0.9977591633796692,0.8358209133148193,0.9519674777984619,,0.026106657460331917,0.07296114414930344,0.06470618396997452,0.06553630530834198,0.3920924663543701,0.06602183729410172,0.9,0.34411218762397766,0.4327762722969055,0.511242687702179,0.5633491277694702
801,8.694157600402832,17.185800552368164,0.2534162700176239,0.5605327084869484,0.6767720580101013,0.4233557879924774,0.32568231225013733,0.004738810006529093,51264,0,0,0.6715758740901947,0.515156626701355,0.18761304020881653,0.34754326939582825,0.9983460903167725,0.8518317937850952,0.9538670778274536,,0.01976323500275612,0.042949121445417404,0.04847904294729233,0.05837855488061905,0.3885188400745392,0.05825146660208702,0.9,0.3232279419898987,0.410992294549942,0.4826884865760803,0.5292201638221741
1001,8.513063430786133,16.87787628173828,0.2825632691383362,0.5273644811584863,0.6847172379493713,0.40215396881103516,0.2934652864933014,0.007820410653948784,64064,0,0,0.6849678754806519,0.5463699102401733,0.20216141641139984,0.354350209236145,0.9985557794570923,0.8738127946853638,0.9614654183387756,,0.018479101359844208,0.03704476356506348,0.0609498992562294,0.059882961213588715,0.39955827593803406,0.06007472798228264,0.9,0.31528276205062866,0.4046584963798523,0.4764363467693329,0.5287624597549438
1201,8.727015495300293,16.957733154296875,0.35615426301956177,0.49136154881783434,0.6559432148933411,0.2997889518737793,0.20231188833713531,0.001005337806418538,76864,0,1,0.6520320475101471,0.5621019005775452,0.24829436838626862,0.3289366364479065,0.9989710450172424,0.8713704347610474,0.9744912385940552,,0.013616010546684265,0.03295815363526344,0.07277790457010269,0.07834330201148987,0.38766247034072876,0.07986944913864136,0.9,0.34405678510665894,0.4403711259365082,0.5191347599029541,0.5762901902198792
1401,9.038551330566406,17.89606475830078,0.33051547408103943,0.5169016652128317,0.6463577151298523,0.31584224104881287,0.21264882385730743,0.0018549674423411489,89664,0,0,0.6328091323375702,0.5452769696712494,0.19671691954135895,0.3779655694961548,0.9971238970756531,0.8198100924491882,0.9213026165962219,,0.011791622266173363,0.029002800583839417,0.07550571113824844,0.10980348289012909,0.414359986782074,0.10917352139949799,0.9,0.3536423146724701,0.43473783135414124,0.5051674246788025,0.5574063658714294
1601,8.646750450134277,18.453765869140625,0.2812757194042206,0.5361380703371013,0.6748976111412048,0.39362189173698425,0.29997745156288147,-0.0012882461305707693,102464,0,0,0.6587123870849609,0.5311951637268066,0.20625834167003632,0.3809995949268341,0.9975802898406982,0.8282225728034973,0.9256445169448853,,0.011606097221374512,0.021794164553284645,0.06113817170262337,0.07144251465797424,0.42092353105545044,0.07148689776659012,0.9,0.3251023590564728,0.40732359886169434,0.47233399748802185,0.5208477973937988
1801,9.225601196289062,18.694164276123047,0.29666292667388916,0.5478954773905863,0.6404807567596436,0.3438178300857544,0.26077285408973694,0.0071200099773705006,115264,0,0,0.6244138479232788,0.5081325769424438,0.21655899286270142,0.3742935359477997,0.9943269491195679,0.795929491519928,0.8947083353996277,,0.010668642818927765,0.022313063964247704,0.07234416902065277,0.0988367572426796,0.4090185761451721,0.0984766036272049,0.9,0.35951927304267883,0.4479510486125946,0.5198395252227783,0.5702813267707825
