step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3
1,18.81775665283203,20.217866897583008,-0.37705084681510925,2.5106503626259995,0.37335410714149475,0.750404953956604,0.46970441937446594,0.185420423746109,64,0,0,0.18267923593521118,-0.18703186511993408,0.10203442722558975,0.13510631024837494,0.7701297402381897,0.06702849268913269,0.1389416605234146,,0.058222077786922455,0.29809874296188354,0.043230973184108734,0.047041527926921844,0.14051418006420135,0.04729524627327919,0.9,0.6266458630561829,0.7347619533538818,0.7927722334861755,0.8382079005241394
201,15.16953182220459,17.42058753967285,-0.18642479181289673,1.695433297135188,0.5455052256584167,0.7319300174713135,0.4394725561141968,0.05166354402899742,12864,0,0,0.5183310508728027,0.18913733959197998,0.15765978395938873,0.31976407766342163,0.9559527039527893,0.32618725299835205,0.5058344602584839,,0.037896547466516495,0.04894281551241875,0.055776447057724,0.05581101402640343,0.3410784602165222,0.056502457708120346,0.9,0.45449480414390564,0.4973174035549164,0.5281351804733276,0.54673832654953
401,14.506760597229004,18.629175186157227,-0.1555820107460022,1.5969630784993551,0.5837954878807068,0.739377498626709,0.4809090793132782,0.02725670300424099,25664,0,0,0.58049276471138,0.19871002435684204,0.11715581268072128,0.3410618007183075,0.9614675641059875,0.3074626922607422,0.4911804795265198,,0.04260006546974182,0.046734463423490524,0.05671309679746628,0.07916371524333954,0.3435750901699066,0.07915399968624115,0.9,0.4162045121192932,0.450357049703598,0.46835458278656006,0.4830853343009949
601,15.07607650756836,16.861814498901367,-0.18157750368118286,1.5236263673931585,0.4716532826423645,0.6532307863235474,0.3569217324256897,0.050250522792339325,38464,0,0,0.45161157846450806,0.1776776909828186,0.18227627873420715,0.4037036597728729,0.9335893392562866,0.24830394983291626,0.4073270261287689,,0.04404620826244354,0.02454240433871746,0.06546758860349655,0.06905066221952438,0.42867210507392883,0.07000461220741272,0.9,0.5283466577529907,0.5716554522514343,0.5948127508163452,0.6075412631034851
801,14.733120918273926,17.736961364746094,-0.15299397706985474,1.4529199762495246,0.5092113018035889,0.6622052788734436,0.3917715549468994,0.03686743602156639,51264,0,0,0.4963192343711853,0.19266313314437866,0.16126379370689392,0.36096495389938354,0.9408700466156006,0.25725916028022766,0.4176391065120697,,0.047621361911296844,0.01952100172638893,0.052682455629110336,0.06030968576669693,0.3801007866859436,0.06094660609960556,0.9,0.49078869819641113,0.5329505205154419,0.5521993041038513,0.5679407119750977
1001,14.900418281555176,17.161190032958984,-0.15993726253509521,1.4871305268478014,0.5117374658584595,0.6716747283935547,0.39425384998321533,0.05524195730686188,64064,0,0,0.493400514125824,0.19385403394699097,0.15662778913974762,0.3869002163410187,0.9547911286354065,0.3381275534629822,0.513704240322113,,0.042851462960243225,0.018491411581635475,0.057645250111818314,0.059862200170755386,0.40424108505249023,0.060880038887262344,0.9,0.48826250433921814,0.5293489098548889,0.5505823493003845,0.563583254814148
1201,14.876432418823242,17.392711639404297,-0.168391615152359,1.459484460043539,0.46512892842292786,0.6335205435752869,0.33767586946487427,0.057563748210668564,76864,0,1,0.4439117908477783,0.1916118860244751,0.16998285055160522,0.38468366861343384,0.9210435748100281,0.240976944565773,0.3774762749671936,,0.03813238814473152,0.020071929320693016,0.062770776450634,0.06484298408031464,0.40927770733833313,0.06674110889434814,0.9,0.5348710417747498,0.5696415901184082,0.5854420065879822,0.5954097509384155
1401,14.744606971740723,17.867162704467773,-0.13735073804855347,1.4061046739091356,0.5244341492652893,0.6617848873138428,0.3858362138271332,0.0406104177236557,89664,0,0,0.4823581576347351,0.22456473112106323,0.13700391352176666,0.40708932280540466,0.9509539604187012,0.3131614625453949,0.47544100880622864,,0.04117739945650101,0.014641476795077324,0.06231008842587471,0.07128763198852539,0.41455090045928955,0.07194634526968002,0.9,0.4755658507347107,0.505794107913971,0.5195274949073792,0.5288127660751343
1601,14.623712539672852,17.664562225341797,-0.10830497741699219,1.2760326714171586,0.49933212995529175,0.6076371073722839,0.37792307138442993,0.02852347493171692,102464,0,0,0.45927315950393677,0.19425147771835327,0.14698976278305054,0.3588142991065979,0.9376002550125122,0.27896881103515625,0.4398914575576782,,0.03370385617017746,0.007436972111463547,0.05222351476550102,0.05727091431617737,0.3743169903755188,0.05755491554737091,0.9,0.500667929649353,0.5423035025596619,0.5586309432983398,0.5708782076835632
1801,14.923571586608887,18.636417388916016,-0.12061518430709839,1.3305150521206444,0.5144538283348083,0.6350690126419067,0.37524673342704773,0.03466399386525154,115264,0,0,0.48085153102874756,0.22225743532180786,0.15056359767913818,0.37247878313064575,0.9544437527656555,0.2852103114128113,0.4379918873310089,,0.03599020093679428,0.007450892124325037,0.056583303958177567,0.06176360696554184,0.38275769352912903,0.06211521476507187,0.9,0.48554617166519165,0.5197800993919373,0.5322182178497314,0.5410019159317017
