step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3
1,45.289730072021484,19.729047775268555,-0.4059378504753113,2.556246229640056,0.33321791887283325,0.7391557693481445,0.45035266876220703,0.14623793959617615,64,0,1,0.14669758081436157,-0.22791695594787598,0.10461913049221039,0.1455862671136856,0.7761091589927673,0.0694708302617073,0.15223881602287292,28.934459686279297,0.06322704255580902,0.2820412218570709,0.044270776212215424,0.04711572080850601,0.15651121735572815,0.0475224144756794,0.9,0.6667820811271667,0.7961599826812744,0.8606525659561157,0.9074029922485352
201,17.567567825317383,20.169282913208008,-0.007509350776672363,1.0488738940567783,0.8388431668281555,0.8463525176048279,0.765705943107605,0.16505277156829834,12864,0,1,0.8048618733882904,0.3123014569282532,0.08167139440774918,0.10865439474582672,0.9973531365394592,0.7237449288368225,0.9180461764335632,7.437828063964844,0.06186065077781677,0.44071322679519653,0.03688611462712288,0.03574442118406296,0.13027875125408173,0.036300819367170334,0.9,0.1611568182706833,0.19208413362503052,0.21899937093257904,0.2488468736410141
401,14.219551086425781,19.39948081970215,0.0699467658996582,0.707130713949869,0.8311140537261963,0.7611672878265381,0.6758564710617065,0.11499592661857605,25664,0,1,0.7996280491352081,0.4782756567001343,0.09751106053590775,0.13872650265693665,0.9992671608924866,0.8966078758239746,0.9856173992156982,4.755289077758789,0.0761958435177803,0.38719266653060913,0.04618449509143829,0.049917712807655334,0.1721510887145996,0.05146056413650513,0.9,0.16888593137264252,0.18916265666484833,0.21132893860340118,0.261718213558197
601,12.18640422821045,18.96295166015625,0.13682091236114502,0.5447069877112138,0.8363091349601746,0.6994882225990295,0.59133380651474,0.13256941735744476,38464,0,1,0.8134423494338989,0.5947846174240112,0.12650859355926514,0.15474596619606018,0.9995837211608887,0.932428777217865,0.9921302795410156,3.167574882507324,0.06911259144544601,0.3189014792442322,0.05063270032405853,0.050068799406290054,0.19439563155174255,0.05199528858065605,0.9,0.16369085013866425,0.1773446798324585,0.21156664192676544,0.25467991828918457
801,10.469042778015137,18.61558723449707,0.16677331924438477,0.48946670831715483,0.8401083946228027,0.673335075378418,0.5498729944229126,0.10729935020208359,51264,0,1,0.8213461637496948,0.6422449350357056,0.13311587274074554,0.1807580590248108,0.9996854662895203,0.9497964978218079,0.992401659488678,1.9059135913848877,0.061366915702819824,0.2553164064884186,0.05122189223766327,0.05272282660007477,0.2215101569890976,0.05412263423204422,0.9,0.1598915457725525,0.16854742169380188,0.20314855873584747,0.24258790910243988
1001,9.809980392456055,18.22418975830078,0.2040705680847168,0.4489468826884195,0.8337422609329224,0.6296716928482056,0.49822187423706055,0.08823631703853607,64064,0,1,0.8131070733070374,0.6641968488693237,0.14759740233421326,0.21141190826892853,0.9997471570968628,0.9595658183097839,0.994572639465332,1.5841597318649292,0.052737824618816376,0.19927605986595154,0.05333675071597099,0.054818294942379,0.2518531382083893,0.056272950023412704,0.9,0.16625776886940002,0.17362453043460846,0.21406462788581848,0.252170592546463
1201,9.246129035949707,18.001155853271484,0.27550095319747925,0.38008540669439345,0.831083357334137,0.5555824041366577,0.4126937687397003,0.08082830905914307,76864,0,0,0.8162153214216232,0.7067283093929291,0.15315692126750946,0.23698459565639496,0.9998869895935059,0.9747625589370728,0.9991859197616577,1.0759532451629639,0.04240347072482109,0.1624028980731964,0.0561615526676178,0.06004520133137703,0.2674582600593567,0.06052529439330101,0.9,0.16891661286354065,0.17569327354431152,0.21654589474201202,0.25541597604751587
1401,10.217219352722168,19.483213424682617,0.26077139377593994,0.37002539903147025,0.8468318581581116,0.5860604643821716,0.47314032912254333,0.08379177749156952,89664,0,0,0.8224435448646545,0.7066580653190613,0.13539712131023407,0.22997057437896729,0.9996875524520874,0.9663500785827637,0.9886024594306946,1.8283207416534424,0.04670001193881035,0.13198420405387878,0.05417358875274658,0.059862636029720306,0.26151779294013977,0.05996363237500191,0.9,0.15316814184188843,0.16022725403308868,0.20535600185394287,0.23946069180965424
1601,9.318804740905762,18.437164306640625,0.24913263320922852,0.3543652825630439,0.8632602095603943,0.6141275763511658,0.5283873677253723,0.07402820885181427,102464,0,0,0.8519356399774551,0.7079454660415649,0.13971202075481415,0.24461886286735535,0.9998632669448853,0.9777476787567139,0.9964722394943237,1.3264036178588867,0.041392795741558075,0.1086454764008522,0.05415482446551323,0.06072792410850525,0.2721628248691559,0.061313558369874954,0.9,0.13673977553844452,0.14930130541324615,0.19537894427776337,0.231414794921875
1801,8.592429161071777,17.8234920501709,0.32807278633117676,0.3022911968603948,0.8578583002090454,0.5297855138778687,0.4451240003108978,0.07237870246171951,115264,0,0,0.8377664536237717,0.7402635812759399,0.15218010544776917,0.24896937608718872,0.9999692440032959,0.9929444193840027,1.0,0.8295414447784424,0.032591335475444794,0.09015336632728577,0.056552086025476456,0.06332215666770935,0.2804846167564392,0.06378994882106781,0.9,0.142141655087471,0.15753881633281708,0.20804530382156372,0.24617183208465576
2001,8.227417945861816,17.611074447631836,0.35140103101730347,0.29037108865084793,0.8562111854553223,0.5048101544380188,0.41127756237983704,0.06936176121234894,128064,0,0,0.8407648950815201,0.7536511719226837,0.16291487216949463,0.2579042911529541,0.9999825358390808,0.9953867197036743,1.0,0.613345742225647,0.027965957298874855,0.0763569325208664,0.06013493612408638,0.06283506006002426,0.2850761413574219,0.06349495053291321,0.9,0.14378885924816132,0.15605595707893372,0.2086460441350937,0.24572478234767914
2201,8.450156211853027,17.83300018310547,0.291718065738678,0.31234002673802425,0.867499589920044,0.575781524181366,0.49698105454444885,0.060299281030893326,140864,0,0,0.8616660982370377,0.7354245781898499,0.1534176617860794,0.25234898924827576,0.9999558329582214,0.9918588995933533,0.9989145398139954,0.8096493482589722,0.022927910089492798,0.07039002329111099,0.060813114047050476,0.06468620896339417,0.28277555108070374,0.06500304490327835,0.9,0.13250041007995605,0.14973734319210052,0.20085304975509644,0.23726508021354675
2401,8.162649154663086,17.60408592224121,0.33870017528533936,0.2873709009799198,0.8634176254272461,0.5247174501419067,0.4393235445022583,0.08093202859163284,153664,0,0,0.8441854119300842,0.7548008859157562,0.16075319051742554,0.26417943835258484,0.9999887943267822,0.997286319732666,1.0,0.5797089338302612,0.019859954714775085,0.0642465204000473,0.06309901922941208,0.06733725219964981,0.29890748858451843,0.06789060682058334,0.9,0.1365823894739151,0.15381398797035217,0.20473498106002808,0.24184216558933258
2601,8.46729564666748,17.642009735107422,0.34743714332580566,0.28945972381094476,0.8584611415863037,0.511023998260498,0.4371437132358551,0.07642479240894318,166464,0,1,0.8472608923912048,0.7468758523464203,0.16976681351661682,0.25838255882263184,0.9999784231185913,0.995115339756012,1.0,0.8367135524749756,0.017070569097995758,0.05494619905948639,0.0615759938955307,0.06699225306510925,0.2961527705192566,0.06810526549816132,0.9,0.14153888821601868,0.15813632309436798,0.21446676552295685,0.25025564432144165
2801,8.314775466918945,17.7374324798584,0.3528154492378235,0.2842468084849108,0.8598865270614624,0.5070710778236389,0.43043750524520874,0.05409140884876251,179264,0,0,0.8480770438909531,0.7530295550823212,0.17160895466804504,0.2754485607147217,0.9999743103981018,0.9943012595176697,0.9997286796569824,0.7362328767776489,0.01617875136435032,0.049566879868507385,0.06260372698307037,0.06998982280492783,0.3070825934410095,0.07058007270097733,0.9,0.1401134431362152,0.15700042247772217,0.2131507843732834,0.25089457631111145
3001,7.962113857269287,17.354047775268555,0.33840471506118774,0.3005710874314321,0.8545746803283691,0.5161699652671814,0.43776893615722656,0.052919887006282806,192064,0,0,0.8417148739099503,0.7409091591835022,0.1786808967590332,0.2903681993484497,0.9999897480010986,0.997286319732666,1.0,0.5601823925971985,0.012001724913716316,0.043362706899642944,0.06382311135530472,0.07097014784812927,0.31630444526672363,0.07158322632312775,0.9,0.1454252302646637,0.16203729808330536,0.22270642220973969,0.26198750734329224
3201,7.7109761238098145,17.194406509399414,0.36522921919822693,0.2848761814731013,0.854507565498352,0.4892783463001251,0.4100295901298523,0.042315106838941574,204864,0,0,0.8391437530517578,0.7522336691617966,0.1920466125011444,0.290346622467041,0.9999959468841553,0.9989145398139954,1.0,0.4368950128555298,0.01074133813381195,0.040088552981615067,0.06948477774858475,0.07152669131755829,0.32600224018096924,0.0723397359251976,0.9,0.14549235999584198,0.16183219850063324,0.2220510095357895,0.2634366750717163
3401,7.685066223144531,17.02150535583496,0.36088666319847107,0.30012840533200297,0.8452396988868713,0.48435303568840027,0.39196524024009705,0.04207911342382431,217664,0,1,0.8316490352153778,0.7443691790103912,0.195211723446846,0.3063146770000458,0.9999969601631165,0.9991859197616577,1.0,0.40690499544143677,0.009071147069334984,0.03688085079193115,0.07194666564464569,0.07335393875837326,0.3423061668872833,0.074645034968853,0.9,0.15476031601428986,0.16983819007873535,0.23389969766139984,0.2753198742866516
3601,7.652812480926514,16.879764556884766,0.4147719740867615,0.2861348431761932,0.8337491154670715,0.41897714138031006,0.32324013113975525,0.042360831052064896,230464,0,0,0.8228078186511993,0.7530456930398941,0.21677035093307495,0.327656626701355,0.9999969601631165,0.9991859197616577,1.0,0.39905890822410583,0.007494699209928513,0.03170919418334961,0.0699683129787445,0.0739738941192627,0.36530449986457825,0.07437660545110703,0.9,0.16625085473060608,0.17682936787605286,0.24441350996494293,0.28589966893196106
3801,7.904011249542236,17.788036346435547,0.41596826910972595,0.2763331454549442,0.8411619663238525,0.4251936972141266,0.33514371514320374,0.04013204947113991,243264,0,0,0.8322382569313049,0.7596968859434128,0.210970938205719,0.3308058977127075,0.9999701976776123,0.9940298795700073,0.9994572997093201,0.5798869729042053,0.007214633747935295,0.03013189136981964,0.06929346174001694,0.0768059492111206,0.36482158303260803,0.0772356241941452,0.9,0.15883803367614746,0.17282021045684814,0.23866315186023712,0.28358009457588196
4001,7.27967643737793,16.641096115112305,0.4399729073047638,0.26579697112127854,0.840720534324646,0.4007476270198822,0.3143119215965271,0.03215157613158226,256064,0,0,0.8328196406364441,0.7658811658620834,0.226416677236557,0.34872931241989136,0.9999989867210388,0.9997286796569824,1.0,0.27038925886154175,0.005302355159074068,0.026759982109069824,0.07297209650278091,0.07590259611606598,0.38389721512794495,0.07637187838554382,0.9,0.1592794507741928,0.17214633524417877,0.2387806922197342,0.28530365228652954
4201,7.399366855621338,16.696577072143555,0.4608446955680847,0.2566590893882979,0.8408805727958679,0.3800358772277832,0.29789718985557556,0.037067752331495285,268864,0,0,0.832352802157402,0.77159483730793,0.22387318313121796,0.3410246670246124,0.9999979734420776,0.9994572997093201,1.0,0.2718241810798645,0.004428490065038204,0.027352962642908096,0.07431904226541519,0.07672739028930664,0.3759700357913971,0.07726900279521942,0.9,0.1591194123029709,0.17166537046432495,0.24016882479190826,0.2877707779407501
4401,7.600359916687012,16.764699935913086,0.4677152633666992,0.25993495467538263,0.8357231616973877,0.3680078983306885,0.27645665407180786,0.016284873709082603,281664,0,0,0.8275149613618851,0.771301656961441,0.22446924448013306,0.3542608320713043,1.0,1.0,1.0,0.4340823292732239,0.004073513671755791,0.02375137247145176,0.07241486757993698,0.07655109465122223,0.3835820257663727,0.07709520310163498,0.9,0.1642768234014511,0.17659622430801392,0.24535581469535828,0.29553937911987305
4601,7.981011867523193,17.02385711669922,0.48519206047058105,0.25471526833666125,0.8341763615608215,0.3489843010902405,0.260681688785553,0.02211284078657627,294464,0,1,0.8156386911869049,0.7740350216627121,0.2475937157869339,0.32201313972473145,0.9999979734420776,0.9994572997093201,1.0,0.6989195346832275,0.00395614979788661,0.02309449389576912,0.07460824400186539,0.07441684603691101,0.38621652126312256,0.07672322541475296,0.9,0.16582363843917847,0.18069815635681152,0.2511323094367981,0.30279451608657837
4801,7.650196075439453,16.652687072753906,0.46294158697128296,0.2679409061000565,0.8305587768554688,0.3676171898841858,0.27377358078956604,0.016160650178790092,307264,0,0,0.8239568918943405,0.765293687582016,0.22208936512470245,0.368913471698761,1.0,1.0,1.0,0.415578693151474,0.004086225293576717,0.02246219292283058,0.07503106445074081,0.07668522745370865,0.4010639190673828,0.07752916216850281,0.9,0.16944125294685364,0.18294131755828857,0.2510468363761902,0.29984575510025024
5001,7.328427791595459,16.439632415771484,0.4496666491031647,0.26721600381459487,0.8360251784324646,0.3863585293292999,0.30393901467323303,0.014079956337809563,320064,0,0,0.8244542479515076,0.7633215636014938,0.21131378412246704,0.3798770010471344,1.0,1.0,1.0,0.22077268362045288,0.004237804561853409,0.021824657917022705,0.07677846401929855,0.07885592430830002,0.4025670289993286,0.07940508425235748,0.9,0.1639748364686966,0.1797059327363968,0.24612070620059967,0.2950661778450012
5201,7.414584636688232,16.473468780517578,0.4501969814300537,0.26726963632066925,0.8357868194580078,0.3855898380279541,0.29797449707984924,0.01761428453028202,332864,0,0,0.8275585174560547,0.7655216306447983,0.20764079689979553,0.3770943284034729,0.9999989867210388,0.9997286796569824,1.0,0.2533894181251526,0.0037876171991229057,0.022119589149951935,0.07597193121910095,0.07928663492202759,0.4061146676540375,0.07944884151220322,0.9,0.164213165640831,0.1783800721168518,0.24423234164714813,0.29179784655570984
