arm,k,metric,end_of_run,min_last_half,min_at_step,n_points
B9,0,ff,0.3838,0.3594,35460,2950
B9,0,u_batchtime,0.7782,0.7561,35260,2950
B9,0,u_batchtime_e,0.3174,0.2039,39060,2950
B9,3,ff,0.4776,0.4250,10760,2950
B9,3,cos_err_d0,0.5224,0.5000,34860,2950
B9,3,cos_err_d1,0.6384,0.6042,28720,2950
B9,3,cos_err_d2,0.7043,0.6706,14960,2950
B9,3,cos_err_d3,0.7451,0.7132,14960,2950
B9,3,u_batchtime,0.3892,0.2808,11380,2950
B9,3,u_batchtime_e,0.1184,0.0950,10540,2950
B1,0,ff,0.5226,0.4204,23760,2950
B1,0,u_batchtime,0.3904,0.2118,13320,2950
B1,0,u_batchtime_e,0.3696,0.1992,13320,2950
B1,3,ff,0.6347,0.4832,16060,2950
B1,3,cos_err_d0,0.3653,0.2469,18120,2950
B1,3,cos_err_d1,0.4471,0.3029,18120,2950
B1,3,cos_err_d2,0.4734,0.3109,36360,2950
B1,3,cos_err_d3,0.4857,0.3166,36360,2950
B1,3,u_batchtime,0.1526,0.1231,32880,2950
B1,3,u_batchtime_e,0.1125,0.0968,32880,2950
B5·s1,0,ff,0.2946,0.2679,35260,2950
B5·s1,0,u_batchtime,0.9312,0.8393,17660,2950
B5·s1,0,u_batchtime_e,0.0423,0.0301,28500,2950
B5·s1,3,ff,0.2824,0.2578,26420,2950
B5·s1,3,cos_err_d0,0.7176,0.6555,11100,2950
B5·s1,3,cos_err_d1,0.7354,0.6785,10720,2950
B5·s1,3,cos_err_d2,0.7516,0.6901,13400,2950
B5·s1,3,cos_err_d3,0.7611,0.7047,10720,2950
B5·s1,3,u_batchtime,0.9354,0.8693,13400,2950
B5·s1,3,u_batchtime_e,0.0624,0.0525,37840,2950
B5·s2,0,ff,0.3060,0.2674,17660,2950
B5·s2,0,u_batchtime,0.9296,0.8405,13400,2950
B5·s2,0,u_batchtime_e,0.0443,0.0381,38240,2950
B5·s2,3,ff,0.3037,0.2717,22200,2950
B5·s2,3,cos_err_d0,0.6963,0.6270,11100,2950
B5·s2,3,cos_err_d1,0.7138,0.6555,13740,2950
B5·s2,3,cos_err_d2,0.7289,0.6750,13400,2950
B5·s2,3,cos_err_d3,0.7403,0.6886,13400,2950
B5·s2,3,u_batchtime,0.9250,0.8409,10560,2950
B5·s2,3,u_batchtime_e,0.0515,0.0328,33560,2950
A3,0,ff,0.9279,0.6831,11060,2950
A3,0,u_batchtime,0.1445,0.1127,39060,2950
A3,0,u_batchtime_e,0.0370,0.0284,38500,2950
A3,1,ff,0.8120,0.6187,23760,2950
A3,1,cos_err_d0,0.1880,0.0800,39060,2950
A3,1,cos_err_d1,0.2272,0.1008,39480,2950
A3,1,u_batchtime,0.1791,0.1166,39060,2950
A3,1,u_batchtime_e,0.0697,0.0374,39520,2950
A3,3,ff,0.8790,0.8505,39940,2950
A3,3,cos_err_d0,0.1210,0.0676,29200,2950
A3,3,cos_err_d1,0.1352,0.0725,29200,2950
A3,3,cos_err_d2,0.1508,0.0788,29200,2950
A3,3,cos_err_d3,0.1592,0.0820,29200,2950
A3,3,u_batchtime,0.1730,0.0800,13820,2950
A3,3,u_batchtime_e,0.0561,0.0372,15860,2950
