cell,stop_k,head,pct_short,pct_medium_long,criterion_met
A1,40,student,-8.81,-12.09,yes
A1,100,student,-1.66,-5.90,yes
A1,40,teacher,-6.37,-10.86,yes
A1,100,teacher,-2.77,-11.80,yes
A2,40,student,-1.25,-21.44,yes
A2,100,student,-4.27,-17.65,yes
A2,200,student,-2.47,-14.65,yes
A2,40,teacher,-0.66,-21.01,yes
A2,100,teacher,-2.47,-16.81,yes
A2,200,teacher,-1.51,-14.00,yes
A3,40,student,23.11,4.10,no
A3,100,student,19.62,-3.23,no
A3,40,teacher,22.91,4.67,no
A3,100,teacher,21.83,-3.90,no
A4,40,student,-4.41,-8.92,yes
A4,100,student,-6.49,-13.48,yes
A4,40,teacher,-4.16,-8.29,yes
A4,100,teacher,-6.25,-10.56,yes
B1,40,student,-5.41,-15.17,yes
B1,100,student,-3.93,-9.39,yes
B1,200,student,-3.83,-7.69,yes
B10,40,student,1.15,-19.01,yes
B10,100,student,-7.23,-15.40,yes
B2,40,student,14.64,3.10,no
B2,100,student,12.56,1.04,no
B2,200,student,16.75,-0.61,no
B3,40,student,-8.96,-16.14,yes
B3,100,student,-4.98,-7.93,yes
B4,40,student,13.25,-5.40,no
B4,100,student,5.02,-19.47,no
B5,40,student,6.37,0.03,no
B5,100,student,5.11,-3.61,no
B6,40,student,-4.02,-16.71,yes
B6,100,student,-2.92,-10.70,yes
B6,200,student,-0.73,-12.87,yes
B7,40,student,-5.00,-2.95,no
B7,100,student,4.94,-2.89,no
B8,40,student,3.58,-8.13,no
B8,100,student,6.07,-10.77,no
B9,40,student,-12.61,-24.33,yes
B9,100,student,2.59,-21.40,no
