label,subset,n,delta,ci_lo,ci_hi,p_improved
item3 alignx4_vs_k0   student,all,97,-0.0512,-0.1001,-0.0023,0.980
item3 alignx4_vs_k0   student,short,55,-0.0009,-0.0483,0.0460,0.513
item3 alignx4_vs_k0   student,medium_long,42,-0.1400,-0.2267,-0.0662,1.000
item3 alignx4_vs_k0   teacher,all,97,-0.0519,-0.0987,-0.0066,0.988
item3 alignx4_vs_k0   teacher,short,55,-0.0055,-0.0502,0.0375,0.594
item3 alignx4_vs_k0   teacher,medium_long,42,-0.1329,-0.2188,-0.0620,1.000
item3 k3_vs_k0        student,all,97,-0.1175,-0.1801,-0.0615,1.000
item3 k3_vs_k0        student,short,55,-0.0556,-0.1017,-0.0184,0.999
item3 k3_vs_k0        student,medium_long,42,-0.2244,-0.3504,-0.1243,1.000
item3 k3_vs_k0        teacher,all,97,-0.1053,-0.1661,-0.0515,1.000
item3 k3_vs_k0        teacher,short,55,-0.0523,-0.0980,-0.0146,0.997
item3 k3_vs_k0        teacher,medium_long,42,-0.1963,-0.3129,-0.1047,1.000
item3 k3_vs_alignx4   student,all,97,-0.0663,-0.1070,-0.0331,1.000
item3 k3_vs_alignx4   student,short,55,-0.0547,-0.0840,-0.0310,1.000
item3 k3_vs_alignx4   student,medium_long,42,-0.0845,-0.1783,-0.0136,0.991
item3 k3_vs_alignx4   teacher,all,97,-0.0534,-0.0874,-0.0237,1.000
item3 k3_vs_alignx4   teacher,short,55,-0.0468,-0.0707,-0.0259,1.000
item3 k3_vs_alignx4   teacher,medium_long,42,-0.0634,-0.1400,-0.0011,0.977
item6 draw2_vs_draw1  student,all,97,0.0100,-0.0163,0.0378,0.227
item6 draw2_vs_draw1  student,short,55,0.0022,-0.0346,0.0386,0.427
item6 draw2_vs_draw1  student,medium_long,42,0.0207,0.0000,0.0544,0.025
item6 teacher_vs_draw1,all,97,-0.1084,-0.1648,-0.0671,1.000
item6 teacher_vs_draw1,short,55,-0.1573,-0.2356,-0.0931,1.000
item6 teacher_vs_draw1,medium_long,42,-0.0385,-0.0595,-0.0212,1.000
item6 teacher_vs_draw2,all,97,-0.1185,-0.1819,-0.0718,1.000
item6 teacher_vs_draw2,short,55,-0.1595,-0.2429,-0.0931,1.000
item6 teacher_vs_draw2,medium_long,42,-0.0592,-0.1060,-0.0297,1.000
