cell	stop	student	teacher	abs_gap	group
A3	bb200k	1.3998	1.2913	0.1084	A
B7	bb100k	1.3205	1.2780	0.0425	B
B2	bb100k	1.3443	1.3117	0.0326	B
B9	bb100k	1.3299	1.3094	0.0205	B
B10	bb200k	1.2624	1.2440	0.0184	B
B7	bb40k	1.2617	1.2444	0.0173	B
A4	bb200k	1.0660	1.0828	0.0168	A
A3	bb100k	1.3010	1.3151	0.0142	A
B6	bb200k	1.2207	1.2339	0.0132	B
B6	bb40k	1.2297	1.2184	0.0113	B
A1	bb100k	1.1676	1.1565	0.0111	A
B1	bb40k	1.0850	1.0948	0.0098	B
A3	bb40k	1.3618	1.3521	0.0097	A
B10	bb100k	1.2403	1.2499	0.0096	B
B8	bb100k	1.3157	1.3239	0.0082	B
B2	bb200k	1.2904	1.2825	0.0079	B
A4	bb100k	1.0801	1.0874	0.0073	A
B2	bb40k	1.3976	1.4041	0.0065	B
B9	bb40k	1.2791	1.2728	0.0063	B
B10	bb40k	1.2669	1.2730	0.0061	B
B3	bb100k	1.1676	1.1618	0.0058	B
B4	bb100k	1.2804	1.2748	0.0056	B
B5	bb100k	1.3383	1.3428	0.0045	B
B6	bb100k	1.2151	1.2110	0.0041	B
B3	bb40k	1.1305	1.1343	0.0037	B
A2	bb100k	1.2479	1.2514	0.0036	A
B4	bb200k	1.3182	1.3202	0.0019	B
A2	bb40k	1.2735	1.2753	0.0018	A
B1	bb100k	1.0881	1.0897	0.0017	B
A1	bb40k	1.1305	1.1318	0.0012	A
B5	bb40k	1.3204	1.3216	0.0012	B
B8	bb40k	1.2857	1.2865	0.0008	B
B1	bb200k	1.1009	1.1001	0.0007	B
A4	bb40k	1.0862	1.0855	0.0007	A
A2	bb200k	1.2507	1.2500	0.0007	A
B4	bb40k	1.3334	1.3339	0.0005	B
